step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,2031,0.00,75.58,65.79,588,0,0,0,1.00,1.00,1.00,3,4,4,16.3,47.381,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1971,0.05,72.39,74.57,749,1,1,0,1.00,1.00,1.00,4,4,4,37.7,40.278,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1959,0.00,65.97,68.37,719,1,0,0,1.00,1.00,1.00,4,4,4,31.3,14.552,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1956,-0.00,54.86,39.25,719,1,0,0,1.00,1.00,1.00,4,4,4,31.5,1.766,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1954,0.00,65.21,40.01,719,1,0,0,1.00,1.00,1.00,4,4,4,29.7,19.291,16,2.000,0.000,4,1.000,0
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,1947,0.00,62.35,44.77,732,0,1,0,1.00,1.00,1.00,2,4,4,19.6,12.861,14,2.000,0.000,4,1.000,2
100000,30.00,16,0,6,0,9,0,1.00,0,0.200,1937,0.81,59.02,104.25,734,0,0,0,1.00,1.00,1.00,2,4,4,26.3,17.149,15,2.000,0.000,4,1.000,1
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,1931,3.63,63.24,56.24,719,0,1,0,1.00,1.00,1.00,4,4,4,26.5,24.497,14,2.000,0.000,4,1.000,2
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1930,0.00,63.84,26.00,734,0,0,0,1.00,1.00,1.00,4,4,4,21.2,20.505,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1927,3.55,47.73,109.75,487,0,0,0,1.00,1.00,1.00,4,4,4,4.5,18.751,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1923,0.11,62.86,94.28,588,0,0,0,1.00,1.00,1.00,4,4,4,3.9,32.755,16,2.000,0.000,4,1.000,0
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,1922,0.00,59.35,65.58,719,0,0,0,1.00,1.00,1.00,2,4,4,18.1,33.159,14,2.000,0.000,4,1.000,2
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1915,0.00,73.47,76.74,588,2,0,0,1.00,1.00,1.00,2,4,4,44.4,34.904,15,2.000,0.000,4,1.000,1
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,1910,2.22,54.24,72.48,734,1,0,0,1.00,1.00,1.00,4,4,4,29.7,9.934,13,2.000,0.000,4,1.000,1
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1902,0.00,53.99,135.07,719,2,2,0,1.00,1.00,1.00,2,4,4,43.9,34.919,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,1888,0.00,42.08,94.84,487,1,0,0,1.00,1.00,1.00,4,4,4,33.0,8.937,15,2.000,0.000,4,1.000,0
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,1856,2.37,62.22,30.90,487,1,0,0,1.00,1.00,1.00,4,4,4,29.5,14.752,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1844,0.00,63.06,97.54,588,2,0,0,1.00,1.00,1.00,4,4,4,52.3,49.114,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1834,4.81,74.70,72.71,719,2,2,0,1.00,1.00,1.00,4,4,4,40.7,45.523,16,2.000,0.000,4,1.000,0
100000,1.28,36,0,0,0,2,0,1.00,18,0.000,1806,0.00,139.80,9.63,692,2,2,0,1.00,1.00,1.00,1,1,2,46.0,5.165,2,0.640,0.376,6,1.000,0
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1767,0.00,42.47,63.15,588,0,0,0,1.00,1.00,1.00,4,4,4,2.3,5.772,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1751,0.00,46.00,49.97,487,0,0,0,1.00,1.00,1.00,4,4,4,19.7,21.921,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1748,0.00,66.49,71.10,588,2,2,0,1.00,1.00,1.00,4,4,4,39.6,36.115,15,2.000,0.000,4,1.000,1
100000,4.24,49,0,0,0,7,0,1.00,12,0.000,1730,0.00,134.94,2.85,692,0,0,0,1.00,1.00,1.00,2,1,7,27.4,1.735,7,0.606,0.434,7,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1726,0.00,48.38,37.94,588,1,0,0,1.00,1.00,1.00,4,4,4,35.2,17.915,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1716,0.00,50.87,23.86,487,0,0,0,1.00,1.00,1.00,4,4,4,26.6,19.289,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1683,0.00,55.49,27.45,588,0,2,0,1.00,1.00,1.00,2,4,4,24.4,24.279,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1672,0.00,62.19,92.06,749,0,1,0,1.00,1.00,1.00,2,4,4,20.0,46.667,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1645,1.49,51.46,68.90,734,0,0,0,1.00,1.00,1.00,4,4,4,8.4,40.024,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1637,0.00,65.67,35.38,734,0,0,0,1.00,1.00,1.00,4,4,4,16.0,32.300,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1635,0.92,73.81,35.03,734,0,0,0,1.00,1.00,1.00,2,4,4,27.9,36.543,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1615,0.00,47.01,73.51,719,2,1,0,1.00,1.00,1.00,4,4,4,40.1,10.086,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1608,0.08,47.12,78.54,588,1,0,0,1.00,1.00,1.00,2,4,4,31.8,26.604,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1603,0.00,68.29,16.97,749,1,0,0,1.00,1.00,1.00,4,4,4,34.1,22.871,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1600,0.00,48.73,126.35,588,1,0,0,1.00,1.00,1.00,4,4,4,33.8,39.044,15,2.000,0.000,4,1.000,1
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1597,0.00,39.40,25.99,588,1,0,0,1.00,1.00,1.00,4,4,4,28.8,13.531,15,2.000,0.000,4,1.000,1
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,1596,0.00,48.11,137.85,588,1,1,0,1.00,1.00,1.00,4,4,4,38.8,24.127,14,2.000,0.000,4,1.000,2
100000,30.00,16,0,8,0,7,0,1.00,0,0.267,1585,0.00,68.40,49.10,588,1,1,0,1.00,1.00,1.00,4,4,4,31.3,37.747,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1578,2.57,57.53,84.67,588,0,0,0,1.00,1.00,1.00,2,4,4,15.3,37.463,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1537,0.00,58.84,11.42,734,0,0,0,1.00,1.00,1.00,4,4,4,6.6,16.210,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,1534,0.00,46.40,16.96,588,0,0,0,1.00,1.00,1.00,4,4,4,25.1,10.665,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1530,0.00,47.41,43.64,487,1,0,0,1.00,1.00,1.00,4,4,4,38.2,20.229,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1527,2.71,52.32,51.25,487,1,0,0,1.00,1.00,1.00,4,4,4,37.5,26.028,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,1525,0.00,59.76,22.85,588,0,0,0,1.00,1.00,1.00,4,4,4,15.4,26.528,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1521,1.23,48.92,96.30,588,2,1,0,1.00,1.00,1.00,4,4,4,42.3,33.937,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1519,1.58,61.75,46.65,588,1,1,0,1.00,1.00,1.00,4,4,4,38.5,28.208,16,2.000,0.000,4,1.000,0
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,1518,0.00,80.22,4.73,588,1,1,0,1.00,1.00,1.00,1,1,1,38.5,6.292,1,2.000,0.000,4,1.000,0
100000,30.00,16,0,6,0,9,0,1.00,0,0.200,1501,0.00,38.80,34.49,487,0,0,0,1.00,1.00,1.00,2,4,4,24.3,16.130,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1500,0.00,68.55,72.82,588,0,0,0,1.00,1.00,1.00,4,4,4,23.5,43.409,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1496,1.94,50.62,42.13,588,1,0,0,1.00,1.00,1.00,2,4,4,33.2,17.262,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1483,0.08,42.68,87.40,749,1,2,0,1.00,1.00,1.00,4,4,4,38.9,47.958,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1480,0.00,44.02,34.28,719,0,0,0,1.00,1.00,1.00,4,4,4,21.2,4.859,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1452,0.00,48.93,31.76,588,0,2,0,1.00,1.00,1.00,4,4,4,27.2,9.414,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,6,0,10,0,1.00,0,0.188,1451,0.00,49.05,34.27,588,0,2,0,1.00,1.00,1.00,2,4,4,18.5,13.752,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1448,0.33,58.48,27.34,487,0,0,0,1.00,1.00,1.00,4,4,4,2.4,52.334,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1447,0.00,52.50,42.16,588,1,2,0,1.00,1.00,1.00,4,4,4,33.1,10.348,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1433,0.00,52.46,43.68,588,2,1,0,1.00,1.00,1.00,4,4,4,48.0,16.134,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1428,0.06,63.49,50.45,588,2,0,0,1.00,1.00,1.00,4,4,4,40.4,46.949,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1427,0.38,49.17,93.78,732,0,1,0,1.00,1.00,1.00,4,4,4,24.5,41.486,15,2.000,0.000,4,1.000,1
