step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
19000,407,0.4103,5550.0,311,204,118,85,26,62,52,30482,34200,37783,0,0,0,1.000,1.000,1.000,168,34,9,0.5507,0.0873,0.7421,0.0448
20000,680,0.4118,9183.4,314,301,235,144,49,76,66,29266,32263,35525,0,0,0,1.000,1.000,1.000,244,60,5,0.5657,0.0736,0.7494,0.0446
21000,896,0.4799,11068.3,332,358,291,247,54,85,97,28412,30557,34895,0,0,0,1.000,1.000,1.000,282,62,9,0.5771,0.0810,0.7496,0.0436
22000,1344,0.4211,11476.6,258,497,512,335,86,129,133,27446,29076,33698,0,0,0,1.000,1.000,1.000,405,128,13,0.5947,0.0823,0.7505,0.0398
23000,1809,0.4157,15034.4,251,746,605,458,134,133,163,27422,27889,32411,0,0,0,1.000,1.000,1.000,579,153,17,0.5389,0.0937,0.7062,0.0432
24000,1775,0.4631,14958.8,255,674,664,437,124,127,136,26817,27474,31470,0,0,0,1.000,1.000,1.000,496,176,17,0.5555,0.0904,0.6913,0.0399
25000,2119,0.4016,15081.9,210,734,771,614,129,140,185,27261,28398,31948,0,0,0,1.000,1.000,1.000,585,174,20,0.5175,0.0938,0.6899,0.0437
26000,1867,0.4258,16259.3,246,676,671,520,122,128,137,28510,28383,32259,0,0,0,1.000,1.000,1.000,526,165,10,0.4846,0.1098,0.6667,0.0461
27000,1634,0.4364,14603.9,246,633,537,464,123,97,151,29654,29229,32216,0,0,0,1.000,1.000,1.000,482,120,18,0.5131,0.0934,0.6956,0.0463
28000,1441,0.4726,13837.4,278,523,511,407,98,139,139,30224,30465,33528,0,0,0,1.000,1.000,1.000,435,127,17,0.5049,0.1007,0.7062,0.0482
29000,1235,0.4186,11089.4,276,470,468,297,84,109,132,30668,31364,33313,0,0,0,1.000,1.000,1.000,376,150,11,0.5501,0.0789,0.7299,0.0458
30000,996,0.4769,9389.6,306,426,349,221,90,94,89,32176,32912,34832,0,0,0,1.000,1.000,1.000,334,82,5,0.5356,0.0806,0.7542,0.0489
31000,802,0.4738,8946.6,297,337,281,184,75,89,89,32638,34554,36079,0,0,0,1.000,1.000,1.000,273,77,4,0.4775,0.0931,0.7092,0.0513
32000,531,0.4708,6397.6,378,272,154,105,53,59,68,32263,34901,36393,0,0,0,1.000,1.000,1.000,206,38,4,0.5187,0.0898,0.7280,0.0468
33000,355,0.5183,5216.3,446,202,85,68,28,40,42,33158,36927,38177,0,0,0,1.000,1.000,1.000,153,27,2,0.3991,0.1103,0.6895,0.0514
34000,230,0.5304,5616.6,677,151,53,26,16,39,18,33958,38602,39959,0,0,0,1.000,1.000,1.000,120,18,0,0.2349,0.1402,0.6107,0.0610
35000,177,0.5198,6683.4,1167,133,32,12,13,27,9,34567,39836,41640,0,0,0,1.000,1.000,1.000,119,12,0,0.1770,0.1936,0.5142,0.0771
36000,196,0.4184,7672.5,1142,160,28,8,11,21,8,33509,38767,41045,0,0,0,1.000,1.000,1.000,145,8,1,0.2255,0.1619,0.5615,0.0708
37000,256,0.4844,7974.5,1055,176,62,18,15,47,17,33476,37773,39792,0,0,0,1.000,1.000,1.000,138,21,1,0.3772,0.1182,0.7676,0.0677
