run,seed,way,share,n,size,speed,age,flesh,lineages,top_lineage,top_lineage_share,places,crossed,travel,on_rich
e011 width 1,3,plant / no tooth,0.7423747276688453,1363,34.0,0.0,503.0,0.0,17,2,0.8532648569332355,,,,
e011 width 1,3,flesh / tooth,0.16176470588235295,297,64.0,0.226,736.0,0.7974888420226593,23,467,0.31986531986531985,,,,
e011 width 1,3,mixed / tooth,0.08278867102396514,152,64.0,0.2275,629.0,0.5806905584625683,10,467,0.4407894736842105,,,,
e011 width 1,3,mixed / no tooth,0.010348583877995643,19,64.0,0.0,457.0,0.4648951730862994,6,386,0.3684210526315789,,,,
e011 width 1,3,flesh / no tooth,0.0016339869281045752,3,64.0,0.023,468.0,0.8729590136621126,3,386,0.3333333333333333,,,,
e011 width 1,3,plant / tooth,0.0010893246187363835,2,60.0,0.088,369.0,0.2913103099921762,2,333,0.5,,,,
e011 width 1,4,plant / no tooth,0.7502274795268425,1649,64.0,0.0,938.0,0.0007031112673580594,75,813,0.1255306246209824,,,,
e011 width 1,4,plant / tooth,0.1191992720655141,262,63.0,0.066,1281.5,0.24880195339906264,14,1198,0.44656488549618323,,,,
e011 width 1,4,mixed / tooth,0.11555959963603275,254,61.0,0.131,824.0,0.45891266460186697,16,1198,0.5433070866141733,,,,
e011 width 1,4,flesh / tooth,0.015013648771610554,33,64.0,0.172,554.0,0.7374919302775984,6,633,0.48484848484848486,,,,
e012 widths 8+1,1,plant / no tooth,0.9381096535486041,5578,6.0,0.0,971.5,0.0,105,1238,0.12101111509501614,0:0.01 1:0.10 8:0.88,0.015955539619935462,,
e012 widths 8+1,1,plant / tooth,0.041204170871173895,245,64.0,0.062,1255.0,0.2470157378996338,10,1036,0.40408163265306124,0:0.01 1:0.98 8:0.00,0.012244897959183673,,
e012 widths 8+1,1,flesh / tooth,0.012108980827447022,72,64.0,0.188,806.0,0.7628848352787136,9,1036,0.2916666666666667,0:0.03 1:0.94 8:0.03,0.05555555555555555,,
e012 widths 8+1,1,mixed / tooth,0.008072653884964682,48,64.0,0.094,1139.5,0.3720258648389363,9,1500,0.3125,0:0.04 1:0.96,0.041666666666666664,,
e012 widths 8+1,1,mixed / no tooth,0.0005045408678102926,3,64.0,0.0,559.0,0.36685399976085137,1,1036,1.0,1:1.00,0,,
e012 widths 8+1,2,plant / no tooth,0.9466027725483485,5531,6.0,0.0,865.0,0.0,45,101,0.6487072862050263,0:0.01 1:0.15 8:0.84,0.024950280238654855,,
e012 widths 8+1,2,mixed / tooth,0.03867876091049119,226,64.0,0.226,771.5,0.5298956729432392,6,549,0.39823008849557523,0:0.01 1:0.95 8:0.04,0.04424778761061947,,
e012 widths 8+1,2,flesh / tooth,0.008214958069484853,48,64.0,0.255,1001.5,0.701165466913376,6,675,0.4375,1:0.96 8:0.04,0.0625,,
e012 widths 8+1,2,mixed / no tooth,0.0049632038336470995,29,48.0,0.0,379.0,0.45490670352453355,4,684,0.8275862068965517,1:1.00,0,,
e012 widths 8+1,2,plant / tooth,0.0013691596782474755,8,50.0,0.0965,344.5,0.27849502740838583,4,684,0.5,0:0.12 1:0.50 8:0.38,0.125,,
e012 widths 8+1,2,flesh / no tooth,0.00017114495978093444,1,60.0,0.05,359.0,0.7805255023183926,1,684,1.0,1:1.00,0,,
e012 widths 8+1,3,plant / no tooth,0.9313635529454946,5075,5.0,0.0,984.0,0.0,70,944,0.20729064039408868,0:0.01 1:0.08 8:0.91,0.01832512315270936,,
e012 widths 8+1,3,plant / tooth,0.036336942558267575,198,44.0,0.167,470.5,0.18938436936043174,11,999,0.4696969696969697,0:0.01 1:0.96 8:0.03,0.020202020202020204,,
e012 widths 8+1,3,mixed / tooth,0.02881262616993944,157,64.0,0.235,538.0,0.45686762636648987,11,1492,0.19745222929936307,0:0.02 1:0.97 8:0.01,0.025477707006369428,,
e012 widths 8+1,3,flesh / tooth,0.0023857588548357495,13,64.0,0.25,433.0,0.7026672905942911,6,1492,0.38461538461538464,1:1.00,0,,
e012 widths 8+1,3,mixed / no tooth,0.0011011194714626537,6,32.5,0.0,1443.5,0.358343979561298,5,878,0.3333333333333333,1:1.00,0,,
e012 widths 8+1,4,plant / no tooth,0.9330008312551954,5612,5.0,0.0,933.0,0.0,100,1041,0.20153243050605846,0:0.02 1:0.14 8:0.84,0.025302922309337134,,
e012 widths 8+1,4,plant / tooth,0.0344139650872818,207,64.0,0.062,1385.0,0.2293799608880709,16,1119,0.3188405797101449,0:0.00 1:0.99 8:0.01,0.014492753623188406,,
e012 widths 8+1,4,mixed / tooth,0.020781379883624274,125,64.0,0.119,1261.0,0.4601870029614349,13,1119,0.496,1:1.00,0,,
e012 widths 8+1,4,flesh / tooth,0.010141313383208644,61,64.0,0.188,1144.0,0.7559100204498977,9,1159,0.4426229508196721,1:0.98 8:0.02,0.01639344262295082,,
e012 widths 8+1,4,mixed / no tooth,0.0016625103906899418,10,64.0,0.0,382.0,0.44326066280083976,2,1448,0.9,1:1.00,0,,
e025 weight 0,1,flesh / no tooth,0.9311740890688259,4140,12.0,0.0,723.0,0.8045972374159516,2,1,0.9980676328502416,0:0.92 1:0.08 2:0.00,0.005555555555555556,,
e025 weight 0,1,mixed / no tooth,0.06837606837606838,304,12.0,0.0,891.5,0.6336856674242339,2,1,0.9736842105263158,0:0.95 1:0.03 2:0.01,0.01644736842105263,,
e025 weight 0,1,plant / no tooth,0.000449842555105713,2,14.5,0.0,364.0,0.19750161832273963,1,1,1.0,1:1.00,0.5,,
e025 weight 0,2,flesh / no tooth,0.9442788351295575,4118,12.0,0.0,700.5,0.8100128494116299,5,1,0.48712967459932005,0:0.91 1:0.09,0.004371053909664886,,
e025 weight 0,2,mixed / no tooth,0.0554918596652144,242,12.0,0.0,910.0,0.6361197629824232,4,1,0.5909090909090909,0:0.95 1:0.05,0.004132231404958678,,
e025 weight 0,2,plant / no tooth,0.00022930520522815867,1,16.0,0.0,426.0,0.3313794450957405,1,194,1.0,0:1.00,0,,
e025 weight 0,3,flesh / no tooth,0.8339444735463594,3184,12.0,0.0,667.0,0.7815083356474184,5,1,0.9167713567839196,0:0.87 1:0.13 2:0.00,0.011620603015075377,,
e025 weight 0,3,mixed / no tooth,0.1639601885804086,626,12.0,0.0,939.5,0.6273155987053085,5,1,0.8753993610223643,0:0.90 1:0.07 2:0.02,0.023961661341853034,,
e025 weight 0,3,plant / no tooth,0.0020953378732320588,8,12.0,0.0,364.5,0.2763740850991187,3,241,0.5,0:0.38 1:0.12 2:0.50,0.125,,
e025 weight 0,4,flesh / no tooth,0.9350501367365542,4103,12.0,0.0,738.0,0.8095629699248119,1,1,1.0,0:0.89 1:0.09 2:0.01,0.007555447233731416,,
e025 weight 0,4,mixed / no tooth,0.06426618049225159,282,12.0,0.0,1097.5,0.6360981799361853,1,1,1.0,0:0.87 1:0.09 2:0.05,0.02127659574468085,,
e025 weight 0,4,plant / no tooth,0.0006836827711941659,3,12.0,0.0,346.0,0.2798184069335535,1,1,1.0,0:0.33 2:0.67,0.3333333333333333,,
e025 weight 1,1,mixed / no tooth,0.5921787709497207,318,16.0,0.0,394.0,0.5162594268410838,8,955,0.7012578616352201,0:0.44 1:0.28 2:0.27,0.22012578616352202,,
e025 weight 1,1,plant / no tooth,0.19925512104283055,107,12.0,0.0,394.0,0.2680237489397795,8,955,0.5700934579439252,0:0.54 1:0.45 2:0.01,0.1308411214953271,,
e025 weight 1,1,flesh / no tooth,0.1824953445065177,98,16.0,0.0,360.5,0.7343355146329051,7,955,0.5510204081632653,0:0.45 1:0.39 2:0.16,0.23469387755102042,,
e025 weight 1,1,flesh / tooth,0.0148975791433892,8,16.0,0.23299999999999998,350.5,0.933492958654249,4,3100,0.5,0:0.25 1:0.38 2:0.38,0.625,,
e025 weight 1,1,mixed / tooth,0.0111731843575419,6,15.5,0.1785,364.0,0.6000125873801153,4,2735,0.3333333333333333,0:0.67 1:0.33,0.5,,
e025 weight 1,2,mixed / no tooth,0.5566150178784267,467,13.0,0.0,416.0,0.5143701316142896,10,377,0.4539614561027837,0:0.41 1:0.42 2:0.17,0.14989293361884368,,
e025 weight 1,2,flesh / no tooth,0.20738974970202623,174,13.0,0.0,373.0,0.7497679004655917,8,4,0.5344827586206896,0:0.42 1:0.43 2:0.16,0.22413793103448276,,
e025 weight 1,2,plant / no tooth,0.14541120381406436,122,12.0,0.0,480.5,0.2689174734617184,8,377,0.4098360655737705,0:0.53 1:0.46 2:0.01,0.03278688524590164,,
e025 weight 1,2,flesh / tooth,0.04410011918951132,37,10.0,0.195,339.0,0.8554216867469878,2,4,0.8378378378378378,0:0.38 1:0.43 2:0.19,0.2702702702702703,,
e025 weight 1,2,mixed / tooth,0.03575685339690107,30,10.0,0.151,404.5,0.5462149421148501,2,4,0.7666666666666667,0:0.50 1:0.50,0.23333333333333334,,
e025 weight 1,2,plant / tooth,0.010727056019070322,9,11.0,0.195,373.0,0.2302320342419464,2,4,0.8888888888888888,0:0.67 1:0.33,0,,
e025 weight 1,3,mixed / no tooth,0.49557522123893805,168,16.0,0.0,444.5,0.49365042394286984,4,189,0.5952380952380952,0:0.43 1:0.46 2:0.11,0.13095238095238096,,
e025 weight 1,3,plant / no tooth,0.19174041297935104,65,14.0,0.0,523.0,0.2513506560329303,3,189,0.5538461538461539,0:0.62 1:0.38,0.09230769230769231,,
e025 weight 1,3,flesh / no tooth,0.12684365781710916,43,15.0,0.0,362.0,0.73922507618633,2,189,0.813953488372093,0:0.70 1:0.30,0.16279069767441862,,
e025 weight 1,3,mixed / tooth,0.10029498525073746,34,40.0,0.3035,462.0,0.45655588120845586,1,332,1.0,0:0.53 1:0.44 2:0.03,0.17647058823529413,,
e025 weight 1,3,flesh / tooth,0.04424778761061947,15,32.0,0.327,431.0,0.7744075829383885,1,332,1.0,0:0.80 1:0.13 2:0.07,0.4666666666666667,,
e025 weight 1,3,plant / tooth,0.04129793510324484,14,40.0,0.2565,465.0,0.2686300071221749,1,332,1.0,0:0.50 1:0.50,0,,
e025 weight 1,4,mixed / no tooth,0.48513986013986016,555,12.0,0.0,398.0,0.5276243093922652,30,1,0.7693693693693694,0:0.46 1:0.36 2:0.17,0.16576576576576577,,
e025 weight 1,4,flesh / no tooth,0.2674825174825175,306,12.0,0.0,374.5,0.7460796138534954,20,1,0.6078431372549019,0:0.43 1:0.37 2:0.20,0.22875816993464052,,
e025 weight 1,4,plant / no tooth,0.11800699300699301,135,11.0,0.0,424.0,0.262399708242159,18,1,0.6666666666666666,0:0.58 1:0.41 2:0.01,0.05925925925925926,,
e025 weight 1,4,flesh / tooth,0.11276223776223776,129,6.0,0.2,363.0,0.924408336276934,21,3610,0.29457364341085274,0:0.39 1:0.37 2:0.24,0.5038759689922481,,
e025 weight 1,4,mixed / tooth,0.013986013986013986,16,6.0,0.167,420.0,0.6196437772335486,6,3138,0.3125,0:0.56 1:0.44,0.3125,,
e025 weight 1,4,plant / tooth,0.0026223776223776225,3,6.0,0.167,560.0,0.3141644152836743,3,3157,0.3333333333333333,0:1.00,0,,
e026 cloud 1,1,mixed / no tooth,0.5253940455341506,300,64.0,0.0795,454.0,0.5630568587904521,37,1,0.43333333333333335,0:0.46 1:0.38 2:0.16,0.24,,
e026 cloud 1,1,flesh / no tooth,0.4238178633975482,242,64.0,0.148,445.5,0.7542844191715288,47,1,0.2396694214876033,0:0.47 1:0.34 2:0.19,0.32231404958677684,,
e026 cloud 1,1,plant / no tooth,0.04553415061295972,26,19.0,0.0,404.5,0.2738866669905061,6,1,0.7307692307692307,0:0.73 1:0.23 2:0.04,0.11538461538461539,,
e026 cloud 1,1,mixed / tooth,0.0035026269702276708,2,64.0,0.0765,1105.0,0.5564386480717685,2,2115,0.5,0:0.50 1:0.50,0.5,,
e026 cloud 1,1,flesh / tooth,0.0017513134851138354,1,64.0,0.116,1848.0,0.7449227324930582,1,1735,1.0,0:1.00,0,,
e026 cloud 1,2,mixed / no tooth,0.5160796324655437,337,15.0,0.0,398.0,0.5152484939759036,8,842,0.29673590504451036,0:0.40 1:0.40 2:0.20,0.12759643916913946,,
e026 cloud 1,2,plant / no tooth,0.18683001531393567,122,12.0,0.0,443.0,0.26455277826041307,8,842,0.4672131147540984,0:0.58 1:0.42,0.040983606557377046,,
e026 cloud 1,2,flesh / no tooth,0.18376722817764166,120,15.0,0.0,359.5,0.7387525691985911,6,599,0.25833333333333336,0:0.35 1:0.36 2:0.29,0.26666666666666666,,
e026 cloud 1,2,mixed / tooth,0.05819295558958652,38,12.0,0.2295,367.5,0.5122249879215102,3,842,0.5526315789473685,0:0.66 1:0.34,0.15789473684210525,,
e026 cloud 1,2,flesh / tooth,0.04900459418070444,32,11.0,0.243,336.5,0.8093222744860662,2,842,0.6875,0:0.34 1:0.53 2:0.12,0.46875,,
e026 cloud 1,2,plant / tooth,0.006125574272588055,4,12.0,0.2445,475.5,0.29422958122660525,3,842,0.5,0:0.50 1:0.50,0,,
e026 cloud 1,3,mixed / no tooth,0.4792243767313019,173,24.0,0.0,391.0,0.4933732364258229,7,1,0.4277456647398844,0:0.36 1:0.36 2:0.27,0.19653179190751446,,
e026 cloud 1,3,plant / no tooth,0.19667590027700832,71,22.0,0.0,421.0,0.2501055594651654,5,1,0.647887323943662,0:0.56 1:0.44,0.11267605633802817,,
e026 cloud 1,3,flesh / no tooth,0.14681440443213298,53,24.0,0.0,352.0,0.7499508551208964,6,1,0.6226415094339622,0:0.58 1:0.17 2:0.25,0.3584905660377358,,
e026 cloud 1,3,mixed / tooth,0.08310249307479224,30,17.0,0.1965,368.5,0.534501751700466,1,1,1.0,0:0.53 1:0.40 2:0.07,0.4,,
e026 cloud 1,3,flesh / tooth,0.06925207756232687,25,17.0,0.255,367.0,0.7980566801619433,1,1,1.0,0:0.40 1:0.48 2:0.12,0.32,,
e026 cloud 1,3,plant / tooth,0.024930747922437674,9,14.0,0.27,338.0,0.2199322416713721,1,1,1.0,0:0.44 1:0.56,0.1111111111111111,,
e026 cloud 1,4,flesh / no tooth,0.5416204217536071,976,15.0,0.2,468.5,0.7704478269232716,15,222,0.6506147540983607,0:0.59 1:0.30 2:0.11,0.24180327868852458,,
e026 cloud 1,4,mixed / no tooth,0.44173140954495005,796,15.0,0.188,606.0,0.5726960424021881,19,222,0.5766331658291457,0:0.68 1:0.29 2:0.03,0.1507537688442211,,
e026 cloud 1,4,plant / no tooth,0.016648168701442843,30,16.0,0.0,408.5,0.2725112225052719,5,222,0.5666666666666667,0:0.80 1:0.20,0.1,,
e026 season 0.5,1,mixed / no tooth,0.44680851063829785,588,15.0,0.0,407.5,0.5600774102044941,12,11,0.6513605442176871,0:0.43 1:0.37 2:0.20,0.1717687074829932,,
e026 season 0.5,1,flesh / no tooth,0.3191489361702128,420,15.0,0.0,371.0,0.7549708915609052,12,11,0.5333333333333333,0:0.43 1:0.36 2:0.21,0.2785714285714286,,
e026 season 0.5,1,flesh / tooth,0.13905775075987842,183,8.0,0.167,368.0,0.8739886731391586,8,3102,0.39344262295081966,0:0.42 1:0.37 2:0.21,0.4918032786885246,,
e026 season 0.5,1,plant / no tooth,0.07446808510638298,98,12.5,0.0,410.0,0.26558479532163737,7,11,0.45918367346938777,0:0.57 1:0.42 2:0.01,0.10204081632653061,,
e026 season 0.5,1,mixed / tooth,0.018996960486322188,25,8.0,0.167,384.0,0.5936026936026936,5,3102,0.4,0:0.56 1:0.44,0.32,,
e026 season 0.5,1,plant / tooth,0.001519756838905775,2,8.5,0.134,443.5,0.26977879003403715,1,4782,1.0,1:1.00,0.5,,
e026 season 0.5,2,mixed / no tooth,0.5056980056980057,710,14.0,0.0,491.5,0.5761848651337723,47,8419,0.17746478873239438,0:0.58 1:0.33 2:0.09,0.1563380281690141,,
e026 season 0.5,2,flesh / no tooth,0.4772079772079772,670,14.0,0.2,437.0,0.761389163263257,41,8419,0.21641791044776118,0:0.58 1:0.35 2:0.07,0.20597014925373133,,
e026 season 0.5,2,plant / no tooth,0.01638176638176638,23,12.0,0.0,402.0,0.29157117392411513,13,6756,0.2608695652173913,0:0.57 1:0.43,0.043478260869565216,,
e026 season 0.5,2,flesh / tooth,0.0007122507122507123,1,26.0,0.241,359.0,0.8655052264808363,1,4955,1.0,0:1.00,0,,
e026 season 0.5,3,mixed / no tooth,0.5,273,17.0,0.0,421.0,0.5369629500782744,6,606,0.7655677655677655,0:0.55 1:0.26 2:0.19,0.1684981684981685,,
e026 season 0.5,3,flesh / no tooth,0.23992673992673993,131,17.0,0.0,378.0,0.7445921292676569,4,606,0.7709923664122137,0:0.52 1:0.32 2:0.16,0.19083969465648856,,
e026 season 0.5,3,plant / no tooth,0.11904761904761904,65,17.0,0.0,413.0,0.2664509605662285,6,606,0.7076923076923077,0:0.57 1:0.43,0.03076923076923077,,
e026 season 0.5,3,mixed / tooth,0.06776556776556776,37,64.0,0.217,446.0,0.5215479331574318,3,1256,0.40540540540540543,0:0.73 1:0.27,0.10810810810810811,,
e026 season 0.5,3,flesh / tooth,0.04395604395604396,24,64.0,0.269,340.5,0.7647603394700335,3,1127,0.5,0:0.75 1:0.21 2:0.04,0.375,,
e026 season 0.5,3,plant / tooth,0.029304029304029304,16,64.0,0.3125,517.0,0.22918376062227958,3,1127,0.5,0:0.56 1:0.44,0.0625,,
e026 season 0.5,4,mixed / no tooth,0.3836104513064133,323,16.0,0.0,443.0,0.4863025070562842,7,3,0.8544891640866873,0:0.51 1:0.40 2:0.09,0.16408668730650156,,
e026 season 0.5,4,plant / no tooth,0.20308788598574823,171,16.0,0.0,480.0,0.24780134505949303,8,3,0.8888888888888888,0:0.56 1:0.43 2:0.01,0.0935672514619883,,
e026 season 0.5,4,mixed / tooth,0.1496437054631829,126,17.0,0.1915,386.5,0.501065130590772,2,3,0.9682539682539683,0:0.46 1:0.53 2:0.01,0.15079365079365079,,
e026 season 0.5,4,flesh / no tooth,0.11401425178147269,96,17.0,0.0,390.0,0.7468508524469522,5,3,0.78125,0:0.47 1:0.47 2:0.06,0.23958333333333334,,
e026 season 0.5,4,flesh / tooth,0.09263657957244656,78,17.0,0.21,369.0,0.7684852892015213,2,3,0.9871794871794872,0:0.44 1:0.49 2:0.08,0.24358974358974358,,
e026 season 0.5,4,plant / tooth,0.057007125890736345,48,17.0,0.196,422.0,0.25755006823811977,2,3,0.9583333333333334,0:0.54 1:0.46,0.08333333333333333,,
e028 gut curve,1,plant / no tooth,0.7363966142684402,609,12.0,0.0,489.0,0.23574749204795695,5,1123,0.9917898193760263,0:0.51 1:0.40 2:0.09,0.21839080459770116,,
e028 gut curve,1,mixed / no tooth,0.2599758162031439,215,13.0,0.0,430.0,0.3838793853290809,4,1123,0.9813953488372092,0:0.58 1:0.35 2:0.07,0.19534883720930232,,
e028 gut curve,1,flesh / no tooth,0.0024183796856106408,2,35.0,0.075,349.5,0.7547063724955813,2,1200,0.5,0:1.00,0,,
e028 gut curve,1,mixed / tooth,0.0012091898428053204,1,43.0,0.241,437.0,0.35140747577295806,1,1123,1.0,0:1.00,0,,
e028 gut curve,2,plant / no tooth,0.8041349292709467,739,19.0,0.0,847.0,0.21992500253369818,2,1,0.6806495263870095,0:0.56 1:0.43 2:0.01,0.05277401894451962,,
e028 gut curve,2,mixed / no tooth,0.19042437431991294,175,17.0,0.0,506.0,0.3883161512027491,2,1,0.6685714285714286,0:0.49 1:0.49 2:0.02,0.12,,
e028 gut curve,2,flesh / no tooth,0.004352557127312296,4,16.0,0.0,316.0,0.7318311570406797,1,342,1.0,0:0.75 1:0.25,0,,
e028 gut curve,2,plant / tooth,0.001088139281828074,1,44.0,0.339,626.0,0.2996774193548387,1,1,1.0,1:1.00,0,,
e028 gut curve,3,plant / no tooth,0.7249134948096886,419,14.0,0.0,436.0,0.2321954090641554,50,2972,0.19331742243436753,0:0.53 1:0.38 2:0.08,0.12649164677804295,,
e028 gut curve,3,mixed / no tooth,0.2750865051903114,159,15.0,0.0,382.0,0.382829373650108,40,2972,0.20754716981132076,0:0.58 1:0.36 2:0.06,0.14465408805031446,,
e028 gut curve,4,plant / no tooth,0.6836879432624113,482,14.0,0.0,544.0,0.23364165705599443,5,826,0.9149377593360996,0:0.54 1:0.40 2:0.06,0.14107883817427386,,
e028 gut curve,4,mixed / no tooth,0.3148936170212766,222,14.0,0.0,455.0,0.40306274993459656,5,826,0.8738738738738738,0:0.59 1:0.36 2:0.06,0.14864864864864866,,
e028 gut curve,4,flesh / no tooth,0.0014184397163120568,1,20.0,0.0,353.0,0.8487619047619048,1,826,1.0,0:1.00,0,,
e032 flat 0.75,1,plant / no tooth,0.6325839236218047,2054,11.0,0.0,814.0,0.08456928827332173,27,1,0.7341772151898734,0:0.38 1:0.39 2:0.23,0.21470301850048684,,
e032 flat 0.75,1,mixed / no tooth,0.20203264551894057,656,11.0,0.28200000000000003,948.0,0.49447847958738167,28,1,0.2027439024390244,0:0.46 1:0.43 2:0.11,0.30335365853658536,,
e032 flat 0.75,1,flesh / no tooth,0.1607637819525716,522,9.0,0.333,740.0,0.786989940647639,21,744,0.1724137931034483,0:0.36 1:0.40 2:0.25,0.4521072796934866,,
e032 flat 0.75,1,plant / tooth,0.002771789344009855,9,27.0,0.318,709.0,0.19125683060109294,4,1,0.6666666666666666,0:0.44 1:0.44 2:0.11,0,,
e032 flat 0.75,1,flesh / tooth,0.0009239297813366184,3,35.0,0.339,726.0,0.9199231262011531,2,1,0.6666666666666666,0:0.67 2:0.33,0,,
e032 flat 0.75,1,mixed / tooth,0.0009239297813366184,3,16.0,0.214,617.0,0.5277587388622345,3,744,0.3333333333333333,0:0.33 1:0.33 2:0.33,0,,
e032 flat 0.75,2,plant / no tooth,0.6415981198589894,1638,16.0,0.188,1351.0,0.1832262154176958,68,1981,0.2619047619047619,0:0.38 1:0.33 2:0.29,0.31868131868131866,,
e032 flat 0.75,2,mixed / no tooth,0.32314923619271446,825,16.0,0.188,1149.0,0.4327587824944474,67,1981,0.27515151515151515,0:0.54 1:0.35 2:0.11,0.22787878787878788,,
e032 flat 0.75,2,flesh / no tooth,0.033294163728946335,85,16.0,0.032,748.0,0.7547302032235459,29,1981,0.23529411764705882,0:0.66 1:0.25 2:0.09,0.12941176470588237,,
e032 flat 0.75,2,plant / tooth,0.0011750881316098707,3,16.0,0.118,1067.0,0.022625448028673834,3,1981,0.3333333333333333,0:0.67 1:0.33,0,,
e032 flat 0.75,2,mixed / tooth,0.0007833920877399138,2,16.0,0.134,602.5,0.46255355679183996,1,1981,1.0,0:1.00,0,,
e032 flat 0.75,3,plant / no tooth,0.5579641847313855,1184,16.0,0.232,1058.5,0.15916478687400404,90,1216,0.15962837837837837,0:0.45 1:0.36 2:0.19,0.27280405405405406,,
e032 flat 0.75,3,mixed / no tooth,0.3878416588124411,823,16.0,0.25,1229.0,0.44136807817589574,87,1620,0.11543134872417983,0:0.44 1:0.36 2:0.20,0.36938031591737547,,
e032 flat 0.75,3,flesh / no tooth,0.04571159283694628,97,16.0,0.25,508.0,0.7563430266433603,38,1620,0.18556701030927836,0:0.48 1:0.36 2:0.15,0.32989690721649484,,
e032 flat 0.75,3,plant / tooth,0.006597549481621112,14,16.0,0.206,1267.5,0.2144068115565166,5,2458,0.6428571428571429,0:0.43 1:0.36 2:0.21,0.2857142857142857,,
e032 flat 0.75,3,mixed / tooth,0.001885014137606032,4,16.0,0.1725,431.5,0.4789940134168664,2,2458,0.75,0:0.50 2:0.50,0,,
e032 winter high 2,1,plant / no tooth,0.5935847726471625,1684,13.0,0.0,599.0,0.06818685719838741,31,407,0.6567695961995249,0:0.41 1:0.36 2:0.23,0.21852731591448932,,
e032 winter high 2,1,flesh / tooth,0.1681353542474445,477,8.0,0.2,486.0,0.8737686975556366,6,2807,0.5828092243186582,0:0.45 1:0.35 2:0.20,0.570230607966457,,
e032 winter high 2,1,flesh / no tooth,0.10186817060274939,289,7.0,0.125,578.0,0.8391484328799527,22,2807,0.38408304498269896,0:0.49 1:0.35 2:0.16,0.5294117647058824,,
e032 winter high 2,1,mixed / no tooth,0.09235107507930913,262,8.0,0.0,553.5,0.46452465889013883,20,2807,0.2748091603053435,0:0.53 1:0.39 2:0.07,0.33969465648854963,,
e032 winter high 2,1,mixed / tooth,0.02855128657032076,81,7.0,0.167,641.0,0.5082897033158813,5,2807,0.43209876543209874,0:0.57 1:0.31 2:0.12,0.5679012345679012,,
e032 winter high 2,1,plant / tooth,0.015509340853013746,44,7.0,0.167,619.5,0.17707518594180383,5,545,0.4090909090909091,0:0.70 1:0.27 2:0.02,0.20454545454545456,,
e032 winter high 2,2,plant / no tooth,0.5652015982564476,1556,16.0,0.0,840.0,0.07268677109909782,26,786,0.6741645244215938,0:0.41 1:0.36 2:0.22,0.20051413881748073,,
e032 winter high 2,2,mixed / no tooth,0.26334907373774064,725,16.0,0.258,1116.0,0.4755933721450962,22,1259,0.2303448275862069,0:0.53 1:0.40 2:0.07,0.2317241379310345,,
e032 winter high 2,2,flesh / no tooth,0.15510352342898656,427,16.0,0.281,799.0,0.7975635593220339,20,1047,0.26229508196721313,0:0.40 1:0.43 2:0.17,0.3864168618266979,,
e032 winter high 2,2,plant / tooth,0.00944424264438794,26,22.5,0.22449999999999998,800.5,0.10544534821114018,8,786,0.5384615384615384,0:0.65 1:0.23 2:0.12,0.038461538461538464,,
