run,seed,steps,bodies,grown,ways,ways_diet_tooth,ways_by_place,ways_lineage,q1,ways_rarefied,kinds_rarefied,tooth,roams,kills_share,state
e012 widths 8+1,3,500000 600000 700000 800000 900000 1000000,2363.3333333333335,908.1666666666666,1.1666666666666667,1.1666666666666667,2.6666666666666665,1.1666666666666667,1.338549830660753,3.0058333333333334,20.133333333333333,0.06542086339120551,,0.0983022343339954,
e012 widths 8+1,4,500000 600000 700000 800000 900000 1000000,2452.6666666666665,1002.5,1.1666666666666667,1.1666666666666667,3.3333333333333335,1.5,1.3624091818286435,3.415,14.429166666666667,0.06557544078808338,,0.08066035252277312,
e025 weight 0,1,300000 400000 500000,3594.6666666666665,1482,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1.2844194174674957,2.025,3.5733333333333333,0,,1.7437164534934293e-06,grazer
e025 weight 0,2,300000 400000 500000,3286.3333333333335,1453.6666666666667,2,2,2,1,1.2415201869319146,2.0166666666666666,3.6066666666666665,0,,2.0210133841856027e-07,grazer
e025 weight 0,3,300000 400000 500000,3394,1272.6666666666667,2,2,2,1,1.584739039718116,2.1916666666666664,4.21,0,,8.573511701296082e-07,grazer
e025 weight 0,4,300000 400000 500000,3350,1462.6666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1.2747271086548058,2.078333333333333,3.4133333333333336,0,,5.2227450863730615e-06,grazer
e025 weight 1,1,300000 400000 500000,4452.666666666667,179,3,3,3.3333333333333335,1,2.8551903468387265,4.545,32.846666666666664,0.02582348028084462,,0.4599692616496226,hunter
e025 weight 1,2,300000 400000 500000,4370.333333333333,279.6666666666667,3.3333333333333335,3.3333333333333335,4,1,3.413948736927606,5.666666666666667,29.84,0.08792707332692924,,0.42947452039660056,hunter
e025 weight 1,3,300000 400000 500000,2529.6666666666665,113,3.6666666666666665,3.6666666666666665,5.666666666666667,1.3333333333333333,3.8100463044658177,5.985,31.998333333333335,0.1651960097187179,,0.40045725600403914,hunter
e025 weight 1,4,300000 400000 500000,4714,381.3333333333333,4,4,4,3,3.552767791225703,5.008333333333333,20.873333333333335,0.12875241932298456,,0.4005254740467507,hunter
e026 cloud 1,1,300000 400000 500000,1910,190.33333333333334,2.3333333333333335,2.3333333333333335,2.6666666666666665,2,2.339616556684851,3.4466666666666668,20.566666666666666,0.004885836337640237,,0.23568997387048077,grazer
e026 cloud 1,2,300000 400000 500000,3916.6666666666665,217.66666666666666,4,4,4.666666666666667,1,3.6521235339361056,5.505,30.566666666666666,0.11143953346229957,,0.40704293894973714,hunter
e026 cloud 1,3,300000 400000 500000,2630,120.33333333333333,4,4,5.666666666666667,1,4.099565596775339,5.9383333333333335,36.62833333333333,0.1772399133159413,,0.37866987989786516,hunter
e026 cloud 1,4,300000 400000 500000,3691.6666666666665,600.6666666666666,2,2,2,1.6666666666666667,2.138159940560816,2.8383333333333334,14.851666666666667,0,,0.20591980364661763,grazer
e026 season 0.5,1,300000 400000 500000,5175,438.6666666666667,4,4,4,1.6666666666666667,3.563123747290815,5.035,25.81,0.15911876464471839,,0.3701322001481906,hunter
e026 season 0.5,2,300000 400000 500000,3501,468,2,2,2,2,2.1569200809717994,2.921666666666667,14.391666666666666,0.0009950248756218905,,0.1460064783652031,grazer
e026 season 0.5,3,300000 400000 500000,2504,182,4.333333333333333,4.333333333333333,5,1,3.907947082010515,5.9383333333333335,27.698333333333334,0.1423321827541107,,0.32450607144911914,hunter
e026 season 0.5,4,300000 400000 500000,2690,280.6666666666667,5.333333333333333,5.333333333333333,5.666666666666667,1.3333333333333333,4.9256856478383915,5.998333333333333,33.69,0.2979924242424242,,0.34514172234186224,hunter
e028 gut curve,1,300000 400000 500000,1342,275.6666666666667,2,2,2,1,1.8109973595592537,2.328333333333333,10.928333333333333,0.0012077294685990338,,0.01791835168005835,grazer
e028 gut curve,2,300000 400000 500000,1026,306.3333333333333,2,2,2,1,1.6769172140849788,2.3916666666666666,13.323333333333332,0.0010857763300760044,,0.0030333382038298974,grazer
e028 gut curve,3,300000 400000 500000,1339,192.66666666666666,2,2,2,1,1.7973356085668923,2.0,12.413333333333334,0,,0.045808745376902556,grazer
e028 gut curve,4,300000 400000 500000,1347.3333333333333,235,2,2,2,1,1.8645444890740182,2.1416666666666666,9.89,0,,0.0006849778411511057,grazer
e032 flat 0.75,1,200000 300000,2890.5,1624,3,3,3,2.5,2.544830054911419,3.42,20.0825,0.005009456821444577,,0.226409718832406,grazer
e032 flat 0.75,2,200000 300000,1805,1277,2,2,2.5,2,2.167924265577672,3.115,20.8975,0.0018670649738610904,,0.09929456821896158,grazer
e032 flat 0.75,3,200000 300000,1627,1061,2.5,2.5,2.5,2,2.3852077230664954,3.5300000000000002,16.1325,0.008337592043692147,,0.15257476136635606,grazer
e032 winter high 2,1,200000 300000,3707,1418.5,4,4,4,2.5,3.396267226738482,5.7475,29.275,0.21463744175816285,,0.3053754930796611,hunter
e032 winter high 2,2,200000 300000,2225,1377.5,3,3,3,2,2.841237825476096,4.1475,27.3275,0.016332227671480355,,0.1765947093376864,grazer
e032 winter high 2,3,200000 300000,1830,1345,5.5,5.5,6,1,3.991837973387948,6.0,31.625,0.29119675640294196,,0.14813824297875094,grazer
e037 control,9,100000,3580,1513,3,3,3,2,2.4571063904481294,3.48,20.555,0.005948446794448116,,0.24377119239240955,grazer
e037 k 0.6,9,100000,2080,1515,6,6,6,2,4.392598316328921,5.995,38.185,0.2871287128712871,,0.1140428981492826,grazer
e038 k 0.6 sun 2,9,100000,3431,2203,6,6,6,2,4.658211985292812,6.0,32.25,0.283250113481616,,0.1269659314111391,grazer
e038 k 0.6 sun 4,9,100000,3127,2160,3,3,3,1,2.3639388567913135,3.33,19.935,0.0032407407407407406,,0.2322527618305197,grazer
e038 sun 2,9,100000,4257,2127,3,3,3,3,2.7555457557217657,3.025,17.575,0.0004701457451810061,,0.24741198630839467,grazer
e038 sun 4,9,100000,4330,2566,3,3,3,2,2.7300273068926555,4.34,24.135,0.017926734216679657,,0.22293527397661655,grazer
e039 reach 1,1,200000 300000,2504.5,1529.5,3,3,3,1.5,2.494514523220565,3.8425,26.6475,0.011732416764992561,,0.19268554113295605,grazer
e039 reach 1,2,200000 300000,866.5,510.5,3,3,3,1,1.9220639278899334,3.0,22.7775,0,,0.14941573015897786,grazer
e039 reach 1,3,200000 300000,1981,1303.5,2.5,2.5,3,2,2.3524059142471625,2.9925,12.5225,0,,0.09207937844441944,grazer
e039 reach 1,9,100000,1687,1099,3,3,3,1,3.14666861827188,5.395,27.175,0.050955414012738856,,0.20495443220075057,grazer
e039 same reach,1,100000,2070,1168,3,3,3,3,3.0484565653552864,5.265,37.295,0.03767123287671233,,0.22618341418374427,grazer
e039 same reach,2,100000,2490,1244,3,3,3,2,2.681108751853446,3.74,31.61,0.007234726688102894,,0.2531642935219824,hunter
e039 same reach,3,100000,2203,1425,2,2,2,2,2.2317605955463486,2.975,10.385,0,,0.1350332039204269,grazer
e039 same reach,9,100000,2940,1537,3,3,3,1,3.24502715726017,5.545,27.945,0.06636304489264802,,0.119736622647775,grazer
e040 thirst 0.001,9,100000,2527,1020,3,3,3,2,2.759917382952501,3.0,15.975,0,,0.19854379615411247,grazer
e040 thirst 0.002,9,100000,2746,794,3,3,3,3,2.910863998768245,4.66,22.43,0.02644836272040302,,0.17327047473115062,grazer
e040 thirst 0.005,9,100000,1211,397,3,3,3,2,3.0578940859946235,4.6,22.875,0.020151133501259445,,0.054062654894448364,grazer
e041 control,9,100000,3580,1513,3,3,3,2,2.4571063904481294,3.48,20.555,0.005948446794448116,,0.24377119239240955,grazer
e041 stock 1,9,100000,2082,1023,3,3,3,2,2.5035570800864675,3.465,17.76,0.005865102639296188,,0.23376030841589526,grazer
e041 stock 4,9,100000,1126,617,3,3,3,1,2.4052782388502987,3.84,19.31,0.008103727714748784,,0.17607093007034177,grazer
e045 connect,9,100000,2575,650,3,3,3,1,2.2369933277080847,3.605,20.92,0.006153846153846154,,0.35404148215001763,hunter
e045 connect,10,100000,2143,1327,2,2,2,2,1.9085425119202015,2.705,23.865,0.0007535795026375283,,0.16248513663256897,grazer
e045 connect,11,100000,2640,1121,3,3,3,2,2.383543018787181,3.0,14.885,0,,0.30171916073293154,hunter
e045 connect,12,100000,3073,652,5,5,5,1,3.52516312746354,5.93,31.315,0.19785276073619631,,0.3677217427404456,hunter
e045 connect,13,100000,2140,1400,2,2,2,2,2.0518988967081553,2.64,12.29,0,,0.16556906939687574,grazer
e045 connect,14,100000,2384,958,4,4,4,2,2.667670393144983,5.26,28.41,0.11691022964509394,,0.36179748282747276,hunter
e045 control,9,100000,2216,1315,2,2,2,2,2.2189718654516755,2.95,12.64,0,,0.15753348206847587,grazer
e045 control,10,100000,2562,700,3,3,3,3,3.0306720513902143,3.52,27.695,0.004285714285714286,,0.34931617561061595,hunter
e045 control,11,100000,2767,955,3,3,3,2,2.935546194908743,3.0,15.385,0,,0.38022013595856574,hunter
e045 control,12,100000,3328,561,3,3,4,2,2.670477645485562,5.3,29.485,0.23529411764705882,,0.40695969788272707,hunter
e045 control,13,100000,2396,1382,3,3,3,3,2.4790783518332615,3.0,11.715,0,,0.20317993181717084,grazer
e045 control,14,100000,2880,992,3,3,3,3,2.99359155637386,3.0,16.31,0,,0.33501888216637776,hunter
e046 plant 0.5,9,100000,1232,319,3,3,3,2,2.518046727585618,3.855,28.095,0.009404388714733543,,0.36400540146932664,hunter
e046 plant 0.5,10,100000,1380,517,3,3,3,3,3.0783055439556692,3.855,29.565,0.009671179883945842,,0.3098908114017428,hunter
e046 plant 0.5,11,100000,1140,633,3,3,3,2,2.6177349249745485,3.0,16.845,0,,0.16878837678865283,grazer
e046 plant 0.5,12,100000,1281,573,3,3,3,2,2.623674291099827,3.175,17.3,0.0017452006980802793,,0.2806467643746054,hunter
e046 plant 0.5,13,100000,1296,545,3,3,3,2,2.842081907055367,3.0,19.37,0,,0.36183863973785724,hunter
e046 plant 0.5,14,100000,1258,470,3,3,3,2,2.9923651504150097,3.0,18.905,0,,0.3325252446383255,hunter
e048 motor,9,100000,2347,756,6,5,7,3,7.937776137428315,11.51,38.37,0.3055555555555556,0.5396825396825397,0.31546043291887454,hunter
e048 motor,10,100000,2159,1557,2,2,3,2,2.6408042736148274,4.37,25.58,0.0012845215157353885,0.48940269749518306,0.03545147395805651,grazer
e048 motor,11,100000,2955,1504,3,2,3,2,2.8648766203224882,4.855,18.42,0.0013297872340425532,0.5831117021276596,0.09981449354327893,grazer
e048 motor,12,100000,2561,634,7,5,7,2,8.549588053301079,11.24,36.35,0.35646687697160884,0.7318611987381703,0.3345528124490983,hunter
e050 brain,9,100000,2175,647,7,6,9,3,8.058778822957526,11.515,47.925,0.321483771251932,0.42967542503863987,0.34204660583398044,hunter
e050 brain,10,100000,2215,803,8,5,8,3,9.273194091448179,11.095,43.11,0.29514321295143214,0.50186799501868,0.2643374297034712,hunter
e050 brain,11,100000,3093,1121,6,3,6,2,5.88053739101046,6.57,18.16,0.006244424620874219,0.5209634255129348,0.26858572747934806,hunter
e050 brain,12,100000,2670,1096,6,3,6,2,5.580948747922115,6.735,20.58,0.009124087591240875,0.5985401459854015,0.2425352819707098,grazer
e051 stock 1,9,100000,1199,279,5,3,6,2,4.963579533123382,5.995,44.63,0,0.7813620071684588,0.33984359065580183,hunter
e051 stock 1,10,100000,1593,959,2,2,2,2,2.741481381067787,4.975,25.56,0.005213764337851929,0.5099061522419187,0.07481079362892663,grazer
e051 stock 1,11,100000,2000,1221,4,2,4,1,3.1353315520853346,4.96,28.245,0,0.3931203931203931,0.0767150196392311,grazer
e051 stock 1,12,100000,1823,1035,4,2,4,2,3.290091756959238,5.06,13.96,0.002898550724637681,0.5033816425120773,0.10332622384778727,grazer
e051 stock 1 brain,9,100000,1337,519,5,4,5,2,6.367569391808427,10.715,42.93,0.11175337186897881,0.5279383429672447,0.28475875894004565,hunter
e051 stock 1 brain,10,100000,1318,484,3,3,5,3,4.4110342336578,7.075,34.595,0.012396694214876033,0.5847107438016529,0.2858898804268689,hunter
e051 stock 1 brain,11,100000,1701,315,6,3,6,3,5.9518184438606525,6.675,34.115,0.006349206349206349,0.5301587301587302,0.2217077416245653,grazer
e051 stock 1 brain,12,100000,1893,991,4,2,4,2,3.126874768358676,5.28,15.955,0.0030272452068617556,0.5196770938446014,0.10935902277040867,grazer
e051 stock 4,9,100000,742,418,2,2,3,1,2.4252197286918937,3.94,16.65,0,0.638755980861244,0.11696968950585347,grazer
e051 stock 4,10,100000,872,488,2,1,2,1,2.499563100403854,4.915,32.23,0.006147540983606557,0.5819672131147541,0.0987295284438864,grazer
e051 stock 4,11,100000,1290,468,5,3,5,2,3.857931886850239,5.515,22.59,0,0.6346153846153846,0.2595635048836689,hunter
e051 stock 4,12,100000,726,441,2,1,2,1,2.06937199177027,3.83,17.39,0.0045351473922902496,0.7097505668934241,0.18060642683754594,grazer
e051 stock 4 brain,9,100000,636,279,4,3,5,2,4.04745788158738,6.25,22.37,0.0035842293906810036,0.7885304659498208,0.28649150617206404,hunter
e051 stock 4 brain,10,100000,579,284,4,3,4,2,3.3262326120197323,5.59,30.575,0,0.7323943661971831,0.2840259816590745,hunter
e051 stock 4 brain,11,100000,1204,615,4,2,4,2,3.744787772540102,5.56,15.17,0,0.5739837398373984,0.1613751237691822,grazer
e051 stock 4 brain,12,100000,982,392,5,5,7,3,6.849766676293946,11.235,38.205,0.1989795918367347,0.5841836734693877,0.3338251809662093,hunter
e054 control,9,100000,2347,756,6,5,7,3,7.937776137428315,11.51,38.37,0.3055555555555556,0.5396825396825397,0.31546043291887454,hunter
e054 control,10,100000,2159,1557,2,2,3,2,2.6408042736148274,4.37,25.58,0.0012845215157353885,0.48940269749518306,0.03545147395805651,grazer
e054 control,11,100000,2955,1504,3,2,3,2,2.8648766203224882,4.855,18.42,0.0013297872340425532,0.5831117021276596,0.09981449354327893,grazer
e054 control,12,100000,2561,634,7,5,7,2,8.549588053301079,11.24,36.35,0.35646687697160884,0.7318611987381703,0.3345528124490983,hunter
e054 grain 64,9,100000,2044,1369,2,2,2,1,2.7138887241652827,5.88,18.905,0.02410518626734843,0.30241051862673485,0.11169356100640797,grazer
e054 grain 64,10,100000,2604,1568,3,2,3,1,3.0385570645117332,5.94,17.605,0.02295918367346939,0.3475765306122449,0.0757804072997858,grazer
e054 grain 64,11,100000,2591,948,4,3,4,2,4.077330285152964,5.825,19.675,0,0.7647679324894515,0.20448849343810238,grazer
e054 grain 64,12,100000,2169,1027,4,2,4,1,3.921968095383955,6.035,18.255,0.0029211295034079843,0.34177215189873417,0.15685196334617932,grazer
e055 clock 0.5,9,100000,2579,1135,10,6,10,2,10.165712971180017,11.89,44.42,0.4440528634361233,0.3920704845814978,0.3279849165828423,hunter
e055 clock 0.5,10,100000,2665,1343,6,5,8,3,8.444796200609687,11.38,39.235,0.530156366344006,0.3849590469099032,0.22583797616502127,grazer
e055 clock 0.5,11,100000,3650,2446,3,2,3,1,2.467161591787508,5.185,14.595,0.007358953393295176,0.2019623875715454,0.07807725453915643,grazer
e055 clock 0.5,12,100000,2770,1079,8,5,9,3,10.088600820814662,11.485,42.07,0.5143651529193698,0.41797961075069506,0.3079692160876235,hunter
e055 clock 0.5,13,100000,2337,1172,6,5,8,1,8.423793131315508,11.045,36.75,0.5784982935153583,0.34044368600682595,0.29532060315029657,hunter
e055 clock 0.5,14,100000,3450,2347,3,2,3,1,2.842760536127302,5.56,21.925,0.012356199403493822,0.3008095440988496,0.10931656619279932,grazer
e055 flat pace,9,100000,2991,2065,2,2,3,1,2.591279586437797,4.4,15.335,0.00048426150121065375,0.37336561743341407,0.0473982149730086,grazer
e055 flat pace,10,100000,3711,1649,5,3,6,2,5.840799373027719,8.24,24.795,0.031534263189812006,0.5154639175257731,0.2796449858463945,hunter
e055 flat pace,11,100000,3459,2475,3,2,4,1,2.7431751967250935,4.71,21.265,0,0.36484848484848487,0.12086577943469504,grazer
e055 flat pace,12,100000,3017,1042,7,6,8,1,9.949180773837217,11.835,49.445,0.33877159309021115,0.4980806142034549,0.3234074368916836,hunter
e055 flat pace,13,100000,3573,1204,8,6,9,2,9.815823217140558,11.78,40.115,0.40946843853820597,0.5307308970099668,0.30983854306209835,hunter
e055 flat pace,14,100000,2669,1076,9,6,10,1,10.46418259406019,11.715,37.045,0.474907063197026,0.44702602230483274,0.29341152283084626,hunter
e056 sun 2,9,100000,4881,3621,2,2,3,1,2.262875237076797,4.1,11.115,0.00027616680475006904,0.23860811930405965,0.0646778177684319,grazer
e056 sun 2,10,100000,4701,980,6,6,6,3,8.49826754839167,11.57,43.615,0.22346938775510203,0.4377551020408163,0.3620861624345626,hunter
e056 sun 2,11,100000,4072,2705,4,2,5,1,3.7755880337021703,6.39,18.81,0.0088724584103512,0.2077634011090573,0.18030939663791704,grazer
e056 sun 2,12,100000,4670,2925,4,2,4,1,3.3008867179882078,5.12,15.465,0,0.25264957264957266,0.14069343828161993,grazer
e056 sun 2,13,100000,3445,2864,3,2,3,1,2.347981771139026,4.425,12.22,0,0.22171787709497207,0.04285406668050355,grazer
e056 sun 2,14,100000,4475,1657,6,5,8,1,8.457786215131286,11.365,41.99,0.45383222691611347,0.22148461074230538,0.30557785888656064,hunter
e056 sun 4,9,100000,3963,3528,3,2,3,1,2.0632393136925966,4.43,11.76,0.001417233560090703,0.11763038548752834,0.03917082324039462,grazer
e056 sun 4,10,100000,6560,3503,4,3,4,1,4.452661548220533,7.18,27.875,0.0211247502141022,0.28090208392806165,0.19372796913816265,grazer
e056 sun 4,11,100000,4885,4081,3,2,3,1,2.0772318675041017,3.995,11.245,0,0.18010291595197256,0.04293678669840377,grazer
e057 control,9,100000,2579,1135,10,6,10,2,10.165712971180017,11.89,44.42,0.4440528634361233,0.3920704845814978,0.3279849165828423,hunter
e057 control,10,100000,2665,1343,6,5,8,3,8.444796200609687,11.38,39.235,0.530156366344006,0.3849590469099032,0.22583797616502127,grazer
e057 control,11,100000,3650,2446,3,2,3,1,2.467161591787508,5.185,14.595,0.007358953393295176,0.2019623875715454,0.07807725453915643,grazer
e057 control,12,100000,2770,1079,8,5,9,3,10.088600820814662,11.485,42.07,0.5143651529193698,0.41797961075069506,0.3079692160876235,hunter
e057 control,13,100000,2337,1172,6,5,8,1,8.423793131315508,11.045,36.75,0.5784982935153583,0.34044368600682595,0.29532060315029657,hunter
e057 control,14,100000,3450,2347,3,2,3,1,2.842760536127302,5.56,21.925,0.012356199403493822,0.3008095440988496,0.10931656619279932,grazer
e057 foul 0.03,9,100000,2760,1970,3,2,3,1,2.2785495522749653,4.625,14.23,0,0.20812182741116753,0.06391846564938608,grazer
e057 foul 0.03,10,100000,2638,1319,7,4,9,2,7.785521159045504,10.03,38.71,0.3775587566338135,0.41925701288855194,0.2585200063905199,hunter
e057 foul 0.03,11,100000,3182,2107,3,2,3,1,2.7988805746795986,6.01,16.675,0.018984337921214997,0.280968201233982,0.07980932492114254,grazer
e057 foul 0.03,12,100000,2324,1493,3,2,4,1,2.8225807460119863,5.795,20.47,0.006028131279303416,0.21366376423308775,0.10059074050116444,grazer
e057 foul 0.03,13,100000,2479,990,7,5,9,1,9.174391747219426,11.785,43.855,0.3373737373737374,0.37676767676767675,0.31812160519085364,hunter
e057 foul 0.03,14,100000,2665,1143,6,3,7,3,5.996008757664206,7.69,28.31,0.04286964129483815,0.5083114610673666,0.24771185648983082,grazer
e058 sun 0.1,9,100000,226,171,2,2,2,1,1.7980691832963194,6.1,6.895,0.011695906432748537,0.9707602339181286,0.23055038022055074,grazer
e058 sun 0.2,9,100000,501,311,3,3,4,1,2.4826209630844125,7.045,13.2,0.06752411575562701,0.8842443729903537,0.2480757171892375,grazer
e058 sun 1,9,100000,2579,1135,10,6,10,2,10.165712971180017,11.89,27.66,0.4440528634361233,0.3920704845814978,0.3279849165828423,hunter
e059 islands,9,200000 300000,771,546,2,1.5,2.5,1.5,2.375999947644993,4.2075,7.7,0,0.33462107512740424,0.07394606640798607,grazer
e059 islands,10,200000 300000,654.5,370,2.5,2,3.5,1.5,2.6725244290403625,4.3175,25.53,0.0014577259475218659,0.37929515094990857,0.060078708635974185,grazer
e059 islands,11,200000 300000,568.5,356,3.5,2,3.5,2,3.05935443879903,5.3925,30.0,0.004424778761061947,0.32994851597902675,0.12711865408971093,grazer
e059 islands,12,200000 300000,463.5,281,2.5,2,3,1.5,2.464492438444682,5.1175,17.655,0.004615384615384616,0.23243102888672507,0.11088458053780058,grazer
e059 islands,13,200000 300000,808,465.5,2.5,1.5,2.5,1,2.292069235914728,4.5825,12.9275,0,0.22395301090652348,0.08052926379019024,grazer
e059 islands,14,200000 300000,665.5,370.5,5,3,5.5,2,5.143339819528515,8.157499999999999,17.6625,0.08068425536915709,0.39780973646326057,0.23518103763158602,grazer
e059 thin uniform,9,200000 300000,544,364,2.5,1.5,2.5,1,2.248241112658042,6.3774999999999995,12.265,0.05388904039026755,0.8788822228282277,0.20977793541166992,grazer
e059 thin uniform,10,200000 300000,562.5,410,2.5,2,2.5,1,2.682367568257803,6.66,12.967500000000001,0.029835194932006,0.8021684250637071,0.25882856812790755,hunter
e059 thin uniform,11,200000 300000,854.5,533.5,2,2,2,1,2.6608621560680836,5.07,14.215,0,0.6346523668639054,0.0763980379051683,grazer
e059 thin uniform,12,200000 300000,739,442,3,3,3,2,3.836230526284844,7.0625,12.05,0.01247511199601792,0.7245312759250041,0.16025179236829218,grazer
e059 thin uniform,13,200000 300000,594.5,399.5,3.5,3,3.5,1.5,4.122689901676936,7.7225,14.8375,0.20074190326722785,0.7904933916133803,0.27910222444134264,hunter
e059 thin uniform,14,200000 300000,716,426.5,2.5,1.5,2.5,1,2.82702042174464,6.422499999999999,13.372499999999999,0.022520515697533716,0.7165176115987943,0.11010616978532765,grazer
