step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back
250000,0,109,7.67,0.16,0.13,0.11,7.28,0.00,1.06,0.000,0.001,2338.5,0.7,5,53,2.91,1.04,1.06
260000,8,4683,9.14,0.02,0.02,0.03,9.07,0.00,1.01,0.000,0.157,1099447.4,16.9,2,28,5.37,1.01,1.01
260000,1,773,5.03,0.04,0.04,0.02,4.93,0.00,1.02,0.000,0.608,590120.7,0.2,4,11,2.48,1.01,1.02
260000,0,150,6.69,0.01,0.06,0.15,6.48,0.00,1.00,0.000,0.001,2105.2,0.2,4,80,2.75,1.00,1.00
270000,8,4514,9.14,0.03,0.01,0.03,9.07,0.00,1.02,0.000,0.156,1079466.4,27.7,3,16,5.44,1.02,1.01
270000,1,700,5.29,0.08,0.03,0.07,5.10,0.00,1.04,0.000,0.585,591919.9,1.2,4,40,2.86,1.01,1.03
270000,0,132,6.58,0.02,0.18,0.34,6.03,0.00,1.01,0.000,0.001,2519.8,1.1,4,61,2.84,1.01,1.01
280000,8,4700,9.02,0.02,0.02,0.04,8.93,0.00,1.01,0.000,0.156,1073717.5,17.7,2,36,5.33,1.01,1.01
280000,1,628,5.71,0.02,0.02,0.03,5.64,0.00,1.01,0.000,0.597,589103.3,0.4,4,29,2.75,1.01,1.01
280000,0,160,5.89,0.11,0.02,0.00,5.76,0.00,1.06,0.000,0.001,2147.0,0.4,4,88,2.50,1.05,1.05
290000,8,4613,9.15,0.02,0.01,0.04,9.08,0.00,1.01,0.000,0.153,1071004.1,16.9,1,44,5.46,1.01,1.01
290000,1,631,5.73,0.05,0.06,0.01,5.61,0.00,1.02,0.000,0.636,579151.6,0.2,3,77,2.78,1.01,1.03
290000,0,106,7.02,0.08,0.12,0.01,6.80,0.00,1.02,
