step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
2000,80,0,3564,13.2874,15.07,0.02,26.15,0,15.33,0.201,3.831,0.0540,0.033,18.32,3.2878
3000,-60,0,5356,8.5393,2497.98,92.63,-15.88,0,-15.20,0.000,30.200,0.5392,5.360,1533.75,1.1790
3000,-60,1,2376,1.6935,2063.85,573.73,-18.05,0,-17.45,0.000,32.452,0.9640,5.559,724.00,0.2285
3000,-60,2,2,0.1436,2.41,2.28,-14.98,0,-5.04,0.000,20.042,0.9997,24.251,0.48,0.0201
3000,-50,0,7137,908.0221,4486.74,101.65,-3.49,0,-5.18,0.000,20.580,0.4292,11.610,2030.73,110.2232
3000,-50,1,1557,396.9490,2019.47,471.70,-20.30,0,-5.81,0.000,21.197,0.8036,22.713,481.92,47.6902
3000,-50,2,4,1.1532,5.90,6.36,-10.77,0,0.12,0.000,15.318,0.9771,36.415,0.87,0.1461
3000,-40,0,6244,2139.7464,5252.27,68.19,5.94,0,6.18,0.679,12.932,0.3884,32.406,1750.18,248.2033
3000,-40,1,1832,1243.2463,3184.67,657.54,-9.38,0,5.15,0.622,13.725,0.7258,61.284,573.04,145.1405
3000,-40,2,5,4.7272,9.93,5.93,7.99,0,13.30,1.641,7.972,0.9934,219.124,1.19,0.5565
3000,-30,0,4461,2419.8998,5125.43,104.73,10.15,0,15.79,3.950,8.821,0.4463,96.044,1287.57,279.2278
3000,-30,1,3142,2684.3904,5850.62,1428.12,4.97,0,15.04,3.854,9.364,0.6446,129.680,1012.03,313.5104
3000,-30,2,574,589.9384,1218.66,806.35,-0.17,0,17.72,4.901,8.216,0.8662,223.277,150.97,67.9350
3000,-20,0,1967,1131.3621,2288.02,42.77,13.99,0,23.99,8.190,6.311,0.4047,189.158,579.95,127.3225
3000,-20,1,2415,2311.6746,4792.39,1039.98,21.32,0,23.84,8.169,6.436,0.5748,261.158,812.65,264.3062
3000,-20,2,3837,3870.8941,8287.78,10553.17,6.30,0,23.05,7.880,6.797,0.9042,391.573,854.40,436.5647
3000,-10,0,1735,861.2591,1767.84,29.39,11.90,0,31.50,12.722,4.435,0.3330,336.455,539.76,95.6293
3000,-10,1,2140,2024.6619,4196.18,943.49,31.34,0,31.99,12.939,4.309,0.4764,481.372,755.00,224.0241
3000,-10,2,4349,4329.3743,9298.52,14571.55,11.01,0,29.23,11.569,5.249,0.8623,695.411,908.41,472.9962
3000,0,0,1774,717.8811,1577.68,27.85,23.16,0,37.39,16.481,3.152,0.2281,421.835,584.09,76.1498
3000,0,1,1802,1483.6310,3294.66,895.49,38.12,0,37.91,16.790,3.078,0.3800,691.919,636.72,155.1280
3000,0,2,4791,4340.7886,9800.40,13756.73,16.96,0,34.46,14.923,4.116,0.6949,947.704,1099.18,459.1790
3000,10,0,3074,1003.1891,2629.26,51.68,35.85,0,40.62,18.679,2.578,0.1729,437.285,933.15,97.8678
3000,10,1,2815,1983.1755,4996.02,1420.21,38.53,0,40.77,18.840,2.642,0.3111,757.686,981.82,195.8614
3000,10,2,3556,2880.0235,7041.59,8395.89,10.35,0,35.60,15.911,4.106,0.5807,937.430,873.86,301.9691
3000,20,0,4041,1012.4522,2620.05,63.78,28.10,0,39.69,18.250,2.966,0.1179,273.571,944.00,96.6345
3000,20,1,3377,2247.6590,5893.99,1595.19,25.62,0,40.30,18.612,2.829,0.2939,697.927,1162.07,219.0483
3000,20,2,1027,761.4978,2019.42,1672.80,18.64,0,36.76,16.546,3.795,0.4596,788.071,282.91,80.3936
3000,30,0,6569,2016.4852,4890.93,78.47,23.33,0,38.60,17.304,3.054,0.1392,287.976,1629.52,188.1224
3000,30,1,2494,1628.5324,4339.80,1043.03,33.57,0,41.23,18.736,2.260,0.2724,606.582,828.99,150.4673
3000,30,2,211,195.5396,444.83,230.15,36.86,0,39.26,17.382,2.613,0.4438,816.822,62.14,18.2755
3000,40,0,6657,1965.7086,4470.37,63.85,19.07,0,36.42,15.392,3.139,0.1361,207.187,1394.80,181.1893
3000,40,1,1289,1224.0740,2681.89,514.83,40.41,0,39.65,17.046,2.114,0.4003,626.990,408.81,113.5073
3000,40,2,224,249.1152,519.90,268.48,41.75,0,38.34,16.437,2.528,0.5502,814.012,63.28,23.5073
3000,50,0,5128,898.3908,1736.75,13.22,12.37,0,31.96,11.949,3.647,0.1006,88.177,650.78,81.9723
3000,50,1,577,781.0544,1422.21,147.74,37.17,0,36.75,14.451,2.160,0.5784,575.612,179.47,73.3852
3000,50,2,11,18.5012,31.99,14.50,40.85,0,34.40,12.649,2.345,0.8754,666.790,2.91,1.7889
3000,60,0,3853,208.9967,334.21,0.74,12.87,0,28.19,8.396,3.506,0.0598,24.032,164.98,19.2798
3000,60,1,2,3.7911,5.87,0.35,1.61,0,27.47,7.910,3.407,0.8878,312.177,0.64,0.3652
3000,70,0,4656,97.9153,124.54,0.12,24.33,0,29.38,6.019,1.140,0.0303,3.781,49.93,8.3340
3000,80,0,3564,46.4822,48.31,0.02,32.21,0,31.98,4.100,0.008,0.0216,0.008,19.45,3.8469
4000,-60,0,5423,8.6638,1555.26,94.67,-7.67,0,-14.97,0.000,29.966,0.5455,4.710,1554.38,1.4168
4000,-60,1,2309,2.0220,1219.41,539.24,-9.62,0,-17.28,0.000,32.281,0.9660,4.930,702.75,0.3009
4000,-60,2,2,0.1435,1.60,2.18,5.87,0,-4.86,0.000,19.856,0.9995,20.502,0.48,0.0204
4000,-50,0,7169,912.4026,3568.77,100.96,3.22,0,-4.85,0.000,20.284,0.4342,10.507,2021.19,115.3777
4000,-50,1,1525,413.9576,1577.68,452.73,15.77,0,-5.21,0.000,20.642,0.8034,20.438,465.41,49.8243
4000,-50,2,4,1.1998,4.66,6.15,12.12,0,0.40,0.000,15.037,0.9853,31.408,0.85,0.1489
4000,-40,0,6255,2206.3151,5145.71,68.05,17.50,0,6.62,0.719,12.657,0.3948,30.381,1730.70,255.5488
4000,-40,1,1821,1305.9797,3073.96,651.19,28.56,0,5.79,0.668,13.304,0.7285,56.277,559.38,147.7797
4000,-40,2,5,4.8989,10.33,5.94,27.28,0,13.28,1.705,8.097,0.9999,200.416,1.17,0.5387
4000,-30,0,4462,2523.2263,5329.81,103.93,29.11,0,16.26,4.080,8.635,0.4613,93.780,1267.24,287.0192
4000,-30,1,3130,2881.7106,6069.86,1422.58,35.35,0,15.60,4.004,9.124,0.6682,127.007,988.44,323.9634
4000,-30,2,585,664.6152,1334.54,827.06,43.80,0,18.53,5.197,7.914,0.9006,215.934,151.87,72.4754
4000,-20,0,1970,1127.5042,2375.93,42.85,42.82,0,24.88,8.566,6.040,0.3965,175.456,575.21,125.1893
4000,-20,1,2389,2278.3260,4868.24,1023.43,38.24,0,24.10,8.263,6.356,0.5685,249.904,790.81,254.2344
4000,-20,2,3860,4121.3478,8656.08,10645.55,45.18,0,23.68,8.189,6.656,0.9140,377.023,853.43,443.6040
4000,-10,0,1736,867.3280,1827.35,29.26,60.74,0,32.86,13.476,4.167,0.3222,309.513,538.05,93.7846
4000,-10,1,2127,1953.7388,4232.43,934.45,44.65,0,32.12,12.983,4.266,0.4606,459.472,744.26,213.0906
4000,-10,2,4361,4548.4520,9614.16,14660.48,51.11,0,29.82,11.934,5.171,0.8689,677.086,911.84,481.7855
4000,0,0,1777,720.2108,1584.14,27.78,62.45,0,38.76,17.369,2.965,0.2198,392.129,586.30,75.2215
4000,0,1,1800,1429.3413,3236.82,892.68,45.08,0,37.98,16.780,3.024,0.3667,666.266,636.99,150.2098
4000,0,2,4790,4426.5306,9785.34,13772.35,55.24,0,35.04,15.323,4.062,0.6924,911.582,1106.83,460.9791
4000,10,0,3088,898.7560,2381.32,52.05,57.46,0,41.90,19.557,2.430,0.1530,383.872,944.57,89.0536
4000,10,1,2846,1840.4455,4648.97,1445.98,44.11,0,40.88,18.835,2.584,0.2845,701.192,1001.98,184.2323
4000,10,2,3511,2887.0284,6726.25,8319.52,56.10,0,35.78,16.077,4.128,0.5730,892.263,870.59,295.2335
4000,20,0,4055,956.6874,2421.83,63.59,60.47,0,40.86,19.026,2.803,0.1087,252.195,958.23,92.6513
4000,20,1,3390,2194.1239,5483.68,1599.40,50.28,0,40.57,18.792,2.801,0.2812,666.446,1183.69,214.5042
4000,20,2,1000,733.4904,1832.32,1630.88,43.36,0,36.28,16.333,3.980,0.4457,753.803,277.20,75.2383
4000,30,0,6585,1849.1270,4571.02,78.70,55.02,0,39.22,17.695,2.964,0.1253,258.390,1658.56,173.3318
4000,30,1,2479,1603.4091,4004.57,1031.61,44.07,0,41.54,18.962,2.238,0.2688,605.654,842.04,152.2625
4000,30,2,210,193.2871,436.29,229.36,58.09,0,40.83,18.472,2.408,0.4284,787.201,63.72,18.6692
4000,40,0,6662,1824.1699,4283.54,63.61,51.09,0,36.90,15.671,3.063,0.1239,192.313,1421.65,169.0680
4000,40,1,1279,1204.9654,2660.28,512.87,44.54,0,40.36,17.542,2.013,0.3925,625.084,417.66,116.1250
4000,40,2,229,252.3321,541.30,276.32,51.45,0,39.74,17.358,2.344,0.5352,795.531,66.72,24.8179
4000,50,0,5125,809.8757,1743.01,12.91,48.53,0,32.47,12.213,3.543,0.0884,82.012,663.52,72.6583
4000,50,1,580,780.7435,1543.47,152.10,50.19,0,37.97,15.254,2.003,0.5597,563.770,187.18,76.2176
4000,50,2,11,18.2412,35.22,15.02,28.92,0,34.94,12.997,2.245,0.8672,678.220,2.98,1.8676
4000,60,0,3853,171.3349,348.12,0.74,41.02,0,28.63,8.577,3.395,0.0486,23.206,168.84,14.4606
4000,60,1,2,3.9424,6.95,0.37,54.07,0,28.69,8.388,3.080,0.8564,294.860,0.67,0.3878
4000,70,0,4656,53.8917,120.45,0.12,33.90,0,29.68,6.149,1.103,0.0156,4.520,51.11,4.5704
4000,80,0,3564,20.1592,45.53,0.02,30.58,0,32.10,4.159,0.006,0.0051,0.002,20.06,1.5480
5000,-60,0,5472,273.2721,1235.25,95.41,-13.64,0,-9.07,0.000,24.141,0.5461,8.148,1550.46,47.2854
5000,-60,1,2261,117.5648,844.50,511.35,-15.16,0,-11.49,0.000,26.513,0.9629,9.784,681.56,18.2418
5000,-60,2,1,0.3094,0.79,1.12,-8.70,0,-0.45,0.000,15.910,0.9960,25.865,0.23,0.0402
5000,-50,0,7187,1774.2263,3789.15,100.20,-7.38,0,0.80,0.132,16.157,0.4305,18.295,1986.92,225.9123
5000,-50,1,1507,768.7547,1647.09,442.36,-5.57,0,0.55,0.123,16.384,0.7917,32.658,448.52,91.9852
5000,-50,2,4,2.0046,4.63,6.02,-6.09,0,4.05,0.026,12.724,0.9750,36.644,0.83,0.2298
5000,-40,0,6259,2584.8519,5408.26,67.58,1.15,0,11.69,2.286,10.398,0.3867,50.200,1710.80,293.7859
5000,-40,1,1816,1507.1205,3193.47,648.61,1.84,0,10.87,2.114,10.904,0.7091,86.827,548.95,167.9819
5000,-40,2,6,6.8365,13.63,6.99,14.97,0,17.21,3.360,6.808,0.9928,215.056,1.42,0.7288
5000,-30,0,4468,2683.1895,5592.95,103.91,12.26,0,20.57,6.215,7.214,0.4509,142.908,1253.87,298.9603
5000,-30,1,3100,3072.8024,6340.83,1408.55,9.78,0,19.86,6.064,7.663,0.6534,194.049,968.29,335.8623
5000,-30,2,609,722.1393,1474.62,862.67,9.52,0,22.37,7.172,6.686,0.8786,315.467,157.19,77.7494
5000,-20,0,1973,1042.8976,2330.16,42.72,13.10,0,27.67,10.241,5.282,0.3594,232.562,572.37,114.2639
5000,-20,1,2360,2187.4793,4818.09,1003.06,22.00,0,27.44,10.228,5.494,0.5219,328.422,777.29,236.1721
5000,-20,2,3886,4162.8938,8920.38,10737.17,16.91,0,27.02,10.090,5.710,0.8764,515.518,857.30,444.0561
5000,-10,0,1743,750.7031,1758.11,29.12,12.20,0,33.98,14.189,3.844,0.2888,358.988,538.82,81.3175
