step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom
11000,10043,3970,34793,60732,50320,25643,296,26254,2590,20,272941,3135713,25268.408,9313.906,0.2932,4312.067,0.057,0.738,0.111,0.094,0.500,0.352,1665,0.1155,0.7561,0.188,10.9,29.3,64.8,33.68,0.88,11.05,1.21,20.55,7.18,1.059,0.321,0.040,0.043,10.388,0.456,0.0033,171,625,2118,20179,576,23,0.410,5859,72,1013,8958,933,1564,7546,5.59,23.49,7359,13.2030,66822,3814,247503,725.9,-0.0,789795,18.230,2631002.543,1.08e-14,0.00095,16.93,20580,27.574,1.778,25.203,0.594,27.575,3271,3557,3215,0.5365,0.885,1.000,1.383,1.007,0.980,1.200,9909.908,5901.435,12433.181,9749.385,7397.910,1476.013,1812.802,1713.024,0.584,0.520,0.426,0.562,0.302,0.349,2773,5328,0.4760,1.0000,1.0000,0.1238,1.0000,1.0000,0.6270,1.0106,0.9745,0.0396,0.0067,0.0216,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,397,0.9997,0.8565,0.8658,0.9979,0.0551,0.0732
12000,9518,3680,32287,55781,46013,23246,248,24447,2327,20,250841,2808111,24887.034,8754.526,0.2912,4189.132,0.063,0.719,0.120,0.098,0.492,0.351,1380,0.1183,0.7368,0.184,10.2,29.6,59.8,32.61,0.93,9.64,1.27,20.78,7.14,1.073,0.306,0.040,0.045,9.890,0.467,0.0033,179,662,1984,17411,579,21,0.406,5252,219,1135,8164,774,1280,7464,6.36,25.79,6227,12.2394,67051,3662,229530,750.8,-0.0,810470,18.854,2631002.543,3.91e-14,0.00004,31.67,18178,27.960,1.789,25.694,0.477,27.960,3310,3337,2871,0.5328,0.913,1.000,1.430,1.047,0.985,1.204,9422.289,5409.572,13268.833,9263.352,6543.981,1433.860,1592.959,1538.574,0.577,0.515,0.412,0.572,0.261,0.316,2700,5536,0.5063,1.0000,1.0000,0.1139,0.9999,1.0000,0.6520,1.0136,0.9762,0.0458,0.0078,0.0188,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,482,0.9993,0.8277,0.8685,0.9986,0.0576,0.0744
13000,8370,3469,28456,46451,38066,17806,189,22340,1913,7,212016,2596915,21827.907,7266.798,0.2901,3422.598,0.059,0.727,0.121,0.094,0.491,0.357,1859,0.1206,0.7373,0.166,13.8,33.0,61.4,33.36,0.77,10.93,1.32,20.34,7.18,1.076,0.316,0.036,0.042,10.578,0.486,0.0033,184,677,1870,14361,512,18,0.321,4688,210,1179,6981,599,1031,6740,6.86,27.64,7269,11.2961,67099,3709,214195,464.1,-0.0,827177,17.026,2631002.543,9.38e-15,0.00014,10.33,15612,24.508,1.763,22.382,0.362,24.508,2473,3212,2685,0.5303,0.941,1.000,1.385,1.053,0.984,1.205,9461.048,5305.105,9548.933,9304.646,6396.926,1216.297,1337.156,1290.747,0.569,0.533,0.383,0.516,0.279,0.321,2704,4754,0.5119,0.9999,1.0000,0.1198,1.0000,1.0000,0.6878,1.0280,0.9104,0.0463,0.0068,0.0114,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,590,0.9998,0.8505,0.8406,0.9985,0.0585,0.0753
14000,8522,3666,29670,51970,43347,22118,182,21309,1891,21,233942,2620012,23590.004,7896.152,0.2805,3794.698,0.056,0.728,0.130,0.085,0.502,0.344,1222,0.1178,0.7230,0.166,12.6,31.2,59.8,32.16,0.78,10.65,1.42,19.31,7.13,1.098,0.314,0.036,0.039,10.781,0.485,0.0032,178,642,1969,15214,548,19,0.301,4714,235,1116,7171,860,936,6726,7.07,26.80,6674,11.5929,67137,3765,202884,722.9,-0.0,840409,16.684,2631002.543,1.24e-15,0.00014,33.24,17158,26.011,1.758,23.907,0.346,26.012,2439,3269,2814,0.5226,0.937,1.000,1.451,1.080,0.983,1.246,9487.558,5417.079,11609.870,9303.393,6471.439,1249.069,1367.351,1485.035,0.575,0.541,0.398,0.566,0.279,0.329,2774,5819,0.4552,1.0000,0.9999,0.1198,1.0000,1.0000,0.6893,1.0274,0.9496,0.0489,0.0078,0.0127,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,478,0.9994,0.8772,0.8590,0.9990,0.0607,0.0793
15000,8844,3483,25996,45743,37959,19561,186,19743,1779,16,207547,2505786,21129.077,6837.572,0.2890,3089.316,0.067,0.724,0.123,0.086,0.512,0.338,935,0.1029,0.7300,0.156,14.5,33.0,57.6,33.33,0.55,10.75,1.47,20.56,7.27,1.091,0.311,0.038,0.042,10.609,0.456,0.0031,189,702,1909,13990,602,19,0.330,4903,43,1404,7397,557,1461,6826,6.64,27.67,9074,12.0145,67143,3534,194776,664.5,-0.0,847678,15.575,2631002.543,5.31e-15,0.00039,23.67,14806,23.021,1.758,20.904,0.359,23.021,2660,3346,2838,0.5351,0.943,1.000,1.451,1.054,0.984,1.251,9985.364,5530.622,7548.688,9832.634,6837.071,908.604,1271.610,1568.042,0.561,0.559,0.427,0.560,0.333,0.382,2814,3642,0.5259,1.0000,1.0000,0.1525,1.0000,1.0000,0.7616,1.0223,0.9429,0.0273,0.0068,0.0137,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,494,0.9995,0.8545,0.8491,0.9981,0.0588,0.0771
16000,8751,3783,29626,53685,45815,23833,226,20690,1934,15,242154,2737586,23349.095,8551.801,0.2866,4213.702,0.069,0.721,0.121,0.089,0.526,0.331,1028,0.1060,0.7201,0.154,14.9,34.0,57.1,33.11,0.72,11.70,1.52,19.17,7.27,1.111,0.329,0.049,0.053,10.744,0.472,0.0031,172,651,2057,16764,617,18,0.349,4987,42,1251,7458,602,1179,6970,6.50,25.74,8845,12.2816,67050,3984,188108,658.6,-0.0,856110,16.734,2631002.543,5.49e-15,0.00112,15.34,17440,25.623,1.752,23.534,0.337,25.624,2602,3372,2777,0.5330,0.938,1.000,1.638,1.064,0.983,1.311,9790.195,5466.438,11309.544,9614.163,6639.089,1462.368,1043.770,1831.962,0.567,0.579,0.433,0.570,0.306,0.357,2878,6599,0.5130,1.0000,0.9997,0.1256,0.9999,1.0000,0.6935,1.0281,0.9705,0.0398,0.0089,0.0143,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,481,0.9999,0.8710,0.8705,0.9976,0.0653,0.0753
17000,8619,3757,30319,61345,53413,30792,234,20642,1824,14,239642,2795340,25173.556,9353.150,0.2844,5093.555,0.074,0.709,0.125,0.092,0.536,0.321,1129,0.1069,0.7153,0.153,13.7,33.1,60.9,33.27,0.45,10.98,1.47,20.36,7.31,1.118,0.317,0.022,0.024,11.328,0.491,0.0030,178,652,2183,15725,686,19,0.336,4664,79,1669,6871,369,1251,6999,6.50,25.76,7616,11.7846,67138,3725,180236,561.8,0.0,867065,16.969,2631002.543,3.36e-15,0.00070,36.12,21033,27.199,1.765,25.110,0.325,27.200,2188,3561,2870,0.5097,0.954,1.000,1.606,1.114,0.983,1.289,10121.409,5775.170,13327.658,9945.938,6993.515,1507.003,1026.238,1726.354,0.570,0.590,0.446,0.639,0.317,0.389,3059,7521,0.5380,1.0000,0.9995,0.1152,1.0000,1.0000,0.7211,1.0245,0.9361,0.0211,0.0080,0.0126,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,450,0.9999,0.8841,0.8772,0.9988,0.0634,0.0721
18000,9117,3897,28642,53236,45187,24382,212,20982,1686,10,220058,2720285,23462.311,7729.193,0.2844,3817.356,0.088,0.721,0.109,0.082,0.525,0.328,915,0.1031,0.7196,0.161,15.5,35.5,62.3,34.80,0.64,11.18,1.73,21.25,7.25,1.096,0.311,0.048,0.051,10.615,0.477,0.0031,187,690,2358,15958,739,17,0.403,5042,187,1236,7694,937,1579,6601,6.75,27.27,8357,13.4120,67121,3664,171587,589.9,-0.0,875704,17.166,2631002.543,4.42e-15,0.00006,9.52,17011,26.020,1.761,23.905,0.355,26.020,3483,3150,2484,0.5133,0.931,1.000,1.476,1.070,0.986,1.271,9567.884,5264.435,11592.276,9397.401,6289.990,1188.151,1070.390,1653.296,0.584,0.561,0.436,0.598,0.273,0.356,3149,5113,0.4925,1.0000,0.9999,0.1126,0.9999,0.9999,0.6928,1.0264,0.9187,0.0286,0.0079,0.0133,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,353,0.9999,0.8749,0.8411,0.9990,0.0625,0.0669
19000,8329,3957,28651,57017,49363,28093,273,20493,1558,11,219835,2733659,24957.256,8830.658,0.2801,4982.471,0.092,0.704,0.121,0.083,0.532,0.325,1243,0.1090,0.6931,0.154,14.2,37.9,67.0,35.07,0.62,10.63,1.11,22.71,7.29,1.137,0.299,0.036,0.038,11.154,0.502,0.0030,195,693,2433,14728,959,16,0.421,4487,465,709,7155,834,1088,6407,5.62,25.66,6642,12.4398,67089,3705,162587,550.2,-0.0,887917,17.947,2631002.543,7.43e-15,0.00020,24.64,17903,26.676,1.760,24.601,0.315,26.676,2833,2995,2501,0.4470,0.974,1.016,1.601,1.158,0.985,1.294,9012.827,5188.371,14815.576,8873.077,6251.075,1418.923,1045.034,1384.229,0.599,0.557,0.431,0.616,0.283,0.405,3118,6823,0.4702,0.9999,0.9999,0.0832,1.0000,1.0000,0.6534,1.0319,0.9414,0.0284,0.0067,0.0135,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,554,1.0000,0.8710,0.8627,0.9981,0.0666,0.0689
20000,8538,3353,28426,53089,45267,24434,229,19944,1673,11,215706,2596360,22393.594,8138.724,0.2945,4168.622,0.073,0.725,0.111,0.091,0.523,0.329,1058,0.1065,0.7099,0.150,12.6,35.2,58.8,33.23,0.61,10.34,1.16,21.12,7.21,1.125,0.301,0.030,0.032,10.219,0.466,0.0031,187,710,2366,14876,848,14,0.353,4554,908,982,6648,572,1420,6546,7.22,29.49,6519,11.7639,67098,3231,155463,623.5,-0.0,896243,16.143,2631002.543,1.65e-14,0.00000,20.54,16978,24.135,1.795,22.025,0.315,24.162,3202,2942,2394,0.5032,0.929,1.000,1.725,1.115,0.983,1.313,8970.547,4957.993,11670.110,8840.410,6051.696,1327.944,986.034,1656.124,0.587,0.548,0.438,0.591,0.286,0.368,3026,6091,0.5027,1.0000,1.0000,0.1060,1.0000,0.9999,0.7080,1.0287,0.9560,0.0310,0.0052,0.0120,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,498,0.9998,0.8881,0.8797,0.9984,0.0599,0.0702
21000,8841,3322,28098,49232,41004,20862,272,19828,1984,20,211731,2483344,20771.805,7674.863,0.3096,3577.922,0.072,0.722,0.107,0.099,0.510,0.335,1030,0.1057,0.7242,0.152,9.0,32.2,60.1,29.89,0.56,10.04,0.95,18.33,7.17,1.132,0.321,0.029,0.029,9.122,0.464,0.0031,181,662,1982,14911,717,13,0.382,4655,68,1158,7615,505,1152,7184,7.12,30.04,6510,10.6592,66985,3487,149020,700.6,0.0,904367,15.181,2631002.543,1.43e-14,0.00413,8.53,16070,22.590,1.795,20.447,0.348,22.591,2542,3613,2686,0.4941,0.967,1.003,1.692,1.169,0.986,1.291,8498.233,4821.697,10180.953,8376.515,5792.259,1344.846,1096.291,1655.804,0.568,0.552,0.407,0.571,0.264,0.340,3027,5623,0.4638,1.0000,0.9996,0.0944,1.0000,0.9999,0.7782,1.0410,0.9672,0.0328,0.0059,0.0176,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251,340,0.9998,0.8929,0.9023,0.9989,0.0564,0.0659
22000,10376,3413,31749,53351,44419,21324,278,21465,2273,5,227007,2749983,22390.610,7866.195,0.2972,3649.580,0.069,0.727,0.096,0.108,0.518,0.325,1121,0.0994,0.7483,0.164,9.0,30.0,55.6,28.83,0.32,9.85,1.11,17.54,6.98,1.126,0.327,0.023,0.025,8.467,0.435,0.0032,169,629,1415,15985,379,13,0.342,5370,27,924,9425,952,1639,7785,8.00,31.70,7572,12.5979,67046,3419,143423,828.2,-0.0,909405,15.295,2631002.543,1.95e-15,0.00270,31.86,17688,24.831,1.796,22.540,0.495,24.832,3363,3947,3066,0.4614,0.966,1.010,1.614,1.123,0.986,1.309,9260.665,5211.948,10737.172,9111.982,6191.036,1226.038,1305.699,1684.878,0.554,0.571,0.415,0.561,0.243,0.312,2856,5923,0.4808,1.0000,1.0000,0.1103,1.0000,1.0000,0.7227,1.0725,1.0092,0.0171,0.0049,0.0094,0.0000,0.7820,0.9505,0.1297,0.7226,0.9534,0.00249,548,0.9999,0.9193,0.9127,0.9984,0.0457,0.0611
23000,9419,3434,33929,61545,51902,27283,333,23960,2366,4,252242,2949742,24018.115,9563.650,0.2948,4916.652,0.064,0.720,0.100,0.117,0.507,0.332,1323,0.1237,0.7457,0.168,9.0,29.1,54.5,28.00,0.39,9.91,0.96,16.75,7.05,1.119,0.337,0.018,0.019,8.813,0.460,0.0032,171,596,1596,17227,538,14,0.391,4960,20,941,8458,471,1090,7858,8.81,35.12,5684,10.7282,67135,3611,137701,532.1,-0.0,919280,17.039,2631002.543,3.13e-14,0.00008,11.13,19755,32.163,2.180,29.568,0.415,32.163,2402,4031,2986,0.5107,0.958,1.000,1.516,1.142,0.984,1.283,9403.449,4884.065,13837.583,9272.673,5824.511,1528.818,1382.250,1735.928,0.597,0.544,0.371,0.612,0.234,0.277,3107,8238,0.5112,1.0000,1.0000,0.0779,1.0000,1.0000,0.7433,1.0695,0.9801,0.0228,0.0058,0.0136,0.0000,0.0000,0.7341,0.2065,0.6514,0.9419,0.00249,318,0.9998,0.9268,0.9104,0.9994,0.0465,0.0604
24000,10067,3949,31367,51358,41844,19674,317,24148,2137,5,237759,2904915,23117.923,7665.416,0.2974,3246.151,0.070,0.719,0.105,0.107,0.505,0.337,1436,0.1131,0.7504,0.170,8.9,30.0,60.2,29.55,0.51,9.34,1.01,18.69,7.12,1.131,0.314,0.017,0.017,9.320,0.468,0.0032,188,647,1649,17420,373,12,0.384,5090,131,1353,8583,694,1365,8008,6.86,31.54,6515,11.8715,67225,3751,131616,500.9,-0.0,924969,17.157,2631002.543,5.84e-15,0.00009,20.30,16732,26.177,1.761,23.952,0.464,26.178,2950,4108,3009,0.5032,0.960,1.000,1.684,1.139,0.985,1.321,9727.101,5444.898,10332.346,9590.035,6441.692,1454.429,1375.933,1588.904,0.558,0.560,0.386,0.558,0.226,0.309,2989,4139,0.4454,1.0000,0.9999,0.0988,1.0000,1.0000,0.6903,1.0963,0.9880,0.0293,0.0050,0.0128,0.0000,0.4606,0.9382,0.0748,0.6367,0.9467,0.00249,290,0.9999,0.9401,0.9046,0.9986,0.0442,0.0533
