step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
230000,3073,1.278,0.008,8.28,464494,436343,1686,291,26136,15775,1601118.8,1696.0,0.896,0.040,0.034,0.011,0.019,424,7.94,5.78,0.17,1.64,0.29,1.92,0.03,0.60,7.45,5.18,0.01,0.21,0.022,0.120,585,0.088,0.621,0.002,0.000,0.377,462407,449016,8,0.771,0.034,0.007,149921,0.049,0.051,0.000,163.27,154715,482,0.108,0.467,0.000,2248092,1.06,19.78,0.000,0.100,0.003,3,7,14,54,966,19,0.00,0.0070
240000,3225,1.262,0.012,7.93,480229,448368,2054,509,29146,22439,1612162.5,2367.6,0.909,0.036,0.030,0.009,0.016,463,7.29,5.38,0.16,1.39,0.24,1.90,0.03,0.46,6.87,4.79,0.01,0.20,0.015,0.104,485,0.145,0.679,0.003,0.000,0.318,478418,470418,4,0.865,0.019,0.009,204549,0.046,0.073,0.000,163.27,149459,686,0.106,0.344,0.000,2065931,1.07,20.41,0.000,0.044,0.003,3,6,12,63,1208,13,0.00,0.0073
250000,3120,1.286,0.010,7.64,472242,441596,1884,155,28712,12756,1605329.2,1448.1,0.888,0.042,0.036,0.013,0.021,484,7.85,6.02,0.21,1.66,0.31,2.18,0.06,0.83,7.28,5.22,0.01,0.18,0.020,0.112,532,0.094,0.689,0.004,0.001,0.307,469927,460263,4,0.776,0.012,0.008,211124,0.048,0.058,0.000,163.27,135662,605,0.114,0.445,0.001,2291061,1.09,19.89,0.001,0.092,0.004,3,6,14,64,1205,10,0.00,0.0071
260000,3172,1.272,0.008,7.73,468392,438549,1879,165,27747,12075,1616582.4,1183.8,0.890,0.040,0.037,0.013,0.020,503,7.45,5.54,0.15,1.53,0.23,1.75,0.07,1.12,7.00,4.70,0.01,0.20,0.016,0.099,502,0.166,0.681,0.001,0.000,0.318,466099,454897,4,0.760,0.008,0.010,261927,0.047,0.048,0.000,163.27,143580,689,0.098,0.418,0.000,2164512,1.07,20.23,0.000,0.078,0.005,3,6,12,64,1193,12,0.00,0.0073
270000,3228,1.253,0.010,7.59,476336,447905,1838,165,26372,9724,1624339.8,1127.9,0.895,0.039,0.034,0.012,0.019,538,7.19,5.10,0.18,1.93,0.30,2.18,0.01,0.37,6.69,4.29,0.01,0.13,0.019,0.109,424,0.174,0.661,0.001,0.000,0.337,474158,464033,4,0.814,0.013,0.002,233253,0.052,0.068,0.000,163.27,134205,634,0.116,0.394,0.000,1992339,1.09,20.34,0.000,0.033,0.004,4,6,12,64,1158,12,0.00,0.0075
280000,3075,1.298,0.011,7.85,476734,448679,1775,431,26002,12219,1610660.0,1774.9,0.890,0.038,0.033,0.016,0.023,505,7.89,5.89,0.13,1.39,0.29,1.96,0.08,1.65,7.39,5.11,0.00,0.14,0.019,0.104,435,0.087,0.656,0.001,0.000,0.343,474155,464310,3,0.764,0.004,0.005,193309,0.070,0.069,0.000,163.27,137782,422,0.145,0.432,0.000,1806347,1.06,20.01,0.001,0.046,0.001,3,6,13,64,1149,12,0.00,0.0071
290000,3089,1.286,0.012,8.00,473303,445919,1828,321,25221,14598,1595056.4,1485.8,0.890,0.039,0.034,0.014,0.022,503,8.05,5.87,0.16,1.73,0.44,2.58,0.17,1.90,7.28,4.56,0.01,0.22,0.031,0.134,525,0.074,0.659,0.004,0.000,0.337,470569,459745,4,0.524,0.164,0.014,190017,0.072,0.071,0.000,163.27,141991,577,0.102,0.480,0.001,1637305,1.07,19.59,0.000,0.077,0.005,4,7,13,58,1172,13,0.00,0.0071
300000,3069,1.267,0.015,7.87,463772,438666,1857,329,22940,18441,1595675.6,2035.1,0.885,0.045,0.038,0.012,0.021,452,7.97,5.90,0.09,1.00,0.48,2.88,0.03,0.53,7.37,5.09,0.01,0.18,0.035,0.144,578,0.092,0.638,0.003,0.000,0.358,460999,450495,5,0.513,0.000,0.006,211181,0.070,0.102,0.000,163.27,148641,775,0.110,0.295,0.001,1820103,1.03,19.58,0.001,0.093,0.003,3,7,14,64,1078,13,0.00,0.0071
310000,3235,1.254,0.010,7.95,473938,449274,1765,248,22485,14292,1614313.9,1309.7,0.897,0.038,0.033,0.013,0.019,470,7.33,5.30,0.14,1.51,0.43,2.36,0.11,1.59,6.64,4.25,0.01,0.16,0.036,0.154,528,0.119,0.663,0.002,0.000,0.335,471694,462040,5,0.417,0.004,0.012,258531,0.057,0.053,0.000,163.27,149471,681,0.092,0.444,0.000,1846186,1.06,20.13,0.000,0.054,0.003,4,6,11,55,1182,13,0.00,0.0075
320000,3077,1.274,0.007,7.90,472195,447402,1738,152,23061,10628,1626572.8,1099.1,0.891,0.037,0.034,0.014,0.024,482,8.07,6.63,0.08,0.92,0.47,2.52,0.16,1.84,7.36,5.61,0.01,0.21,0.031,0.130,511,0.254,0.662,0.001,0.000,0.337,469815,461010,3,0.613,0.074,0.012,252189,0.067,0.042,0.000,163.27,149495,529,0.103,0.375,0.000,2154110,1.04,19.69,0.000,0.054,0.006,4,6,15,60,1044,14,0.00,0.0072
330000,3080,1.282,0.008,7.71,480996,455902,1979,168,22944,12052,1613489.6,1279.4,0.895,0.034,0.032,0.015,0.024,481,8.17,6.68,0.09,0.99,0.65,3.29,0.13,1.84,7.29,5.31,0.01,0.15,0.036,0.143,540,0.188,0.668,0.004,0.000,0.328,478848,470945,3,0.513,0.001,0.010,244102,0.055,0.049,0.000,163.27,155143,438,0.106,0.464,0.002,1945631,1.04,19.78,0.000,0.062,0.003,3,6,16,63,1153,12,0.00,0.0072
340000,3026,1.293,0.011,7.40,470596,446090,1792,83,22685,8157,1604920.6,796.8,0.884,0.039,0.036,0.016,0.026,493,8.28,5.98,0.10,1.13,0.41,2.69,0.08,0.97,7.69,4.90,0.01,0.18,0.023,0.116,510,0.162,0.659,0.003,0.000,0.339,467775,456683,4,0.483,0.053,0.013,315795,0.050,0.066,0.000,163.27,149524,515,0.098,0.386,0.000,1739393,1.04,19.44,0.000,0.039,0.005,4,7,13,63,1169,13,0.00,0.0069
