step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
65000,4552,0.4192,20689.9,184,1592,1621,1339,181,166,180,27102,29155,37327,0,0,0,1.000,1.000,1.000,1123,575,236,0.2203,0.2125,0.5379,0.0741
66000,4391,0.4193,19943.1,179,1542,1530,1319,177,159,221,29512,28308,36629,0,0,0,1.000,1.000,1.000,1120,572,200,0.2347,0.2099,0.5532,0.0749
67000,4206,0.4225,18444.7,177,1440,1524,1242,178,165,207,31233,29470,36019,0,0,0,1.000,1.000,1.000,1026,577,196,0.2232,0.1960,0.5511,0.0747
68000,3992,0.4058,18266.0,182,1439,1503,1050,164,165,210,32378,29879,36577,0,0,0,1.000,1.000,1.000,1063,573,175,0.2011,0.2269,0.5636,0.0805
69000,3514,0.4217,16634.9,182,1250,1264,1000,169,160,218,33816,32149,38120,0,0,0,1.000,1.000,1.000,892,497,171,0.1644,0.2178,0.5823,0.0942
70000,2612,0.4162,13305.1,200,1093,881,638,148,129,173,34191,33834,39934,0,0,0,1.000,1.000,1.000,796,324,106,0.2089,0.1891,0.6489,0.0883
71000,2294,0.4163,11344.1,207,929,774,591,130,123,175,34497,37411,42565,0,0,0,1.000,1.000,1.000,669,305,118,0.1208,0.2564,0.6581,0.1180
72000,1610,0.4298,9094.3,238,783,467,360,100,103,149,34871,41276,46086,0,0,0,1.000,1.000,1.000,551,187,52,0.0706,0.3607,0.7266,0.1891
73000,1164,0.4433,7947.3,322,716,257,191,72,102,128,33923,44981,49110,0,0,0,1.000,1.000,1.000,553,95,28,0.0162,0.7560,0.7555,0.3804
74000,697,0.4878,4673.8,374,478,123,96,20,93,82,32306,48330,52151,0,0,0,1.000,1.000,1.000,368,41,13,0.0115,0.8672,0.7336,0.4200
75000,503,0.4612,3899.0,408,384,84,35,10,76,35,29645,50494,54488,0,0,0,1.000,1.000,1.000,300,17,8,0.0048,1.0000,0.4678,0.4468
76000,495,0.4202,4627.1,458,361,88,46,11,85,45,26976,50770,55484,0,0,0,1.000,1.000,1.000,283,34,3,0.0101,0.9515,0.8218,0.3814
77000,919,0.3841,6155.5,342,526,215,178,21,127,128,25627,49667,55361,0,0,0,1.000,1.000,1.000,405,77,28,0.0060,0.9953,0.7849,0.3425
