step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,12.00,16,0,2,0,4,0,1.00,2,0.167,3120,0.00,145.07,40.10,728,0,0,0,1.00,1.00,1.00,3,4,3,18.3,27.649,6,2.000,0.857,4,1.000,9
100000,16.00,16,0,5,0,3,0,1.00,0,0.312,3120,0.00,60.67,141.71,697,0,0,0,1.00,1.00,1.00,4,4,4,3.1,0.332,8,2.000,0.964,4,1.000,8
100000,4.00,16,0,1,0,1,0,1.00,10,0.250,3099,0.00,125.79,61.69,765,0,0,0,1.00,1.00,1.00,2,2,1,18.0,4.906,2,2.000,0.975,4,1.000,9
100000,8.00,16,0,0,0,4,0,1.00,6,0.000,3094,0.00,144.58,18.77,733,0,0,0,1.00,1.00,1.00,2,2,3,20.9,9.325,4,2.000,0.924,4,1.000,10
100000,14.00,16,0,3,0,4,0,1.00,0,0.214,3072,0.00,130.35,23.71,764,0,0,0,1.00,1.00,1.00,4,4,4,18.4,7.626,7,2.000,0.884,4,1.000,8
100000,6.00,16,0,3,0,0,0,1.00,8,0.500,3068,0.00,125.79,60.12,779,0,0,0,1.00,1.00,1.00,1,2,2,24.5,4.094,3,2.000,0.949,4,1.000,10
100000,12.00,16,0,2,0,4,0,1.00,0,0.167,3060,0.75,142.21,55.13,735,0,0,0,1.00,1.00,1.00,3,4,4,20.9,27.304,6,2.000,0.844,4,1.000,10
100000,12.00,16,0,2,0,4,0,1.00,2,0.167,3048,0.00,107.51,102.06,654,0,0,0,1.00,1.00,1.00,4,4,3,19.4,11.276,6,2.000,0.857,4,1.000,9
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,3045,0.01,137.32,79.38,764,1,0,0,1.00,1.00,1.00,3,2,2,38.3,14.982,3,2.000,0.884,4,1.000,11
100000,16.00,16,0,4,0,4,0,1.00,4,0.250,3043,3.56,130.65,52.31,764,0,0,0,1.00,1.00,1.00,2,2,4,19.6,31.347,8,2.000,0.862,4,1.000,5
100000,12.00,16,0,3,0,3,0,1.00,2,0.250,3042,1.77,123.52,34.10,764,1,0,0,1.00,1.00,1.00,4,3,4,32.2,5.350,6,2.000,0.884,4,1.000,9
100000,8.00,16,0,1,0,3,0,1.00,6,0.125,3036,0.00,160.84,55.50,765,0,0,0,1.00,1.00,1.00,3,3,2,20.8,22.252,4,2.000,0.979,4,1.000,9
100000,20.00,16,0,3,0,7,0,1.00,0,0.150,3032,1.07,142.78,36.45,654,1,2,0,1.00,1.00,1.00,4,4,4,31.9,52.633,10,2.000,0.895,4,1.000,6
100000,10.00,16,0,5,0,0,0,1.00,6,0.500,2988,0.00,101.07,101.03,771,2,0,0,1.00,1.00,1.00,1,2,3,55.0,7.599,5,2.000,0.947,4,1.000,8
100000,18.00,16,0,4,0,5,0,1.00,2,0.222,2987,0.07,134.59,45.19,779,0,1,0,1.00,1.00,1.00,4,3,4,17.7,43.375,9,2.000,0.943,4,1.000,7
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,2986,1.55,94.28,60.11,779,0,1,0,1.00,1.00,1.00,2,2,2,20.8,2.448,2,2.000,0.943,4,1.000,9
