step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1682,3.71,132.76,121.07,95,1,1,0,1.00,1.00,1.00,8,8,8,33.3,121.104,20,1.567,0.588
100000,35.04,22,0,0,0,22,0,1.00,0,0.000,1639,3.22,149.61,78.37,95,0,0,0,1.00,1.00,1.00,9,8,8,25.0,124.564,22,1.593,0.653
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1634,3.96,215.23,113.80,95,1,1,0,1.00,1.00,1.00,8,8,8,31.7,117.648,20,1.567,0.588
100000,29.12,26,0,0,0,26,0,1.00,0,0.000,1622,3.19,131.92,80.02,95,0,0,0,1.00,1.00,1.00,9,8,8,23.9,136.248,26,1.120,0.461
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1595,4.60,103.79,164.13,95,1,1,0,1.00,1.00,1.00,8,8,8,28.1,114.840,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1594,5.09,137.02,44.41,95,1,1,0,1.00,1.00,1.00,8,8,8,31.1,114.768,20,1.567,0.588
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,1580,3.06,138.33,47.93,95,1,1,0,1.00,1.00,1.00,7,8,8,31.8,94.800,14,1.466,0.470
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1570,4.90,169.30,59.74,95,1,0,0,1.00,1.00,1.00,8,8,8,29.4,113.040,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1545,2.49,163.91,71.01,95,1,1,0,1.00,1.00,1.00,8,8,8,33.8,111.240,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1494,4.71,143.89,110.42,95,1,1,0,1.00,1.00,1.00,8,8,8,33.9,107.568,20,1.567,0.588
