step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
130000,2,31,18.31,0.13,0.00,0.16,15.65,0.00,1.12,0.000,0.005,23035.5,5463.7,1,7,6.68,1.16,1.16,2.6619,153.68,40.3,63.0218,2.4626,5461,0.5110,308,1.1365,7125.6
140000,0,503,21.77,0.31,0.04,0.21,17.59,0.00,1.07,0.000,0.105,180851.4,97540.6,2,10,6.84,1.04,1.09,27.4070,1279.01,90657.0,0.0000,4.8070,5462,0.4704,313,31.9087,213636.8
140000,1,454,22.37,0.12,0.05,0.49,18.33,0.00,1.03,0.000,0.098,172166.2,91041.4,2,11,7.01,1.03,1.03,25.6281,1172.43,15385.9,6.1939,4.5202,5461,0.4703,296,29.1742,201221.9
140000,2,35,20.14,0.00,0.00,0.94,16.63,0.00,1.00,0.000,0.007,14104.0,3277.3,2,7,6.54,1.00,1.00,1.8169,173.98,87.0,31.8755,1.7113,5461,0.4703,597,0.7493,3977.7
150000,0,577,22.69,0.27,0.08,0.25,17.94,0.00,1.05,0.000,0.123,334045.0,210355.0,1,10,6.71,1.05,1.05,55.0758,1838.41,87771.9,0.0000,4.2632,5462,0.5101,254,66.8704,470326.9
150000,1,498,21.47,0.18,0.22,0.28,17.23,0.00,1.02,0.000,0.102,287820.1,171392.2,1,8,6.63,1.03,1.02,45.3390,1321.94,13297.3,19.8938,4.4453,5461,0.5100,334,52.2598,382492.6
150000,2,17,23.68,0.94,0.00,0.00,17.47,0.00,1.01,0.000,0.003,23468.0,5850.9,1,5,5.71,1.00,1.03,2.8050,177.90,22.1,62.8793,2.5425,5461,0.5100,415,1.3093,7946.7
160000,0,557,22.13,0.31,0.10,0.44,17.80,0.00,1.06,0.000,0.119,185457.2,101409.7,2,17,7.04,1.05,1.07,28.2839,1064.78,89646.6,0.0000,4.4333,5462,0.4728,239,31.3726,223214.1
160000,1,478,22.70,0.36,0.22,0.51,17.77,0.00,1.05,0.000,0.103,168404.0,90515.1,1,16,6.96,1.04,1.06,25.2692,1211.46,14389.3,6.3187,4.4054,5461,0.4727,306,29.4724,200636.5
160000,2,14,22.65,0.00,0.00,0.00,18.93,0.00,1.00,0.000,0.003,13022.8,2288.4,1,5,7.50,1.00,1.00,1.5350,156.65,27.7,32.7631,1.6148,5461,0.4727,535,0.6169,3127.0
170000,0,546,21.44,0.21,0.13,0.18,17.16,0.01,1.04,0.002,0.111,339342.2,219759.8,1,23,6.66,1.04,1.04,58.1833,1592.38,88490.6,0.0000,4.4589,5462,0.5017,219,65.1848,473640.9
170000,1,501,20.49,0.16,0.32,0.17,16.34,0.00,1.03,0.000,0.097,294765.3,174735.8,1,15,6.65,1.00,1.04,46.5644,1402.50,13567.2,19.3308,4.4452,5461,0.5017,330,53.8855,393036.6
170000,2,29,22.35,0.00,0.07,0.00,18.17,0.00,1.00,0.000,0.006,27140.9,6792.2,1,8,7.38,1.00,1.00,3.2086,157.15,41.4,62.5027,2.8742,5461,0.5017,337,1.5025,9227.8
180000,0,543,23.33,0.20,0.14,0.62,18.71,0.00,1.06,0.000,0.122,182337.8,96975.4,1,22,6.90,1.06,1.08,27.6001,1408.02,91252.4,0.0000,4.7355,5462,0.4797,253,31.7397,215781.9
180000,1,460,21.90,0.33,0.25,0.39,17.47,0.00,1.04,0.000,0.097,170794.5,90442.9,1,19,6.77,1.04,1.06,25.6950,1268.52,16400.2,6.5761,4.5044,5461,0.4796,314,28.5404,199937.5
180000,2,25,23.55,0.00,0.24,0.16,19.12,0.00,1.00,0.000,0.006,14417.8,2777.6,1,8,6.88,1.00,1.00,1.7666,169.34,61.9,32.3673,1.7562,5461,0.4796,529,0.7136,3557.4
190000,0,574,21.37,0.51,0.11,0.19,17.01,0.00,1.09,0.000,0.116,347645.8,222042.9,1,18,6.79,1.08,1.10,58.9054,2013.01,87348.9,0.0000,4.2100,5462,0.4790,224,66.7446,488517.7
190000,1,530,19.26,0.10,0.13,0.23,15.92,0.00,1.02,0.000,0.100,294625.2,170401.9,1,17,6.48,1.02,1.04,46.4609,1827.49,13089.1,18.6428,4.6806,5461,0.4790,238,52.6087,383574.6
190000,2,25,17.89,0.00,0.00,0.00,15.32,0.00,1.00,0.000,0.004,23822.4,5654.2,1,9,5.52,1.00,1.00,2.8235,101.53,30.8,63.5612,2.5925,5461,0.4790,427,1.1791,7263.5
200000,0,536,20.76,0.24,0.23,0.34,16.88,0.00,1.05,0.000,0.108,192553.5,100753.3,1,18,6.55,1.04,1.06,29.1242,1702.08,90774.7,0.0000,4.3855,5462,0.4090,256,31.8320,224081.7
200000,1,451,22.76,0.40,0.25,0.42,17.96,0.00,1.08,0.000,0.099,178588.9,93082.5,1,14,6.88,1.02,1.14,26.4729,1188.84,13829.7,6.1086,4.3654,5461,0.4089,299,29.7407,208297.9
200000,2,51,22.41,0.00,0.00,1.04,17.41,0.00,1.00,0.000,0.011,15237.9,3150.5,1,5,6.51,1.00,1.00,1.9655,368.07,105.9,32.0083,1.7099,5461,0.4089,500,0.7780,4100.3
210000,0,530,22.59,0.59,0.29,0.22,17.94,0.00,1.09,0.000,0.115,359755.0,215312.1,1,8,6.71,1.04,1.14,59.8042,2219.34,87855.3,0.0000,4.4895,5462,0.4577,217,67.9258,488805.5
210000,1,532,20.38,0.14,0.10,0.33,16.74,0.00,1.02,0.000,0.105,295317.7,169953.2,2,17,6.59,1.02,1.03,46.6869,1596.12,13586.6,18.6818,4.6153,5461,0.4576,274,51.7167,382045.9
210000,2,24,19.50,0.00,0.00,0.04,17.08,0.00,1.00,0.000,0.005,23325.5,5452.0,2,2,6.50,1.00,1.00,2.7330,173.98,36.3,63.1609,2.4785,5461,0.4576,358,1.1754,7216.2
220000,0,550,23.30,0.63,0.33,0.49,18.22,0.00,1.10,0.000,0.122,202420.6,102429.0,1,16,7.17,1.03,1.13,30.0882,1514.64,89888.1,0.0000,3.9760,5462,0.3798,215,32.8116,238258.7
220000,1,469,21.02,0.32,0.04,0.57,16.88,0.00,1.05,0.000,0.097,178721.7,90660.4,1,15,6.88,1.03,1.08,26.1783,1478.05,13443.6,5.9648,4.2607,5461,0.3797,293,29.7278,206960.9
