step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
210000,1629,1.384,0.045,9.58,32162,29799,612,0,1743,5,819706.7,7915.7,0.001,0.495,0.002,0.503,171,7.44,2.26,0.01,0.37,0.01,0.26,0.10,1.92,7.32,1.41,0.00,0.00,0.001,0.018,60,0.306,0.246,0.752,0.000,0.002,5030,2005,1,0.543,0.457,0.007,114393,0.139,0.056,0.000,82.06,10334,0,1583.149,0.000,0.000,548420,1.00,15.43,0.001,0.000,0.000,6,8,8,64,12117,0.046,0.00,0.0069,0.116,686,0.067,0.000,0.079,0.000,2.95,1.59,7.56,0.00,0.000,1.00,1.00,1.00,0.067,0.00344,43.76,0.9278,9.93,1562.8,140222.1,38.020,0.1369,81.921,158.028,0.522,0.000,135422.8,81.920,5.633,2,2.7,1.41,0.025,0.000,0.0,0.000,0.137,2.00
220000,1632,1.357,0.044,9.53,32307,29980,605,0,1719,1,819896.1,7850.4,0.001,0.491,0.002,0.507,170,7.50,1.70,0.01,0.26,0.01,0.45,0.04,0.59,7.44,1.58,0.00,0.00,0.001,0.023,65,0.273,0.256,0.741,0.000,0.003,4898,2231,3,0.463,0.079,0.007,103840,0.141,0.055,0.000,82.05,10161,0,7850.417,0.000,0.001,541409,1.00,15.25,0.000,0.000,0.000,6,8,8,38,12239,0.047,0.00,0.0068,0.107,686,0.067,0.000,0.080,0.000,2.95,1.59,7.60,0.00,0.000,1.00,1.00,1.00,0.067,0.00341,43.74,0.9198,13.64,1570.5,140222.0,38.050,0.1343,81.925,156.960,0.533,0.000,135474.2,81.920,5.636,1,1.1,1.37,0.026,0.000,0.0,0.000,0.136,2.00
230000,1634,1.374,0.045,9.49,32465,30172,608,0,1683,1,820156.9,7839.4,0.001,0.500,0.002,0.498,171,7.49,1.85,0.01,0.17,0.03,0.68,0.03,0.49,7.42,1.73,0.00,0.00,0.001,0.032,64,0.296,0.265,0.729,0.000,0.006,5163,2376,4,0.458,0.000,0.009,120946,0.133,0.057,0.000,82.05,10288,0,7839.416,0.000,0.000,581670,1.00,15.28,0.000,0.000,0.000,6,8,9,33,12234,0.047,0.00,0.0068,0.111,704,0.071,0.000,0.082,0.000,2.97,1.59,7.63,0.00,0.001,1.00,1.00,1.00,0.071,0.00345,43.87,0.9185,15.13,1599.3,140222.0,37.914,0.1344,81.912,159.309,0.537,0.000,135398.7,81.920,5.627,0,-0.0,1.60,0.028,0.000,0.0,0.000,0.132,2.02
240000,1624,1.394,0.044,9.45,32277,30085,576,0,1626,0,819747.8,7760.8,0.001,0.500,0.001,0.498,171,7.40,1.29,0.00,0.00,0.00,0.02,0.02,0.47,7.39,1.21,0.00,0.00,0.000,0.003,49,0.270,0.252,0.744,0.000,0.004,5030,2430,3,0.466,0.220,0.003,122358,0.134,0.055,0.000,82.05,9963,0,7760.793,0.000,0.001,565464,1.00,15.33,0.000,0.000,0.000,6,8,8,24,12024,0.046,0.00,0.0068,0.105,701,0.069,0.000,0.080,0.000,2.96,1.57,7.62,0.00,0.000,1.00,1.00,1.00,0.069,0.00349,43.84,0.9074,12.75,1606.1,140222.0,37.946,0.1315,81.919,160.203,0.527,0.000,135391.9,81.920,5.638,1,1.6,1.61,0.028,0.000,0.0,0.000,0.134,2.01
250000,1591,1.378,0.046,9.37,31657,29576,582,0,1532,0,818488.3,7592.7,0.001,0.503,0.001,0.495,170,7.51,1.91,0.00,0.11,0.00,0.08,0.05,1.08,7.46,1.39,0.00,0.00,0.000,0.001,49,0.258,0.256,0.739,0.000,0.004,4955,2424,2,0.392,0.278,0.005,117445,0.137,0.057,0.000,82.05,9438,0,7592.686,0.000,0.000,560554,1.00,15.18,0.000,0.000,0.000,6,8,8,59,11947,0.046,0.00,0.0069,0.111,679,0.068,0.000,0.078,0.000,2.97,1.64,7.61,0.00,0.000,1.00,1.00,1.00,0.068,0.00359,43.89,0.8873,13.09,1604.2,140222.0,37.906,0.1280,81.924,160.413,0.528,0.000,135435.6,81.920,5.585,0,-0.0,1.47,0.025,0.000,0.0,0.000,0.134,2.00
260000,1618,1.402,0.045,9.43,31816,29620,624,0,1545,1,819151.6,7687.6,0.001,0.509,0.002,0.488,171,7.46,1.75,0.00,0.06,0.00,0.00,0.05,0.85,7.40,1.60,0.00,0.00,0.000,0.000,69,0.285,0.248,0.747,0.000,0.005,5066,2458,2,0.567,0.000,0.008,122242,0.133,0.059,0.000,82.05,9633,0,7687.634,0.000,0.000,568468,1.00,15.35,0.000,0.000,0.000,6,8,8,28,12069,0.046,0.00,0.0068,0.103,690,0.068,0.000,0.079,0.000,2.96,1.62,7.55,0.00,0.000,1.00,1.00,1.00,0.068,0.00356,43.87,0.8990,12.01,1581.8,140221.9,37.915,0.1303,81.915,160.107,0.524,0.000,135390.3,81.920,5.572,1,2.1,2.09,0.027,0.000,0.0,0.000,0.131,2.01
270000,1613,1.378,0.045,9.38,31925,29738,602,0,1590,0,819255.8,7708.9,0.001,0.509,0.002,0.489,171,7.50,1.74,0.01,0.25,0.00,0.15,0.05,0.75,7.44,1.58,0.00,0.00,0.001,0.026,66,0.260,0.250,0.745,0.000,0.005,4962,2373,3,0.403,0.000,0.009,113184,0.140,0.057,0.000,82.05,9777,0,7708.931,0.000,0.001,573805,1.00,15.23,0.000,0.000,0.000,6,8,8,35,12095,0.046,0.00,0.0068,0.102,691,0.069,0.000,0.080,0.000,2.97,1.62,7.61,0.00,0.000,1.00,1.00,1.01,0.069,0.00357,43.78,0.9020,10.77,1607.5,140221.9,38.011,0.1312,81.922,159.424,0.528,0.000,135414.1,81.920,5.566,1,1.8,1.97,0.022,0.000,0.0,0.000,0.137,1.99
280000,1643,1.388,0.043,9.43,31719,29501,620,0,1568,0,818946.1,7676.1,0.001,0.505,0.001,0.493,171,7.44,1.69,0.02,0.53,0.00,0.00,0.02,0.36,7.40,1.47,0.00,0.00,0.000,0.000,55,0.273,0.247,0.750,0.000,0.003,4891,2226,3,0.453,0.000,0.005,113911,0.139,0.059,0.000,82.05,9685,0,7676.117,0.000,0.000,553243,1.01,15.32,0.000,0.000,0.000,6,8,8,39,12223,0.047,0.00,0.0067,0.104,705,0.067,0.000,0.080,0.000,2.95,1.55,7.63,0.00,0.000,1.01,1.00,1.01,0.067,0.00349,43.73,0.8990,14.71,1571.5,140221.9,38.056,0.1310,81.921,158.439,0.526,0.000,135421.5,81.920,5.571,2,2.4,1.66,0.022,0.000,0.0,0.000,0.136,2.00
290000,1616,1.386,0.044,9.39,31813,29678,573,0,1589,0,818796.9,7649.6,0.001,0.508,0.001,0.490,171,7.43,1.45,0.01,0.24,0.01,0.39,0.02,0.39,7.39,1.38,0.00,0.00,0.001,0.020,58,0.288,0.244,0.751,0.000,0.005,5115,2374,2,0.595,0.000,0.006,132182,0.126,0.057,0.000,82.05,9708,0,7649.568,0.000,0.000,562806,1.00,15.35,0.000,0.000,0.000,6,8,8,23,12013,0.046,0.00,0.0069,0.116,690,0.067,0.000,0.079,0.000,2.96,1.63,7.59,0.00,0.001,1.00,1.00,1.00,0.067,0.00356,43.79,0.8965,14.53,1569.9,140221.9,37.996,0.1315,81.922,158.604,0.523,0.000,135442.6,81.920,5.576,0,-0.0,1.33,0.024,0.000,0.0,0.000,0.135,2.00
300000,1615,1.398,0.045,9.36,31864,29741,587,0,1537,2,819306.3,7691.6,0.001,0.509,0.002,0.489,168,7.53,1.61,0.01,0.40,0.00,0.05,0.04,0.80,7.48,1.27,0.00,0.00,0.000,0.004,57,0.234,0.245,0.751,0.000,0.004,4986,2329,2,0.626,0.000,0.009,116666,0.141,0.054,0.000,82.05,9995,0,3845.806,0.000,0.000,564536,1.00,15.15,0.000,0.000,0.000,6,8,9,45,12164,0.046,0.00,0.0068,0.114,682,0.068,0.000,0.078,0.000,2.95,1.63,7.62,0.00,0.000,1.00,1.00,1.00,0.068,0.00357,43.83,0.9000,8.30,1583.0,140221.9,37.961,0.1314,81.917,159.519,0.525,0.000,135408.9,81.920,5.566,0,-0.0,0.94,0.025,0.000,0.0,0.000,0.133,2.00
