step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
160000,2,664,8.30,0.05,0.07,0.03,8.16,0.00,1.03,0.000,0.063,354554.6,3901.2,2,45,3.31,1.02,1.02,0.4366,4.26,2434.9,0.1487,34.5211,5461,44.1785,0,0.0000,0.0
170000,0,360,7.91,0.09,0.04,0.04,7.74,0.00,1.02,0.000,0.033,185106.4,2067.6,2,163,3.33,1.01,1.03,0.2644,5.96,606.2,25.4831,18.3478,5462,12.2890,52,0.0000,0.0
170000,1,564,7.69,0.04,0.01,0.02,7.61,0.00,1.01,0.000,0.049,295864.0,2515.5,2,21,3.30,1.01,1.01,0.2887,3.99,967.4,8.3766,29.1778,5461,25.4526,0,0.0000,0.0
170000,2,669,8.26,0.05,0.03,0.01,8.16,0.00,1.01,0.000,0.063,354757.3,3860.5,2,47,3.31,1.01,1.02,0.4320,5.08,2464.2,0.1292,34.5336,5461,44.1785,0,0.0000,0.0
180000,0,345,7.91,0.16,0.01,0.00,7.73,0.00,1.06,0.000,0.032,185134.7,2182.9,2,169,3.33,1.05,1.07,0.2803,7.61,579.0,25.7227,18.3669,5462,12.2890,96,0.0000,0.0
180000,1,589,7.60,0.09,0.03,0.01,7.47,0.00,1.03,0.000,0.051,296225.1,2637.9,2,24,3.22,1.02,1.03,0.3053,2.59,975.1,8.4455,29.2162,5461,25.4526,0,0.0000,0.0
180000,2,645,8.47,0.18,0.04,0.02,8.23,0.00,1.06,0.000,0.063,354148.8,3826.1,2,53,3.37,1.04,1.07,0.4275,4.95,2455.5,0.1335,34.4884,5461,44.1785,0,0.0000,0.0
190000,0,366,7.45,0.06,0.00,0.01,7.38,0.00,1.02,0.000,0.031,185306.8,2455.4,2,183,3.13,1.01,1.02,0.3150,4.57,548.3,26.0293,18.3292,5462,12.2890,81,0.0000,0.0
190000,1,567,7.76,0.12,0.01,0.01,7.63,0.00,1.05,0.000,0.050,296645.6,2579.3,2,27,3.28,1.04,1.05,0.2992,3.00,948.5,8.4438,29.2435,5461,25.4526,1,0.0000,0.0
190000,2,644,8.26,0.15,0.03,0.01,8.07,0.00,1.05,0.000,0.061,353856.7,3786.9,2,38,3.38,1.04,1.05,0.4245,3.52,2439.6,0.1402,34.5119,5461,44.1785,1,0.0000,0.0
200000,0,396,8.39,0.10,0.15,0.04,8.10,0.00,1.03,0.000,0.038,184519.8,2298.2,1,178,3.32,1.00,1.03,0.2997,7.21,576.6,26.1982,18.2633,5462,12.2890,79,0.0000,0.0
200000,1,568,7.86,0.10,0.04,0.01,7.70,0.00,1.03,0.000,0.051,296736.3,2568.5,1,20,3.32,1.01,1.03,0.3008,4.29,953.3,8.3811,29.2328,5461,25.4526,1,0.0000,0.0
200000,2,686,8.15,0.07,0.03,0.02,8.03,0.00,1.02,0.001,0.064,354911.7,3851.2,1,50,3.32,1.01,1.03,0.4316,5.52,2447.2,0.1333,34.5798,5461,44.1785,0,0.0000,0.0
210000,0,359,7.77,0.04,0.04,0.03,7.66,0.00,1.01,0.000,0.032,185169.1,2291.7,2,160,3.21,1.00,1.01,0.2953,4.38,578.8,25.9090,18.3374,5462,12.2890,80,0.0000,0.0
210000,1,575,7.81,0.03,0.01,0.02,7.75,0.00,1.02,0.000,0.051,296280.6,2556.2,2,17,3.29,1.01,1.01,0.2970,4.23,975.3,8.2766,29.2149,5461,25.4526,0,0.0000,0.0
210000,2,673,8.43,0.04,0.06,0.05,8.29,0.00,1.01,0.000,0.065,354364.2,3800.5,2,41,3.40,1.01,1.01,0.4247,3.40,2431.2,0.1292,34.5200,5461,44.1785,1,0.0000,0.0
