id,n_genes,n_edges,decode_ns,speed,metabolism,sense,size,lifespan,greed,boldness,fertility
53,5,0,2125,0.4175,0.6789,0.4096,0.4764,0.5494,0.2908,0.4669,0.5388
54,6,4,2542,0.4733,0.4793,0.6174,0.4864,0.4490,0.6319,0.6227,0.5285
55,9,4,4209,0.5040,0.5340,0.6126,0.5301,0.5791,0.5740,0.6507,0.4808
56,5,0,2042,0.6213,0.5572,0.5913,0.4948,0.4402,0.4458,0.6001,0.4477
57,6,4,2417,0.4769,0.4577,0.4013,0.4747,0.4558,0.5482,0.4492,0.4999
58,4,0,1792,0.5187,0.4993,0.5181,0.4936,0.4609,0.5384,0.3910,0.4502
59,8,2,8625,0.4263,0.3810,0.3970,0.3029,0.3834,0.4738,0.6207,0.3905
60,7,5,3084,0.4906,0.5082,0.3951,0.6597,0.6122,0.4355,0.4573,0.5090
61,6,0,2333,0.6873,0.4744,0.5819,0.5465,0.5782,0.4365,0.6545,0.5510
62,7,1,3125,0.3812,0.4415,0.4465,0.5131,0.5056,0.4324,0.5577,0.5081
63,10,5,4625,0.5204,0.5589,0.4128,0.6225,0.6377,0.2468,0.4408,0.6386
64,13,9,7209,0.6126,0.6486,0.6740,0.4478,0.5492,0.5017,0.6925,0.5934
65,14,13,7709,0.2918,0.4076,0.6998,0.5818,0.5551,0.3635,0.7030,0.5130
66,6,2,2375,0.7016,0.4930,0.5987,0.4882,0.5786,0.3854,0.4800,0.3735
67,6,3,2416,0.6091,0.4773,0.4799,0.6672,0.4428,0.3748,0.5980,0.4477
68,4,0,1750,0.5953,0.3456,0.5992,0.5832,0.6399,0.5099,0.4504,0.4459
69,5,1,2000,0.4716,0.5053,0.3158,0.4996,0.4784,0.5670,0.5527,0.5486
70,12,6,5833,0.6645,0.6171,0.2284,0.6827,0.1741,0.5828,0.3671,0.3213
71,6,2,2459,0.4904,0.6643,0.4259,0.4096,0.6426,0.3854,0.5794,0.4975
72,8,3,3416,0.5153,0.5903,0.5647,0.2248,0.5612,0.6205,0.5218,0.5491
73,9,2,3834,0.6841,0.6133,0.4087,0.4006,0.4247,0.3419,0.6168,0.5926
74,10,3,5541,0.3621,0.7013,0.4742,0.5467,0.6946,0.5277,0.4672,0.4770
75,6,0,3416,0.5431,0.6000,0.5981,0.4798,0.5320,0.6316,0.6297,0.4612
76,5,2,2083,0.6168,0.5057,0.3106,0.4108,0.5352,0.5636,0.4289,0.4650
77,6,3,2333,0.4651,0.4094,0.3780,0.5513,0.5501,0.5681,0.4093,0.5343
78,7,2,2792,0.5447,0.5529,0.5840,0.5358,0.5320,0.4950,0.5034,0.6905
79,7,6,2875,0.4044,0.5901,0.6233,0.5296,0.5108,0.3825,0.6609,0.5251
80,5,1,1959,0.4973,0.5820,0.5642,0.5479,0.5005,0.3145,0.6474,0.5960
81,6,1,2208,0.6288,0.5919,0.3898,0.5282,0.5447,0.4507,0.4403,0.5592
82,17,14,9750,0.3782,0.2517,0.5139,0.5242,0.7270,0.5581,0.6353,0.7204
83,10,7,4459,0.4384,0.5778,0.5093,0.4074,0.3784,0.4740,0.4058,0.5509
84,9,5,3792,0.4581,0.5656,0.6846,0.6313,0.6175,0.3809,0.4108,0.3159
85,10,5,4500,0.6580,0.4602,0.3545,0.4290,0.5324,0.6146,0.5279,0.6246
86,4,1,1625,0.4559,0.5269,0.3242,0.5073,0.6726,0.4649,0.3652,0.5842
87,8,3,3250,0.3034,0.5794,0.6691,0.3476,0.4818,0.4938,0.6264,0.5628
88,12,12,5542,0.5910,0.5989,0.5477,0.3155,0.6561,0.3537,0.6402,0.5993
89,3,0,1708,0.5882,0.3747,0.5137,0.4684,0.4613,0.5329,0.4036,0.5480
90,8,3,3334,0.3828,0.4566,0.3911,0.3615,0.4411,0.5059,0.3496,0.5769
91,9,4,5209,0.7813,0.3695,0.3868,0.6333,0.4852,0.3713,0.2262,0.6971
92,14,10,6875,0.5885,0.6795,0.3767,0.5339,0.5072,0.4950,0.7589,0.8021
93,13,13,6416,0.3426,0.6256,0.4152,0.2730,0.5390,0.4044,0.6738,0.3770
94,7,2,4000,0.4468,0.4969,0.6125,0.4375,0.3924,0.5740,0.6184,0.4033
95,6,4,2417,0.5539,0.5025,0.4911,0.4279,0.5099,0.3840,0.4632,0.4547
96,10,1,4416,0.4233,0.5685,0.4583,0.2894,0.4092,0.5576,0.4482,0.5507
97,6,2,2417,0.3637,0.5238,0.4317,0.5550,0.5759,0.6683,0.5546,0.3207
98,6,0,2375,0.5916,0.5160,0.4402,0.4973,0.5169,0.5072,0.4050,0.4135
99,9,4,4084,0.6479,0.5747,0.4473,0.5406,0.5189,0.5928,0.4155,0.4435
100,3,2,1625,0.5233,0.5844,0.3804,0.3880,0.4355,0.4257,0.4603,0.5812
101,15,9,7750,0.3568,0.4992,0.3328,0.4570,0.4381,0.5354,0.5506,0.5658
102,7,3,2833,0.2589,0.4677,0.5891,0.4254,0.2531,0.4873,0.2614,0.6131
103,5,2,1875,0.4510,0.5598,0.4631,0.3598,0.4275,0.4804,0.5355,0.5374
104,15,11,9750,0.3679,0.2593,0.4667,0.5576,0.6124,0.3506,0.5508,0.6778
105,6,2,2375,0.4893,0.3430,0.6447,0.5173,0.4146,0.3074,0.6256,0.2792
106,6,2,2333,0.6575,0.4457,0.4748,0.5892,0.4567,0.3964,0.5093,0.4059
107,7,2,2750,0.3657,0.5368,0.6419,0.3788,0.4186,0.3749,0.4622,0.6682
108,7,2,2875,0.7201,0.7242,0.5280,0.5317,0.3546,0.4268,0.6495,0.5838
109,10,2,4541,0.3808,0.2688,0.5175,0.3536,0.4771,0.4014,0.5513,0.4043
110,12,10,6083,0.3739,0.5661,0.3430,0.2724,0.4858,0.5827,0.5841,0.6888
111,9,3,4000,0.4440,0.6101,0.4829,0.4052,0.3203,0.4222,0.5325,0.6770
112,7,1,3042,0.3667,0.5441,0.5516,0.5094,0.4889,0.4158,0.6480,0.5939
113,7,6,3084,0.3553,0.5615,0.3894,0.2283,0.7648,0.3055,0.5164,0.7391
114,13,9,6750,0.5147,0.5573,0.2615,0.5081,0.3747,0.6096,0.7003,0.5816
115,9,5,5542,0.5075,0.4265,0.4237,0.3799,0.5655,0.5866,0.6156,0.3651
116,7,1,3209,0.5959,0.4189,0.3515,0.3524,0.4148,0.5699,0.2973,0.4650
117,8,1,3584,0.3018,0.4246,0.6113,0.4228,0.4837,0.5121,0.5843,0.4604
118,6,2,2458,0.4101,0.6469,0.5568,0.4049,0.7328,0.5700,0.6137,0.6952
119,6,1,5542,0.4562,0.6821,0.4242,0.5360,0.5846,0.6037,0.4107,0.4950
120,13,11,13792,0.5653,0.3485,0.5516,0.2861,0.5760,0.6516,0.7763,0.5862
121,11,4,11375,0.7322,0.3555,0.5874,0.3026,0.3659,0.2232,0.3080,0.4664
122,7,2,6542,0.5235,0.4799,0.4410,0.4624,0.5453,0.5896,0.3234,0.5751
123,6,1,16708,0.5587,0.5654,0.5641,0.4602,0.6091,0.6451,0.6177,0.4563
124,9,1,8709,0.5781,0.3223,0.4496,0.4933,0.3911,0.3655,0.5636,0.3222
125,6,2,4625,0.4317,0.4217,0.4931,0.4128,0.4762,0.6311,0.4883,0.5864
126,17,14,20459,0.2824,0.4001,0.5127,0.6590,0.2822,0.6293,0.7247,0.5292
127,9,4,8000,0.3185,0.3234,0.4442,0.4498,0.7039,0.4742,0.7950,0.7479
128,9,3,11083,0.5911,0.5908,0.3044,0.5879,0.5353,0.7365,0.3530,0.6651
129,5,0,4125,0.4681,0.5164,0.4905,0.5133,0.5765,0.3858,0.3904,0.5629
130,10,5,9625,0.5998,0.3216,0.4995,0.7877,0.6159,0.4851,0.5488,0.3486
131,12,5,11458,0.3741,0.2982,0.6266,0.3563,0.4804,0.4249,0.6384,0.4921
132,2,0,3500,0.5165,0.5109,0.4965,0.4447,0.6036,0.4396,0.5138,0.5388
133,6,3,4875,0.4051,0.4868,0.4601,0.4967,0.4257,0.4954,0.3084,0.3279
134,4,2,3542,0.5911,0.4244,0.4166,0.4134,0.3919,0.4548,0.4462,0.5019
135,7,4,5667,0.3609,0.6072,0.5169,0.6319,0.5560,0.6334,0.3309,0.6767
136,6,2,4458,0.4745,0.5204,0.5368,0.4443,0.4511,0.3873,0.6016,0.3798
137,6,1,4208,0.5075,0.4414,0.3343,0.4469,0.3487,0.6290,0.4789,0.4155
138,6,3,4166,0.5597,0.4939,0.3612,0.5921,0.4942,0.3813,0.5451,0.5478
139,6,2,5125,0.5106,0.5071,0.5119,0.4349,0.4802,0.5053,0.3929,0.5423
140,9,2,7166,0.4546,0.6624,0.5110,0.5826,0.6665,0.5291,0.7135,0.4788
141,8,4,6209,0.2161,0.4171,0.2936,0.4310,0.5478,0.3032,0.5091,0.4630
142,6,1,4291,0.4163,0.4625,0.5806,0.5922,0.5720,0.4795,0.4935,0.5157
143,7,4,3917,0.6199,0.2555,0.3678,0.6051,0.4607,0.4599,0.5177,0.5316
144,6,2,2750,0.4301,0.5072,0.5683,0.5284,0.6421,0.4853,0.6981,0.3551
145,5,2,2709,0.5157,0.3600,0.4452,0.6078,0.3435,0.4869,0.5467,0.5922
146,8,4,3833,0.3774,0.5215,0.5955,0.4901,0.5998,0.4533,0.7340,0.5438
147,3,0,2083,0.4729,0.4878,0.5756,0.4865,0.5206,0.4567,0.5738,0.4801
148,8,4,3458,0.4788,0.5471,0.6246,0.5366,0.5574,0.5105,0.4858,0.5052
149,11,9,6125,0.2326,0.3277,0.4851,0.2494,0.5992,0.4572,0.3531,0.6405
150,3,0,1750,0.4729,0.4206,0.4800,0.6247,0.4251,0.4953,0.4237,0.4873
151,7,0,3167,0.5310,0.3655,0.5124,0.6642,0.5606,0.3757,0.6092,0.2924
152,6,6,7208,0.3702,0.5230,0.4706,0.5047,0.2652,0.2990,0.3191,0.4950
153,9,4,4916,0.6978,0.3898,0.4789,0.6759,0.2416,0.5924,0.5812,0.4535
154,12,4,9333,0.3224,0.3901,0.5686,0.5339,0.4927,0.3452,0.1771,0.4314
155,5,1,2167,0.5465,0.5503,0.4251,0.3355,0.5002,0.6846,0.3206,0.5632
156,6,2,2416,0.4545,0.5520,0.3363,0.4672,0.6031,0.3931,0.5991,0.5466
157,10,8,5125,0.2727,0.5097,0.5071,0.5204,0.5194,0.4884,0.4024,0.2627
158,6,3,2375,0.5228,0.5874,0.5584,0.3745,0.5219,0.4917,0.5322,0.5604
159,8,6,3459,0.2192,0.4745,0.6304,0.6361,0.7160,0.4129,0.6168,0.4698
160,7,3,3083,0.3123,0.4859,0.5570,0.7083,0.3108,0.6769,0.4191,0.4601
161,9,4,4125,0.4298,0.4208,0.6095,0.5688,0.5466,0.4347,0.6466,0.5789
162,5,1,2250,0.4294,0.4453,0.4306,0.4484,0.4129,0.4450,0.5542,0.5426
163,14,7,7875,0.4874,0.5343,0.4162,0.6012,0.5035,0.3754,0.3557,0.5345
164,8,2,3541,0.5213,0.6397,0.2835,0.6667,0.6148,0.5888,0.5406,0.5390
165,4,0,2375,0.5016,0.6319,0.4316,0.4864,0.6387,0.5259,0.6575,0.4393
166,7,2,3125,0.4777,0.5141,0.4620,0.5619,0.5119,0.5237,0.5926,0.5980
167,6,2,2458,0.5801,0.3239,0.5731,0.3793,0.6018,0.5903,0.4833,0.5638
168,6,3,2458,0.5426,0.4060,0.4482,0.5520,0.5883,0.4316,0.5587,0.7097
169,7,0,3208,0.3507,0.4220,0.4445,0.3460,0.4795,0.4506,0.4874,0.3806
170,5,1,2250,0.4786,0.5653,0.4937,0.6633,0.4623,0.5565,0.5787,0.6091
171,6,2,2375,0.4188,0.4970,0.5656,0.5140,0.4688,0.4633,0.4815,0.5181
172,8,5,3459,0.3232,0.5393,0.6777,0.4586,0.5101,0.6053,0.4750,0.5059
173,5,0,2042,0.5304,0.6971,0.4234,0.5313,0.4404,0.4711,0.5746,0.4072
174,4,1,1791,0.3782,0.4450,0.5084,0.4186,0.5055,0.4352,0.4938,0.5565
175,4,2,1792,0.6025,0.6466,0.6171,0.4103,0.4291,0.2778,0.6747,0.6419
176,7,2,3000,0.6695,0.4278,0.3140,0.5703,0.6301,0.6131,0.6037,0.5588
177,13,4,10458,0.4291,0.2703,0.6754,0.5237,0.7582,0.3496,0.4184,0.4019
178,5,0,5333,0.5829,0.4285,0.3946,0.5084,0.6258,0.5633,0.3633,0.5890
179,9,6,5000,0.6890,0.5026,0.4912,0.5731,0.5444,0.3731,0.3943,0.4837
180,9,2,4042,0.5115,0.5311,0.4085,0.4998,0.6898,0.4119,0.5667,0.7185
181,11,10,5292,0.6006,0.5515,0.3626,0.4979,0.5298,0.6978,0.5177,0.6008
182,9,3,4000,0.3560,0.6637,0.4273,0.4753,0.5388,0.5546,0.6088,0.4254
183,7,2,3750,0.5684,0.1599,0.4071,0.4881,0.4138,0.4759,0.4529,0.6139
184,9,4,4792,0.4083,0.3123,0.4809,0.4818,0.6156,0.7974,0.4975,0.6632
185,1,0,1542,0.5297,0.4451,0.5284,0.4742,0.4766,0.5654,0.4339,0.4480
186,7,1,3000,0.5479,0.5313,0.3531,0.6470,0.5133,0.3648,0.4394,0.5835
187,8,3,3625,0.6140,0.5720,0.2460,0.4278,0.4843,0.3696,0.4756,0.4198
188,10,6,4583,0.7647,0.5581,0.4077,0.3185,0.3022,0.5116,0.3939,0.4233
189,9,5,4791,0.5018,0.4289,0.6240,0.6422,0.4619,0.5147,0.5534,0.7985
190,11,4,5041,0.5283,0.3379,0.4151,0.3666,0.4768,0.3666,0.6453,0.5882
191,9,5,4792,0.8098,0.6667,0.5443,0.5595,0.4671,0.5448,0.7198,0.6965
192,9,6,4000,0.4677,0.4764,0.4595,0.5116,0.4485,0.2734,0.4818,0.6761
193,7,1,2959,0.3464,0.4302,0.5889,0.4770,0.4726,0.4195,0.5556,0.5971
194,8,1,3458,0.5605,0.3314,0.4345,0.5393,0.4680,0.5475,0.5141,0.4913
195,3,0,1750,0.4551,0.5523,0.4839,0.4841,0.4712,0.5067,0.3847,0.5470
196,8,3,3333,0.6789,0.4940,0.5236,0.6338,0.4992,0.5681,0.5069,0.5662
197,10,5,4666,0.5383,0.4429,0.5884,0.4491,0.4504,0.4526,0.4958,0.6541
198,6,2,2375,0.4793,0.5777,0.5188,0.4607,0.4017,0.4348,0.4202,0.5938
199,5,2,2042,0.4138,0.6270,0.5002,0.3889,0.5066,0.5085,0.5353,0.4492
200,3,1,1708,0.4045,0.4986,0.4091,0.4373,0.5067,0.5345,0.5116,0.5286
201,6,3,2416,0.4189,0.2265,0.6518,0.2349,0.4040,0.6700,0.6240,0.2902
202,7,3,2959,0.4612,0.5769,0.5923,0.3250,0.4282,0.3036,0.6132,0.5078
203,2,0,1666,0.5413,0.5099,0.4773,0.4921,0.3883,0.6061,0.4915,0.4769
204,9,4,4125,0.4975,0.6353,0.4514,0.3138,0.5361,0.4722,0.5066,0.5878
205,8,4,3417,0.5153,0.1971,0.6028,0.2285,0.2519,0.1479,0.5630,0.3288
206,1,0,1750,0.5491,0.4587,0.5093,0.5530,0.5474,0.5146,0.5111,0.5351
207,7,3,3542,0.4669,0.4180,0.4531,0.5183,0.5370,0.4988,0.4275,0.4569
208,10,3,4625,0.4426,0.4249,0.4724,0.4998,0.4837,0.4978,0.5673,0.4381
209,5,2,2875,0.7992,0.3203,0.3396,0.6965,0.2797,0.6318,0.6637,0.7310
210,4,1,2042,0.5881,0.4172,0.3276,0.3817,0.4687,0.4058,0.5830,0.5235
211,8,6,3750,0.5231,0.5963,0.2940,0.3191,0.5836,0.4416,0.3929,0.5120
212,5,2,2167,0.4905,0.6485,0.3972,0.4611,0.5969,0.4662,0.5561,0.6539
213,10,2,4958,0.3733,0.5048,0.6038,0.4478,0.5586,0.4216,0.5812,0.5576
214,6,1,2541,0.5550,0.4039,0.4808,0.4986,0.5396,0.5457,0.6015,0.3894
215,8,3,3500,0.4657,0.5198,0.5806,0.4717,0.7055,0.6334,0.5235,0.6139
216,5,2,2167,0.6416,0.5248,0.5974,0.4634,0.5486,0.4784,0.5777,0.5572
217,9,8,4292,0.4078,0.7342,0.5814,0.5031,0.4328,0.4307,0.4358,0.5636
218,5,2,2083,0.5620,0.5554,0.5879,0.4603,0.4579,0.4328,0.3381,0.4761
219,10,5,4792,0.3410,0.4843,0.4047,0.6305,0.3307,0.5922,0.5045,0.5125
220,5,1,2000,0.4481,0.6799,0.3870,0.6168,0.5066,0.5845,0.3715,0.4091
221,7,2,3166,0.5359,0.4856,0.5204,0.5474,0.4229,0.6804,0.6409,0.5832
222,8,2,3459,0.7308,0.4651,0.4467,0.6187,0.4450,0.4355,0.4280,0.5721
223,10,5,4667,0.5025,0.3595,0.5502,0.3581,0.5030,0.5105,0.6396,0.6162
224,4,2,1834,0.6262,0.4593,0.3928,0.6172,0.5802,0.5029,0.5972,0.4603
225,11,6,5417,0.4339,0.5984,0.5026,0.2759,0.7525,0.6194,0.6580,0.2887
226,11,5,5417,0.4134,0.5505,0.6395,0.3672,0.4859,0.6480,0.7436,0.5232
227,5,0,2000,0.5454,0.5406,0.4502,0.5256,0.4643,0.4347,0.5181,0.4954
228,7,4,3250,0.5327,0.2387,0.7018,0.2064,0.3164,0.3032,0.4747,0.5202
229,4,2,1792,0.5817,0.4903,0.4111,0.4740,0.5777,0.4421,0.6717,0.5375
230,10,4,4667,0.4744,0.5668,0.5576,0.3853,0.5992,0.5480,0.5743,0.7401
231,13,18,6958,0.2679,0.6513,0.7484,0.2230,0.6083,0.6729,0.7849,0.5765
232,9,3,4167,0.7268,0.6729,0.4655,0.4468,0.6654,0.5868,0.5725,0.6355
233,12,10,5917,0.1627,0.3479,0.2874,0.3568,0.3467,0.2800,0.2899,0.6108
234,12,11,5833,0.4317,0.3302,0.6521,0.2640,0.7222,0.3560,0.5951,0.5135
235,10,4,4542,0.4414,0.3594,0.5177,0.6147,0.6961,0.7784,0.5489,0.6466
236,8,2,3459,0.6108,0.6563,0.2901,0.5323,0.6424,0.4254,0.4343,0.7505
237,13,8,6708,0.4286,0.7115,0.2959,0.3003,0.7513,0.6474,0.6218,0.6638
238,6,1,2417,0.3420,0.5200,0.5779,0.4080,0.5299,0.3981,0.5270,0.4098
239,12,3,5709,0.6346,0.5771,0.5551,0.6380,0.7282,0.5812,0.4234,0.5077
240,8,6,3667,0.2984,0.5811,0.5732,0.3270,0.4025,0.6051,0.5588,0.4131
241,9,2,4083,0.4642,0.5848,0.5070,0.6856,0.5962,0.4757,0.4500,0.5163
242,19,21,12959,0.1935,0.4460,0.4923,0.5105,0.5444,0.4109,0.6216,0.6460
243,3,0,1791,0.5972,0.5508,0.4686,0.4397,0.4665,0.5635,0.6146,0.4394
244,13,8,6625,0.6341,0.2928,0.2783,0.7545,0.5467,0.3781,0.4359,0.6968
245,11,8,6834,0.3167,0.5197,0.3223,0.3144,0.3358,0.4958,0.4117,0.7005
246,9,4,4125,0.4581,0.5214,0.3690,0.2471,0.5216,0.5859,0.5174,0.5889
247,7,4,3041,0.4599,0.5060,0.5418,0.4596,0.5493,0.4936,0.5932,0.4952
248,9,4,5875,0.4997,0.4542,0.3628,0.3814,0.4985,0.6072,0.5975,0.5841
249,10,7,5334,0.1664,0.6129,0.6024,0.3305,0.4613,0.4451,0.7416,0.4890
250,8,1,3917,0.3629,0.5406,0.5945,0.6206,0.5875,0.5513,0.4681,0.3801
251,6,0,2875,0.5402,0.4044,0.3190,0.5907,0.5514,0.4312,0.6138,0.7195
252,4,1,2292,0.4473,0.5080,0.4602,0.4036,0.6304,0.3815,0.4893,0.6195
253,4,0,1791,0.5853,0.5430,0.6273,0.5950,0.6289,0.4354,0.6402,0.5388
254,11,4,5375,0.7061,0.5483,0.1540,0.4236,0.5000,0.5931,0.3860,0.6232
255,8,4,3500,0.5245,0.3602,0.5605,0.5716,0.4464,0.3217,0.4470,0.3176
256,3,2,1750,0.4513,0.5175,0.6011,0.4996,0.6835,0.5730,0.5461,0.4700
257,9,4,4250,0.6149,0.4797,0.4951,0.3472,0.4864,0.4386,0.7463,0.6931
258,4,1,1750,0.5506,0.4795,0.5223,0.3593,0.4899,0.3977,0.4410,0.4675
259,9,8,4292,0.5685,0.4170,0.4656,0.5024,0.5192,0.3497,0.6512,0.5529
260,6,2,2875,0.5229,0.4015,0.3422,0.5123,0.5253,0.5159,0.5878,0.3666
261,11,10,5208,0.4700,0.5340,0.2900,0.4503,0.6264,0.5368,0.7049,0.5371
262,6,1,2375,0.4700,0.3752,0.4242,0.6336,0.6611,0.5532,0.3971,0.5917
263,9,5,3917,0.5844,0.6448,0.4245,0.4584,0.5188,0.5152,0.3286,0.4320
264,12,13,6125,0.4451,0.3396,0.3177,0.6451,0.7385,0.5099,0.6565,0.4111
265,7,2,3417,0.4964,0.5724,0.4924,0.5455,0.4926,0.4972,0.5895,0.5837
266,5,3,2292,0.5337,0.5278,0.5552,0.4749,0.6176,0.4819,0.4982,0.5454
267,5,2,2166,0.4460,0.4307,0.7139,0.3719,0.5552,0.5386,0.5430,0.5320
268,6,2,2416,0.5419,0.4269,0.4190,0.4651,0.4745,0.4791,0.4133,0.5806
269,6,2,2417,0.4324,0.3496,0.5039,0.5132,0.3708,0.6632,0.4053,0.6212
270,7,3,3166,0.5695,0.5129,0.5212,0.5920,0.6037,0.5380,0.5005,0.4353
271,6,4,2458,0.4613,0.5516,0.3520,0.5465,0.5555,0.6562,0.5273,0.4722
272,12,9,7875,0.5244,0.3922,0.4425,0.4619,0.4312,0.3917,0.6452,0.7738
273,7,0,3000,0.4481,0.5590,0.5084,0.3899,0.5101,0.4847,0.4423,0.5591
274,9,5,4209,0.4834,0.4127,0.3683,0.4572,0.4423,0.6324,0.3688,0.5160
275,9,5,4084,0.5675,0.7388,0.4893,0.3156,0.6440,0.3505,0.6994,0.3323
276,7,2,3000,0.6305,0.4675,0.5582,0.4644,0.5467,0.5440,0.6757,0.5328
277,10,4,4666,0.5806,0.4980,0.3532,0.3880,0.3557,0.5522,0.6135,0.5781
278,6,2,2792,0.4816,0.5709,0.5096,0.5182,0.5999,0.3614,0.6131,0.4262
279,7,7,3167,0.5988,0.4605,0.6119,0.5384,0.5073,0.4946,0.5549,0.7582
280,6,1,2333,0.4598,0.3476,0.3266,0.6787,0.3122,0.5310,0.6912,0.5329
281,4,3,1875,0.5420,0.5515,0.5100,0.5334,0.6089,0.4688,0.4842,0.4582
282,11,3,5083,0.7250,0.5690,0.3837,0.4747,0.6348,0.5131,0.4206,0.4077
