step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
2000,50,0,5132,362.2339,350.33,13.43,41.77,21,24.99,8.038,5.644,0.1461,61.269,0.00,0.0000
2000,50,1,573,188.7514,160.63,143.41,18.66,28,29.84,10.179,3.702,0.7086,360.496,0.00,0.0000
2000,50,2,11,2.2220,2.47,14.09,26.53,2,28.47,9.094,3.678,0.9209,429.064,0.00,0.0000
2000,60,0,3853,181.1447,186.16,0.77,34.55,0,18.77,3.947,6.704,0.0913,14.815,0.00,0.0000
2000,60,1,2,2.5684,2.62,0.34,35.46,0,21.43,4.747,5.302,0.9202,167.863,0.00,0.0000
2000,70,0,4656,46.6854,42.27,0.15,26.53,0,15.11,1.227,6.292,0.0639,2.573,0.00,0.0000
2000,80,0,3564,7.3045,6.86,0.06,26.15,0,15.33,0.201,3.831,0.0540,0.033,0.00,0.0000
3000,-60,0,5356,0.8885,80.96,91.47,-15.88,3,-15.20,0.000,30.200,0.5392,5.360,0.00,0.0000
3000,-60,1,2376,0.2874,81.73,573.79,-18.05,0,-17.45,0.000,32.452,0.9640,5.559,0.00,0.0000
3000,-60,2,2,0.0000,0.00,2.32,-14.98,0,-5.04,0.000,20.042,0.9997,24.251,0.00,0.0000
3000,-50,0,7155,103.0798,158.04,95.44,-3.48,43,-5.14,0.000,20.550,0.4313,12.157,0.00,0.0000
3000,-50,1,1539,104.0105,43.21,466.58,-20.52,48,-5.99,0.000,21.346,0.7984,20.298,0.00,0.0000
3000,-50,2,4,0.0681,0.00,6.42,-10.77,0,0.12,0.000,15.318,0.9771,36.415,0.00,0.0000
3000,-40,0,6347,300.2723,222.97,62.06,6.34,199,6.31,0.701,12.848,0.3986,35.303,0.00,0.0000
3000,-40,1,1732,375.4708,33.83,625.21,-11.75,151,4.62,0.542,14.067,0.7092,52.773,0.00,0.0000
3000,-40,2,2,0.0009,0.00,2.34,27.50,0,9.71,0.359,9.391,0.9836,121.028,0.00,0.0000
3000,-30,0,4330,435.4218,194.69,87.71,12.09,350,15.51,3.827,8.928,0.4353,89.003,0.00,0.0000
3000,-30,1,3236,711.4586,170.56,1512.71,2.95,394,15.36,3.991,9.236,0.6489,136.244,0.00,0.0000
3000,-30,2,611,184.4333,70.31,867.94,-1.79,108,17.99,5.007,8.091,0.8656,225.533,0.00,0.0000
3000,-20,0,1819,148.2445,39.39,41.45,14.49,83,23.99,8.197,6.318,0.3886,182.238,0.00,0.0000
3000,-20,1,2506,570.7294,130.02,1068.37,19.88,256,23.76,8.119,6.455,0.5745,258.737,0.00,0.0000
