step,medium,hab,reach,blocks,hit_body,hit_wall,near,ring,axis,free_here,free_around
63,1,11,6,36,24,0,13,2,0,0,13
63,1,11,8,49,32,0,7,1,0,3,4
63,0,0,7,49,28,0,7,1,0,4,58
63,0,7,8,64,32,0,8,1,0,10,44
64,0,5,8,64,32,0,8,6,0,4,56
64,0,0,8,64,32,0,13,5,0,1,24
64,0,4,7,49,28,0,14,2,0,0,46
64,0,8,8,64,32,0,20,4,0,0,0
64,1,11,8,64,32,0,14,4,0,1,24
64,0,3,8,29,32,0,5,2,0,3,81
64,1,14,7,49,28,0,12,4,0,3,63
64,0,4,11,75,44,0,20,5,0,2,18
64,1,11,8,64,32,0,18,5,0,13,75
64,0,7,6,36,24,0,6,3,0,4,28
64,1,10,6,14,24,0,13,3,0,3,36
64,0,7,8,44,32,0,5,2,0,13,79
64,1,13,8,64,32,0,16,8,0,4,50
64,1,11,8,64,32,0,18,1,0,0,0
65,0,1,7,49,28,0,14,2,0,0,0
65,0,1,7,31,28,0,6,3,0,4,50
65,0,3,7,43,28,0,14,3,0,5,10
65,1,11,8,22,32,0,8,1,0,0,47
65,0,7,8,64,32,0,20,2,0,6,32
65,1,11,7,30,28,0,9,2,0,4,31
65,0,0,8,26,32,0,8,4,0,10,48
65,0,5,7,49,28,0,18,6,0,0,12
65,0,7,7,29,28,0,4,1,0,1,21
65,1,1,8,13,32,0,2,1,0,8,29
65,1,14,8,21,32,0,7,2,0,7,53
65,0,8,8,19,32,0,10,2,0,9,24
65,0,1,7,30,28,0,12,1,0,2,62
65,1,13,8,15,32,0,1,1,0,11,81
66,0,1,9,81,36,0,15,7,0,4,58
66,0,1,9,81,36,0,27,1,0,0,12
66,0,0,10,57,40,0,19,6,0,12,27
66,0,1,7,49,28,0,13,1,0,3,4
66,0,3,8,49,32,0,14,1,0,13,55
66,0,5,8,36,32,0,20,4,0,0,31
66,1,11,9,59,36,0,21,8,0,6,58
66,0,3,8,22,32,0,11,2,0,2,32
66,1,10,8,64,32,0,16,3,1,6,65
66,1,11,8,64,32,0,16,1,0,0,0
66,0,4,7,49,28,0,7,7,0,12,72
66,0,5,7,21,28,0,12,1,0,1,28
66,1,10,7,49,28,0,11,3,0,0,0
67,0,0,8,64,32,0,20,5,0,2,4
67,0,5,8,14,32,0,4,3,0,13,37
67,0,4,8,30,32,0,19,1,0,0,21
67,0,3,8,29,32,0,14,2,0,7,45
67,0,7,7,49,28,0,21,3,0,7,26
67,0,6,8,64,32,0,8,9,0,0,58
67,1,11,7,49,28,0,15,7,0,12,24
67,1,14,7,12,28,0,6,1,0,2,53
67,1,10,6,36,24,0,13,4,0,0,20
67,1,14,7,49,28,0,13,2,0,0,10
67,0,6,7,40,28,0,15,7,1,7,37
67,0,1,8,21,32,0,12,1,0,2,40
67,1,11,6,24,24,0,8,6,0,8,41
67,0,1,11,21,44,0,16,5,0,8,57
67,0,4,6,35,24,0,7,3,0,10,50
67,1,14,7,47,28,0,17,1,0,6,47
67,0,4,9,81,36,0,18,2,0,5,34
67,1,11,7,38,28,0,7,9,0,8,80
67,0,2,9,81,36,0,11,7,0,8,64
67,1,14,7,49,28,0,14,3,0,0,23
67,0,5,6,16,24,0,6,3,0,4,40
67,0,3,8,15,32,0,8,2,0,7,34
67,1,14,9,70,36,0,20,9,1,2,49
67,0,4,7,13,28,0,3,2,0,2,36
67,0,1,8,48,32,0,13,6,0,2,48
68,0,2,9,81,36,0,10,1,0,0,21
68,0,2,8,15,32,0,5,1,0,4,46
68,0,3,7,49,28,0,18,2,0,6,36
68,0,7,8,39,32,0,8,2,0,14,68
68,1,11,8,41,32,0,12,1,0,11,10
68,0,5,8,27,32,0,12,1,1,6,45
68,1,11,9,78,36,0,32,2,0,6,30
68,0,4,8,7,32,0,3,1,0,7,43
68,1,14,7,47,28,0,16,2,0,0,13
68,1,14,11,119,44,0,49,2,0,2,23
68,0,5,7,26,28,0,9,1,0,0,38
69,0,8,8,64,32,0,16,3,0,4,56
69,0,3,8,64,32,0,20,1,0,7,82
69,2,11,7,26,28,0,6,2,0,7,46
69,0,4,9,81,36,0,24,3,0,3,35
69,0,0,9,64,36,0,17,6,0,0,0
69,1,11,10,81,40,0,16,3,0,0,28
69,0,2,8,64,32,0,17,5,1,0,0
69,0,2,6,20,24,0,11,1,0,7,30
69,0,3,9,78,36,0,8,1,0,6,36
69,1,14,7,49,28,0,13,3,0,0,6
69,0,7,8,37,32,0,12,3,0,7,25
69,1,10,6,30,24,0,6,2,0,8,56
69,1,11,7,14,28,0,3,1,0,10,52
69,1,14,9,50,36,0,11,3,0,0,76
69,1,14,9,81,36,0,9,1,0,8,46
69,0,0,7,49,28,0,8,6,0,5,40
70,0,2,9,61,36,0,8,2,0,12,67
70,0,8,7,49,28,0,11,1,0,8,55
70,0,4,9,81,36,0,9,1,0,0,28
70,0,1,8,64,32,0,8,8,0,14,80
70,0,2,8,52,32,0,16,1,0,0,7
70,0,3,7,49,28,0,18,2,0,12,46
70,0,2,7,49,28,0,20,2,0,4,54
70,0,2,7,49,28,0,27,3,0,4,34
70,0,4,8,64,32,0,10,2,0,3,25
71,0,7,10,25,40,0,7,2,0,12,66
71,2,8,7,49,28,0,12,4,0,0,5
71,0,4,10,49,40,0,20,4,0,1,41
71,1,11,10,72,40,0,16,1,0,0,15
71,1,11,8,44,32,0,18,3,0,1,37
71,1,11,7,36,28,0,6,2,0,0,22
71,0,2,8,64,32,0,16,11,0,0,0
71,0,7,6,32,24,0,11,3,0,12,39
71,0,5,8,17,32,0,10,18,1,1,47
71,0,1,9,15,36,0,13,5,0,10,43
71,0,0,7,45,28,0,11,3,0,0,35
71,0,7,7,49,28,0,15,8,0,4,73
71,0,4,7,16,28,0,7,1,0,2,40
71,0,0,9,27,36,0,9,2,0,4,44
71,1,11,9,16,36,0,9,1,0,0,39
71,1,14,8,55,32,0,8,1,0,11,62
72,0,8,8,64,32,0,31,5,0,12,51
72,1,11,7,49,28,0,16,3,0,2,27
72,0,5,7,49,28,0,13,2,0,6,46
72,1,11,6,36,24,0,6,4,0,6,25
73,0,1,8,61,32,0,24,4,0,12,20
73,0,7,8,64,32,0,13,3,0,0,42
73,0,11,7,23,28,0,14,8,0,2,26
73,0,1,6,36,24,0,12,5,0,12,32
73,0,1,5,25,20,0,10,1,0,2,19
73,1,11,9,81,36,0,12,4,0,12,60
73,1,14,7,47,28,0,7,6,0,4,64
73,0,4,8,17,32,0,10,1,0,3,18
73,1,14,9,81,36,0,36,8,0,4,57
73,1,14,8,28,32,0,8,1,0,0,23
73,1,11,11,69,44,0,24,1,0,0,29
74,0,2,7,19,28,0,9,2,1,7,57
74,0,2,8,33,32,0,13,2,0,6,33
74,0,1,7,21,28,0,9,3,0,8,26
74,0,1,6,36,24,0,10,6,0,0,10
74,0,0,6,22,24,0,6,3,0,5,46
74,0,1,6,36,24,0,15,5,0,7,45
74,0,7,5,25,20,0,10,2,1,0,20
74,0,8,8,64,32,0,21,3,0,3,27
74,0,6,7,13,28,0,5,1,0,5,35
74,0,2,7,27,28,0,8,6,1,6,43
74,1,14,10,100,40,0,10,13,0,8,48
74,1,14,7,49,28,0,13,16,1,9,54
75,0,7,7,49,28,0,27,5,0,12,24
75,0,5,7,47,28,0,13,5,1,4,21
75,0,4,9,81,36,0,18,5,0,2,13
75,0,7,8,60,32,0,20,3,0,12,52
75,0,5,8,26,32,0,14,3,0,5,62
75,0,8,8,16,32,0,4,2,0,0,22
75,1,11,10,85,40,0,20,15,0,4,42
76,1,11,8,47,32,0,25,4,0,0,28
76,0,8,7,43,28,0,9,3,0,6,34
76,1,11,8,25,32,0,11,2,0,3,20
76,1,11,8,64,32,0,15,6,0,16,44
76,0,7,9,81,36,0,23,7,0,7,36
76,0,1,7,49,28,0,7,3,0,0,12
76,0,1,8,26,32,0,10,1,0,2,32
76,0,4,7,45,28,0,23,6,1,0,39
76,0,0,9,62,36,0,13,2,0,9,35
76,0,0,7,12,28,0,5,1,0,5,49
76,1,14,9,81,36,0,34,4,0,3,2
76,0,3,9,47,36,0,11,1,0,12,35
76,0,7,8,64,32,0,10,3,0,2,25
76,0,0,7,49,28,0,14,1,0,4,56
76,1,14,9,81,36,0,17,8,1,4,22
77,0,7,8,18,32,0,9,1,0,5,30
77,0,7,6,36,24,0,10,2,0,4,22
77,1,14,7,49,28,0,12,5,0,0,0
77,1,11,8,45,32,0,5,1,0,7,66
77,1,14,7,36,28,0,9,2,0,7,41
77,1,11,6,20,24,0,9,1,0,1,33
77,1,11,6,36,24,0,18,2,0,0,0
77,0,5,9,81,36,0,17,3,0,1,9
77,0,5,6,25,24,0,8,2,0,5,48
77,1,14,9,81,36,0,31,5,0,8,25
77,1,14,7,34,28,0,14,1,0,4,41
77,1,11,8,42,32,0,21,5,0,4,28
77,1,11,10,15,40,0,9,2,0,7,42
77,1,11,6,30,24,0,16,13,0,0,10
77,0,1,8,15,32,0,9,1,0,0,58
77,1,10,6,20,24,0,7,2,0,4,45
77,1,14,6,36,24,0,9,4,0,4,31
77,0,8,10,16,40,0,8,2,0,13,24
77,1,11,7,16,28,0,19,1,0,4,30
77,0,1,8,64,32,0,21,3,0,4,20
78,0,6,10,44,40,0,17,17,1,16,44
78,0,2,8,57,32,0,18,3,0,6,30
78,0,7,7,49,28,0,17,3,0,0,13
78,0,2,8,8,32,0,2,1,0,3,68
78,1,11,7,36,28,0,7,1,0,9,52
78,0,7,5,25,20,0,6,1,0,3,44
78,0,2,8,64,32,0,22,7,0,2,39
78,0,0,7,49,28,0,14,4,0,0,53
78,1,14,9,32,36,0,13,2,0,0,59
78,0,0,8,24,32,0,17,1,0,4,24
78,0,2,7,49,28,0,12,4,0,6,26
78,1,11,8,39,32,0,17,7,0,1,45
78,0,4,7,49,28,0,15,7,1,4,29
78,0,0,8,64,32,0,17,2,0,3,4
78,1,11,9,80,36,0,16,6,0,4,58
78,1,14,7,49,28,0,25,3,0,9,22
78,0,2,8,64,32,0,15,10,0,2,38
78,0,0,6,36,24,0,12,10,1,0,24
78,0,4,9,52,36,0,9,6,0,2,32
78,2,10,8,19,32,0,4,1,0,12,78
79,0,8,6,19,24,0,8,2,0,7,43
79,0,7,6,36,24,0,6,2,0,5,12
79,0,7,9,81,36,0,20,6,0,8,34
79,0,3,7,49,28,0,8,3,0,0,0
79,0,7,8,64,32,0,9,2,0,10,51
79,1,11,8,64,32,0,18,1,0,0,32
79,0,2,8,64,32,0,23,1,0,12,26
79,0,4,6,34,24,0,18,1,0,0,29
