run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold
control,flesh / tooth / roams / shore,0.004594402305642312,False,16,0000000000000111000000000000011200000000000002220000000000000222000000000000022200000000000004220000000000000042000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,381,21,0.22243517474633598,0.8,14.5,0.046309698674240875,0.760304834691298,0.8162729658792651,0.0,0.1837270341207349,0.08136482939632546
control,plant / no tooth / stays / surface,0.0035452868185271384,False,6,222222220044200004400044444444444444,294,34.0,0.015152849969165712,1.1875,2.125,0.0,0.15192892852100395,0.04081632653061224,0.9591836734693877,0.0,0.003401360544217687
control,flesh / no tooth / stays / bottom,0.0031955816561554137,False,4,2222222222242244,265,16,0.006396588486140725,1.0,3.5,0.0,0.5245833806664637,0.01509433962264151,0.0,0.9849056603773585,0.01509433962264151
control,flesh / tooth / stays / shore,0.0030026408769158416,False,16,0000000000001222000000000000222200000000000022440000000000000444000000000000004400000000000000040000000000000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,249,19,0.11415004748338081,1.1176470588235294,6.0,0.030347000392152778,0.6538657622707084,0.4578313253012048,0.0,0.5421686746987951,0.004016064257028112
control,plant / tooth / roams / shore,0.002689112110651537,False,16,0000000000112224000000000012224400000000000222440000000000222444000000000022244400000000002244440000000000024444000000000000444400000000000044440000000000000444000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000,223,36,0.19198705984820208,0.6666666666666666,12.25,0.06987942028836143,0.2250586022293968,0.5381165919282511,0.3991031390134529,0.06278026905829596,0.11210762331838565
control,plant / tooth / stays / shore,0.0026408769158416437,False,16,0000000000002211000000000000222100000000000002210000000000000044000000000000004400000000000000040000000000000004000000000000000400000000000000040000000000000004000000000000000400000000000000040000000000000004000000000000004400000000000004440000000000004444,219,32,0.17844665412523514,0.7666666666666667,2.25,0.033257051424500084,0.19851717522751308,0.4200913242009132,0.0410958904109589,0.5388127853881278,0.1095890410958904
control,mixed / no tooth / roams / land,0.001808819805370989,False,16,0000000000222222000000000022222200000000002222220000000000222224000000000022244400000000000444440000000000044444000000000000044400000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,150,25.0,0.012026321760835035,0.8695652173913043,13.625,0.005223754536673046,0.4101110886976639,0.9733333333333334,0.0,0.02666666666666667,0.4
control,mixed / tooth / roams / surface,0.0007114691234459223,False,5,2222202244001440004400044,59,16,0.10579857578840283,1.2,33.5,0.014660252560683538,0.36504138293534144,0.0,1.0,0.0,0.03389830508474576
control,plant / tooth / roams / land,0.0005788223377187165,False,5,1111111221422204422044000,48,36.0,0.23779724655819778,0.5660377358490566,16.25,0.17239601885596187,0.16717054405859597,1.0,0.0,0.0,0.20833333333333334
control,flesh / no tooth / stays / land,0.0005305871429088235,False,8,4444444444444444444444444444334444443344444433344444444444444444,44,19.0,0.1656140350877193,0.8421052631578947,0.0,0.000181856479367006,0.5952596355779678,1.0,0.0,0.0,0.0
control,flesh / no tooth / roams / land,0.00043411675328903734,False,16,0000000000002222000000000000222200000000000022240000000000000244000000000000004400000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,36,25.5,0.02299829642248722,1.0212765957446808,13.875,0.0,0.7115843971480458,1.0,0.0,0.0,0.027777777777777776
control,plant / no tooth / roams / land,0.0003376463636692513,False,4,2222222222244444,28,30.0,0.008849557522123895,0.6607142857142857,19.25,1.7958147089969158e-05,0.12584490185582967,1.0,0.0,0.0,0.35714285714285715
control,flesh / no tooth / stays / shore,0.00021705837664451867,False,16,0000000000000222000000000000022200000000000002240000000000000004000000000000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18,25.0,0.22672672672672672,0.84,0.0,0.0,0.5381844914866973,0.5,0.0,0.5,0.0
control,mixed / tooth / roams / bottom,0.00016882318183462564,False,8,0000222240000222400002224000002244000021441111114441111144441111,14,43.0,0.1853146853146853,0.8289473684210527,14.125,0.004310285127023216,0.3627661725720713,0.0,0.0,1.0,0.0
control,flesh / no tooth / roams / surface,0.00012058798702473259,False,7,2222000222200022220004222000444400044444444444444,10,24.0,0.0,1.0869565217391304,15.0,0.0,0.7809547823163557,0.0,1.0,0.0,0.0
control,flesh / tooth / stays / land,0.00012058798702473259,False,13,0000001111111000000011111100000000002220000000000222000000000022200000000002240000000000222000000000002200000000000110000000000011000000000001100000000000010000000000001,10,39.5,0.38902147971360385,0.4647887323943662,4.625,0.01690326820171007,0.6885976210786438,1.0,0.0,0.0,0.0
control,plant / tooth / stays / bottom,0.00010852918832225933,False,5,4411144220442004444444444,9,33,0.06282722513089005,1.0344827586206897,0.0,0.0,0.08597661258990705,0.0,0.0,1.0,0.0
control,mixed / no tooth / stays / surface,9.647038961978608e-05,False,7,2222222222222222222224222200444404444444444444444,8,44.5,0.03793103448275862,0.7816091954022989,4.0,0.0,0.42409992203146263,0.0,1.0,0.0,0.0
control,flesh / tooth / roams / land,8.441159091731282e-05,False,5,1111111221022240444400444,7,36,0.28112449799196787,0.41935483870967744,16.75,0.03850889996712862,0.8003072536733333,1.0,0.0,0.0,0.0
control,mixed / tooth / stays / bottom,8.441159091731282e-05,False,16,0000000000000002000000000000002100000000000002440000000000022444000000000002444400000000000044440000000000004444000000000000004400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7,41,0.125,0.75,3.5,0.0014092921689568534,0.32280076522274936,0.0,0.0,1.0,0.0
control,plant / tooth / roams / surface,7.235279221483956e-05,False,6,000001000002000002440044444444044444,6,27.0,0.15591397849462366,0.8979591836734694,19.5,0.049008344418914024,0.0753114040391825,0.0,1.0,0.0,0.0
control,flesh / tooth / roams / bottom,6.0293993512366296e-05,False,6,111111411111011111001114000044000022,5,36,0.31446540880503143,0.6153846153846154,22.75,0.01451794592914854,0.6785221799254195,0.0,0.0,1.0,0.0
control,plant / tooth / roams / bottom,4.823519480989304e-05,False,5,0020200221000240044404444,4,17.5,0.0958904109589041,1.2727272727272727,24.75,0.0,0.09614628105194142,0.0,0.0,1.0,0.0
control,flesh / tooth / roams / surface,3.617639610741978e-05,False,9,201100000220000000020000000020000000020000000220000004220000044222000444222444444,3,34,0.058823529411764705,1.3870967741935485,24.75,0.0,0.8348417182173968,0.0,1.0,0.0,0.0
control,plant / tooth / stays / surface,2.411759740494652e-05,False,7,2222211222221122222112222111202111141111114411111,2,38.0,0.3157894736842105,0.6619718309859155,1.875,0.0,0.2086655968398963,0.0,1.0,0.0,0.0
control,mixed / tooth / stays / surface,1.205879870247326e-05,False,6,000000422200422201444001444001444411,1,32,0.15625,0.8260869565217391,2.25,0.0,0.5648579026092737,0.0,1.0,0.0,0.0
ring2,mixed / no tooth / stays / bottom,0.3641352477461129,True,4,4444444444444444,50164,16.0,0.0018916106072877892,1.0,2.5,2.5755534181661988e-05,0.28510291365862267,0.015887887728251334,0.0,0.9841121122717487,0.005521888206682083
ring2,plant / no tooth / stays / bottom,0.1865899159419869,False,4,4444444444444444,25705,16,0.0025333106935767494,1.0,0.0,0.0,0.08765391408238178,0.014783116125267459,0.0,0.9852168838747325,0.0044349348375802376
ring2,mixed / no tooth / stays / shore,0.08349181922445957,False,4,4444444444444444,11502,25.0,0.03525852786298066,0.8,1.5,0.005508591885806578,0.3026497372768364,0.3808033385498174,0.0020865936358894104,0.6171100678142931,0.027821248478525473
ring2,mixed / no tooth / roams / bottom,0.059718935555523295,False,5,2222242222440422444422444,8227,16,0.0014906427990235966,1.0,12.5,1.64315205936649e-05,0.35839613864073505,0.026619666950285645,0.0,0.9733803330497144,0.0143430168955877
ring2,plant / no tooth / stays / shore,0.04417763969744922,False,4,4444444444444444,6086,31.0,0.03687688909802326,0.8,0.0,0.0017486524572549857,0.08121975371368956,0.40847847518895825,0.04025632599408478,0.5512651988169569,0.04551429510351627
ring2,mixed / tooth / roams / land,0.04115793905431106,False,6,111111114411244442224422222222222222,5670,36.0,0.30880378577410306,0.4,18.5,0.23721265504505562,0.4786286001261658,0.944973544973545,0.031040564373897708,0.02398589065255732,0.06402116402116402
ring2,mixed / no tooth / roams / shore,0.03984407891871489,False,4,2222222224444444,5489,16,0.014299748935705708,1.0,13.75,0.003578044008976687,0.4417770542331552,0.31353616323556205,0.030788850428128987,0.6556749863363089,0.056476589542721806
ring2,mixed / tooth / roams / shore,0.0309519315921662,False,6,111111144441244442224422222222222222,4264,36.0,0.2295286034552563,0.4411764705882353,18.75,0.20525703553334063,0.47557631573723463,0.7969043151969981,0.05276735459662289,0.15032833020637898,0.05980300187617261
ring2,flesh / no tooth / stays / bottom,0.024912530305889868,False,4,4444422422222222,3432,16.0,0.0032810345730291974,1.0,3.25,5.738522532983847e-07,0.5821767633720233,0.019522144522144524,0.0,0.9804778554778555,0.007284382284382284
ring2,flesh / no tooth / roams / shore,0.020542675048271657,False,5,2222222222224422244222222,2830,25.0,0.0029567922660598813,0.8,12.375,0.00033478279690452647,0.6815243830330947,0.4787985865724382,0.0,0.5212014134275619,0.04558303886925795
ring2,mixed / tooth / stays / land,0.015599367024288265,False,6,444444444444444444444444444444444444,2149,49,0.3145167104382306,0.39473684210526316,4.25,0.061693065063753126,0.4220971544073944,0.9469520707305723,0.00046533271288971617,0.05258259655653792,0.15030246626337831
ring2,plant / no tooth / roams / bottom,0.015396117942538581,False,4,2222422244444444,2121,16,0.00387728396258421,1.0,12.5,8.627482126138294e-06,0.19152331574697612,0.026874115983026876,0.0,0.9731258840169731,0.011786892975011787
ring2,plant / no tooth / roams / surface,0.01166504551327652,False,8,2222220022220000444000004400000044000000440000004400000044000000,1607,20,0.014164959755358739,1.1,34.0,9.586386626814612e-06,0.14564446764666533,0.028002489110143122,0.9719975108898569,0.0,0.013067828251400125
ring2,plant / no tooth / stays / land,0.01114240501734876,False,9,444444444444444444444444444444444444444444444444444444444444444444444444444444444,1535,64,0.032154855223164296,0.5,0.0,0.0009112019234528428,0.032678262568223565,0.9791530944625407,0.016938110749185668,0.003908794788273616,0.05667752442996743
ring2,plant / no tooth / roams / shore,0.010590728938313903,False,7,0000000000000000440000444000044400024440002220000,1459,18,0.04264279339580544,1.1111111111111112,18.5,0.025081491125545016,0.18939525375345753,0.25085675119945167,0.42289239204934886,0.32625085675119947,0.06305688827964359
ring2,mixed / no tooth / stays / land,0.008616309287031257,False,5,4444444444444444444444444,1187,36,0.18455995465954175,0.5555555555555556,0.0,0.005192648486793559,0.3038895614980461,0.9528222409435552,0.0,0.04717775905644482,0.06908171861836562
ring2,flesh / no tooth / stays / shore,0.008550979225040287,False,4,2222222224422242,1178,25.0,0.0028576871785101926,0.9090909090909091,5.5,4.028334972501998e-06,0.6628724227153445,0.41256366723259763,0.0,0.5874363327674024,0.011884550084889643
ring2,mixed / tooth / stays / shore,0.007200824610560242,False,7,1111111144444124444422444442224442222222222222222,992,49.0,0.20014137130162576,0.45652173913043476,4.5,0.055967337406538184,0.39092077023335003,0.8034274193548387,0.007056451612903226,0.18951612903225806,0.11895161290322581
ring2,flesh / no tooth / roams / bottom,0.004500515381600151,False,4,2222222224422244,620,16.0,0.00047528517110266154,1.0,15.25,0.0,0.6422689066197024,0.043548387096774194,0.0,0.9564516129032258,0.03064516129032258
ring2,plant / tooth / stays / shore,0.0025986846880852485,False,8,4444444444444444444444244444422244444222444442224444422244442221,358,36.0,0.1235011990407674,0.4857142857142857,3.75,0.135849900048054,0.17739948013465529,0.6899441340782123,0.002793296089385475,0.30726256983240224,0.10335195530726257
ring2,mixed / no tooth / roams / land,0.0014227435722477897,False,6,222222222222224442244444244444224444,196,36.0,0.01369201030927835,0.6666666666666666,11.625,0.0013462126777685976,0.415449182033736,0.9336734693877551,0.0,0.0663265306122449,0.1377551020408163
ring2,flesh / tooth / roams / shore,0.0011904589073910077,False,6,111111114411224422222222222222222222,164,36.0,0.27110967324490454,0.42424242424242425,22.25,0.18433892083914644,0.6517906888749871,0.8292682926829268,0.0,0.17073170731707318,0.03048780487804878
