step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share
11000,12195,6383,26107,49464,40599,22876,481,21542,1818,68,297376,3418001,27140.062,9860.653,0.3137,4030.984,0.069,0.716,0.134,0.081,0.573,0.310,1701,0.0714,0.6719,0.137,11.9,43.0,74.7,38.41,1.28,13.98,1.23,21.92,7.84,1.162,0.310,0.048,0.053,16.198,0.502,0.0028,224,923,5283,22822,2126,44,0.491,7582,66,1339,10790,800,1808,9587,3.40,15.73,6176,11.1392,66810,5846,240175,553.5,-0.0,798803,20.640,2631002.543,7.61e-15,0.00062,16.93,16192,19.938,1.294,18.110,0.534,19.939,3638,3581,4976,0.3684,0.966,1.076,1.476,1.171,0.979,1.287,10833.970,8870.861,9496.946,10631.238,11042.863,1740.891,1605.757,2483.021,0.581,0.607,0.548,0.502,0.443,0.455,3821,1224,0.6060,1.0000,0.9999,0.1291,1.0000,1.0000,0.6848,0.9513,0.8802,0.0334,0.0261,0.0411,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249
12000,13047,6848,28917,53345,43908,23872,556,24797,2041,55,306074,3910863,29115.677,10600.831,0.3279,4327.578,0.068,0.714,0.137,0.081,0.577,0.313,1887,0.0711,0.6787,0.132,12.1,43.4,74.7,37.68,1.32,13.60,1.20,21.57,7.75,1.184,0.300,0.057,0.063,15.944,0.506,0.0028,231,907,5518,24545,2201,43,0.480,8067,223,1280,11544,1440,1640,9967,3.50,15.52,6517,12.5582,67038,6106,223020,506.2,-0.0,816623,23.432,2631002.543,3.54e-16,0.00002,31.67,18314,22.395,1.299,20.410,0.686,22.396,4510,3394,5143,0.3313,0.982,1.107,1.509,1.184,0.984,1.316,10778.152,9352.357,11249.897,10581.100,11612.258,1999.054,1487.987,2786.213,0.581,0.625,0.549,0.492,0.424,0.429,3905,1172,0.4985,1.0000,1.0000,0.1070,0.9999,1.0000,0.6724,0.9765,0.9131,0.0357,0.0276,0.0418,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244
13000,12587,7350,29251,56376,46689,26550,575,25430,2011,77,301357,4253675,29895.497,11479.302,0.3521,4847.396,0.062,0.722,0.137,0.079,0.587,0.309,1949,0.0735,0.6803,0.131,10.8,42.0,73.6,36.06,1.29,13.05,1.07,20.65,7.75,1.216,0.298,0.053,0.058,16.366,0.532,0.0027,237,954,5457,25967,2490,42,0.492,7841,360,1368,10859,866,1331,10390,3.26,14.49,5686,10.6033,67085,6664,208058,483.1,-0.0,835220,24.535,2631002.543,3.63e-14,0.00028,10.33,19257,23.575,1.316,21.629,0.629,23.575,3613,3395,5579,0.3318,0.989,1.141,1.569,1.225,0.987,1.350,11378.502,9954.466,11011.204,11196.939,12534.750,2126.213,1342.995,3162.697,0.588,0.645,0.559,0.493,0.465,0.468,3977,2193,0.6249,1.0000,1.0000,0.1142,1.0000,1.0000,0.6890,0.9827,0.9269,0.0432,0.0232,0.0416,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248
14000,13706,8188,28712,54390,44942,25071,607,24575,1790,71,282175,4358564,30644.096,10663.171,0.3485,4517.595,0.059,0.711,0.150,0.079,0.596,0.307,1410,0.0637,0.6854,0.128,11.0,39.8,69.3,34.15,1.17,12.31,0.89,19.77,7.70,1.239,0.293,0.045,0.047,16.801,0.550,0.0026,241,1034,5504,26110,3044,35,0.458,8314,364,1792,11550,1008,1338,11360,2.92,13.20,5851,10.2769,67124,6950,196532,468.0,-0.0,848357,24.141,2631002.543,7.08e-15,0.00007,33.24,18409,23.362,1.294,21.347,0.720,23.362,3650,3548,6508,0.3138,0.995,1.169,1.595,1.237,0.986,1.378,12098.950,11299.245,9206.892,11910.140,14044.659,1796.442,1168.616,3180.518,0.561,0.667,0.578,0.456,0.463,0.476,3852,1157,0.6118,1.0000,0.9999,0.1259,1.0000,1.0000,0.7318,1.0169,0.9638,0.0417,0.0200,0.0411,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250
15000,14989,8842,31152,59928,49162,28038,738,26344,2158,76,295749,4818937,32187.604,12083.837,0.3822,5019.741,0.060,0.705,0.155,0.080,0.604,0.303,1628,0.0604,0.6996,0.119,10.0,38.0,67.5,32.44,1.02,12.20,0.91,18.30,7.66,1.258,0.295,0.037,0.040,16.943,0.533,0.0025,237,1023,6247,28834,3308,34,0.213,8832,48,1976,12965,729,1722,12538,2.55,12.15,5077,9.1884,67142,7317,187842,566.9,0.0,859984,25.122,2631002.543,5.31e-15,0.00013,23.67,20240,24.877,1.308,22.733,0.835,24.877,3452,4149,7388,0.3174,0.997,1.222,1.624,1.253,0.989,1.412,12711.314,12211.546,9230.785,12502.826,15473.735,1789.544,1012.187,4262.365,0.567,0.691,0.585,0.445,0.472,0.491,4044,1291,0.6102,1.0000,1.0000,0.1218,1.0000,1.0000,0.7674,1.0315,0.9865,0.0425,0.0165,0.0386,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250
16000,14541,8519,28428,53857,44329,24780,649,25143,2135,71,270136,4716867,30952.791,11367.653,0.3909,4768.280,0.058,0.700,0.161,0.080,0.596,0.315,1586,0.0600,0.7057,0.112,9.7,38.5,65.8,31.77,0.99,11.90,0.94,17.94,7.59,1.283,0.284,0.037,0.041,18.162,0.514,0.0024,245,1075,7162,25775,3808,31,0.428,8792,57,2060,12424,509,1443,12589,2.50,12.53,5575,8.8444,67058,7909,180444,566.6,-0.0,869499,25.105,2631002.543,2.88e-14,0.00016,15.34,18468,24.042,1.294,21.938,0.810,24.042,2871,4167,7503,0.3214,0.996,1.235,1.683,1.284,0.986,1.448,12842.362,12313.071,7365.555,12638.415,15717.101,1562.888,915.471,4121.015,0.560,0.688,0.571,0.405,0.479,0.487,4315,1527,0.6527,1.0000,0.9999,0.1416,1.0000,0.9999,0.7523,1.0386,1.0029,0.0401,0.0200,0.0370,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253
17000,16558,9613,31766,64562,53846,32064,732,26189,2671,119,314363,5188829,34140.275,13695.291,0.4012,5813.048,0.058,0.700,0.163,0.079,0.607,0.309,1598,0.0528,0.7019,0.106,10.5,39.6,67.1,32.35,0.90,11.90,0.84,18.72,7.54,1.305,0.278,0.029,0.033,17.241,0.529,0.0023,248,1126,8740,25012,4835,32,0.423,10052,93,2074,14391,1043,2530,12985,2.50,11.39,5225,10.9988,67146,7559,172407,702.9,-0.0,878150,26.281,2631002.543,1.70e-14,0.00027,36.12,22697,26.706,1.295,24.303,1.108,26.706,4984,4090,7484,0.2947,0.998,1.267,1.719,1.294,0.987,1.485,12986.375,12746.635,10447.339,12806.026,16699.958,2018.899,952.154,4911.190,0.582,0.692,0.585,0.492,0.491,0.515,4375,770,0.5873,1.0000,0.9999,0.1159,1.0000,0.9999,0.7677,1.0311,0.9995,0.0360,0.0123,0.0349,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249
18000,16156,9167,29662,58944,48896,28702,580,26009,2570,147,304739,4951604,32524.711,13377.980,0.4109,5551.723,0.063,0.688,0.165,0.083,0.604,0.310,1778,0.0537,0.6901,0.107,11.7,41.0,67.0,32.81,0.83,12.37,0.95,18.66,7.53,1.315,0.288,0.036,0.040,16.963,0.504,0.0023,268,1172,9488,21702,5560,27,0.225,10065,357,2062,13737,866,1742,13548,2.70,12.16,6055,10.6171,67128,7259,163221,659.5,-0.0,889206,26.984,2631002.543,5.31e-16,0.00000,9.52,20981,26.445,1.292,24.066,1.088,26.445,4168,4311,7677,0.3017,0.998,1.274,1.745,1.336,0.985,1.490,12678.102,12805.433,8959.959,12529.779,16586.698,2158.020,855.616,4812.620,0.576,0.690,0.583,0.445,0.481,0.527,4467,1338,0.6351,1.0000,1.0000,0.1068,1.0000,0.9999,0.7986,0.9992,0.9688,0.0288,0.0176,0.0309,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249
19000,14979,8415,29969,59230,48668,28738,523,26912,2618,138,320435,4795223,31281.127,13624.735,0.4091,5432.135,0.066,0.696,0.156,0.083,0.594,0.312,1742,0.0616,0.6833,0.117,12.5,42.1,66.9,32.74,1.01,12.47,0.87,18.39,7.36,1.343,0.286,0.047,0.053,16.136,0.510,0.0025,267,1228,9228,24474,5256,32,0.436,9505,623,1198,13158,1067,1877,12035,3.00,13.27,6853,12.6918,67095,6851,154831,714.0,-0.0,898000,27.065,2631002.543,1.95e-15,0.00021,24.64,21304,26.298,1.295,23.949,1.054,26.299,4602,3694,6683,0.2901,0.998,1.284,1.806,1.350,0.987,1.534,11475.248,11188.843,10619.226,11307.448,14786.588,2079.704,1144.596,4968.300,0.566,0.668,0.578,0.467,0.462,0.522,4414,1478,0.5851,1.0000,0.9999,0.0964,1.0000,0.9999,0.7485,1.0345,0.9800,0.0414,0.0205,0.0306,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251
20000,14082,7812,30161,61388,50175,30719,508,26083,3436,116,360043,4540138,30625.574,14228.628,0.3978,5278.059,0.075,0.698,0.150,0.077,0.592,0.308,1613,0.0657,0.6682,0.119,13.5,43.7,67.5,33.40,0.97,13.07,0.81,18.56,7.31,1.353,0.296,0.046,0.050,14.936,0.523,0.0025,272,1210,7390,23724,3789,31,0.445,8989,847,1602,11633,986,1975,11121,3.50,14.48,5645,11.1353,67102,5983,147827,635.1,0.0,907904,25.979,2631002.543,2.37e-14,0.00091,20.54,22496,25.754,1.294,23.463,0.997,25.785,4455,3545,6082,0.2953,0.996,1.242,1.859,1.381,0.986,1.547,11252.187,10086.180,11623.409,11079.029,13201.194,2493.667,1309.273,5147.629,0.581,0.647,0.575,0.515,0.455,0.524,4382,1423,0.5830,1.0000,1.0000,0.0871,1.0000,1.0000,0.7393,1.0325,0.9773,0.0338,0.0224,0.0304,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248
21000,12211,6805,25847,48210,38575,21946,417,23196,3047,85,302988,3759519,26548.746,11206.039,0.3795,4020.087,0.079,0.702,0.144,0.076,0.571,0.320,1330,0.0712,0.6602,0.117,14.0,44.0,67.2,33.62,0.99,13.64,0.76,18.22,7.33,1.366,0.310,0.044,0.048,15.358,0.498,0.0026,274,1137,6397,21250,3744,35,0.483,7841,53,1059,11099,540,1748,9923,3.75,15.82,5952,9.8318,66988,6281,142327,509.0,0.0,915917,22.771,2631002.543,8.14e-15,0.00163,8.53,18209,21.760,1.296,19.713,0.750,21.760,3338,3367,5506,0.3169,0.998,1.196,1.908,1.415,0.989,1.567,10496.356,9292.263,8376.615,10350.248,11841.969,1821.215,979.412,4385.326,0.550,0.644,0.549,0.430,0.450,0.482,4650,1390,0.6157,1.0000,1.0000,0.0997,1.0000,0.9999,0.7419,1.0384,0.9798,0.0451,0.0187,0.0275,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251
22000,13487,7437,28162,54353,42830,25880,311,22341,3267,77,345375,3832216,28656.601,12342.505,0.3753,4240.888,0.079,0.704,0.143,0.075,0.569,0.316,1320,0.0694,0.6584,0.118,14.9,44.8,67.2,33.50,0.90,13.44,0.78,18.38,7.18,1.402,0.301,0.043,0.045,14.909,0.489,0.0025,260,1044,5480,21973,3239,32,0.436,8557,44,1379,12064,882,2191,10414,3.75,15.58,5943,11.0867,67050,6554,135533,592.0,-0.0,923256,22.029,2631002.543,5.66e-15,0.00737,31.86,21158,22.884,1.301,20.545,1.039,22.884,4280,3361,5846,0.2929,0.998,1.268,1.950,1.463,0.988,1.596,10547.517,10032.467,9953.645,10429.487,12514.357,2484.128,981.147,4636.343,0.539,0.652,0.548,0.472,0.447,0.501,4577,1201,0.5707,1.0000,0.9999,0.0926,1.0000,1.0000,0.7458,1.0344,0.9562,0.0382,0.0160,0.0265,0.0000,0.7820,0.9505,0.1297,0.7226,0.9534,0.00249
23000,14695,7675,30704,59905,47325,28866,335,24193,4098,52,401604,4060208,29983.535,14558.616,0.3959,4622.064,0.081,0.704,0.142,0.073,0.559,0.324,1643,0.0692,0.6559,0.107,15.3,44.9,67.5,32.07,0.92,13.47,0.63,17.05,7.03,1.457,0.308,0.036,0.038,14.264,0.473,0.0025,265,1004,5364,23770,2921,37,0.389,9160,115,1786,12794,860,1950,11885,4.04,15.89,6155,11.3710,67134,6786,130186,649.0,-0.0,929788,23.119,2631002.543,1.10e-14,0.00016,11.13,24749,25.233,1.293,22.620,1.320,25.234,4384,3786,6525,0.2904,0.999,1.466,1.971,1.545,0.990,1.669,10983.165,10774.880,10240.008,10866.437,13499.154,2879.365,987.512,6069.676,0.533,0.662,0.530,0.492,0.415,0.512,4558,1153,0.6195,1.0000,1.0000,0.0880,1.0000,1.0000,0.7563,1.0901,0.9552,0.0349,0.0165,0.0356,0.0000,0.0000,0.7341,0.2065,0.6514,0.9419,0.00249
24000,15917,8106,33653,65439,51405,31466,320,26256,4789,43,461546,4461803,31028.451,16293.166,0.3960,4870.715,0.081,0.715,0.134,0.070,0.560,0.322,1571,0.0699,0.6596,0.113,14.4,44.5,66.0,30.63,0.78,12.94,0.61,16.30,6.82,1.502,0.298,0.030,0.033,13.316,0.476,0.0025,257,982,5095,27320,2925,38,0.333,9901,149,1721,14047,1355,2330,12232,4.50,15.69,6546,12.8278,67221,6917,125290,733.8,-0.0,935452,24.222,2631002.543,3.42e-14,0.00034,20.30,27876,29.675,1.336,26.460,1.878,29.676,5669,3703,6545,0.2658,1.000,1.645,1.982,1.598,0.988,1.709,11475.302,10461.982,11287.004,11360.690,13251.472,3598.653,1097.029,6726.770,0.531,0.659,0.536,0.483,0.450,0.500,4816,1343,0.6247,1.0000,1.0000,0.0760,1.0000,1.0000,0.7796,1.1035,0.9740,0.0283,0.0177,0.0305,0.0000,0.4606,0.9382,0.0748,0.6367,0.9467,0.00249
25000,15857,8542,32908,63018,48491,29824,286,27135,4446,23,445722,4573610,31190.847,15813.442,0.3961,4778.712,0.086,0.703,0.136,0.075,0.566,0.319,1566,0.0689,0.6625,0.124,15.7,44.0,65.7,30.08,0.78,12.88,0.50,15.93,6.81,1.520,0.301,0.028,0.029,13.484,0.484,0.0025,273,1007,5311,24328,3144,39,0.304,9892,386,1842,13629,1240,1777,12840,4.16,15.27,6100,11.5214,67391,7540,121107,632.6,-0.0,942892,24.814,2631002.543,4.25e-15,0.00008,32.07,27403,31.578,1.352,28.216,2.010,31.579,4858,3979,7020,0.2755,1.000,1.734,1.988,1.683,0.987,1.708,11228.896,11090.127,11171.207,11089.172,13709.180,4045.316,751.558,6237.856,0.523,0.693,0.548,0.478,0.441,0.488,5489,1364,0.6398,1.0000,1.0000,0.0697,1.0000,1.0000,0.8140,1.1104,0.9665,0.0282,0.0192,0.0307,0.0000,0.7074,0.9404,0.2658,0.6475,0.9625,0.00249
