step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right
11000,9705,3107,44679,69201,54477,23663,859,32658,2537,3,278972,3016616,24219.150,8957.237,0.2949,3814.767,0.052,0.822,0.040,0.086,0.385,0.438,1000,0.1743,0.8206,0.215,11.5,20.8,53.7,22.85,0.56,6.60,1.12,14.58,6.86,1.206,0.255,0.037,0.041,6.804,0.462,0.0036,158,486,888,18048,160,19,0.635,4343,166,1399,8140,686,1751,7268,17.75,29.75,6914,12.0395,66782,4202,245852,656.5,-0.0,799269,17.492,2631002.543,1.49e-14,0.00125,16.93,22074,23.247,1.396,21.485,0.366,23.247,3683,3256,2766,0.4331,0.981,1.025,1.824,1.381,0.986,1.233,9816.302,5846.070,11369.978,9659.959,7003.981,3089.365,1059.482,993.622,0.379,0.378,0.406,0.437,0.243,0.350,3876,8199,0.4756,0.9999,0.9992,0.0797,1.0000,1.0000,0.8336,1.2174,0.9856,0.0332,0.0104,0.0230,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,893,0.9999,0.9714,0.8707,0.9983,0.0448,0.0672,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0644,0.1099,0.1051,0.255,0.277,0.110,0.379
12000,10121,2978,44179,66484,52950,21352,953,33323,2062,5,229771,2937265,24116.360,7538.498,0.2850,3445.288,0.045,0.824,0.040,0.092,0.381,0.446,805,0.1619,0.8245,0.216,11.0,20.7,52.1,23.31,0.69,6.57,1.09,14.96,6.95,1.158,0.246,0.051,0.058,6.576,0.466,0.0038,156,501,862,16222,149,18,0.712,4407,168,1057,8896,912,1340,7869,19.00,29.82,8286,13.0147,67008,3954,228600,685.7,-0.0,816964,18.019,2631002.543,2.73e-14,0.00045,31.67,20223,22.649,1.411,20.899,0.339,22.649,3567,3518,3036,0.4673,0.969,1.011,1.717,1.268,0.986,1.227,10395.814,5985.608,10214.422,10227.719,7119.507,2110.000,967.186,1016.024,0.347,0.388,0.408,0.439,0.228,0.323,3735,7622,0.4340,0.9999,0.9990,0.0925,1.0000,1.0000,0.7933,1.1867,0.9900,0.0448,0.0095,0.0252,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,751,0.9992,0.9522,0.8608,0.9988,0.0441,0.0687,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0628,0.1036,0.1020,0.226,0.287,0.103,0.361
13000,11433,3407,48729,77353,62071,27554,1070,34201,2501,3,269171,3333694,26803.904,9703.555,0.2989,4674.319,0.050,0.828,0.039,0.083,0.400,0.439,1210,0.1414,0.8109,0.220,12.0,21.9,54.4,23.82,0.55,6.39,0.88,16.00,6.91,1.191,0.244,0.032,0.038,6.724,0.457,0.0036,156,485,865,15833,73,16,0.740,4969,402,1585,9446,1270,1276,8887,16.50,26.62,5697,11.5278,67054,4297,213517,709.1,-0.0,836110,18.492,2631002.543,1.95e-15,0.00077,10.33,24411,23.495,1.379,21.670,0.447,23.496,4282,4022,3129,0.4232,0.976,1.034,1.812,1.351,0.985,1.238,10216.732,6050.120,14242.783,10061.464,7173.976,2912.953,825.951,1290.331,0.396,0.404,0.400,0.483,0.219,0.320,3736,9783,0.4252,1.0000,0.9996,0.0723,1.0000,1.0000,0.7819,1.1763,1.0029,0.0292,0.0128,0.0217,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,929,0.9997,0.9610,0.8728,0.9986,0.0415,0.0643,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0605,0.0867,0.0848,0.198,0.224,0.081,0.309
14000,8535,2430,39708,56398,43058,15800,890,33193,1797,2,203553,2847897,20998.786,6567.994,0.2888,2894.022,0.044,0.834,0.035,0.087,0.377,0.458,959,0.1780,0.8367,0.220,10.1,16.7,47.0,20.61,0.51,5.49,1.22,13.39,7.01,1.119,0.238,0.034,0.039,6.177,0.455,0.0039,165,530,706,13758,79,15,0.813,3475,219,1079,7237,541,692,7302,22.75,32.43,7221,9.5430,67090,4489,202012,418.3,-0.0,850237,17.827,2631002.543,8.32e-15,0.00024,33.24,17624,20.763,1.352,19.178,0.233,20.763,2020,3822,2693,0.5404,0.974,1.000,1.544,1.239,0.985,1.218,10355.924,5634.473,6948.609,10175.951,6768.249,1812.157,787.351,1074.464,0.332,0.394,0.391,0.380,0.218,0.309,3999,6787,0.5383,0.9998,1.0000,0.0989,1.0000,1.0000,0.8973,1.1973,1.0227,0.0446,0.0118,0.0228,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,827,0.9998,0.9725,0.8888,0.9982,0.0396,0.0638,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0667,0.1033,0.1012,0.273,0.293,0.109,0.407
15000,9945,2901,46853,70838,56271,22825,1160,35085,2164,1,198466,3296236,23743.527,7134.829,0.3003,3410.026,0.047,0.826,0.037,0.090,0.407,0.442,1175,0.1492,0.8609,0.223,11.0,17.3,48.2,20.29,0.47,5.46,1.11,13.24,6.87,1.169,0.237,0.032,0.039,6.290,0.483,0.0038,148,455,711,15330,81,18,0.789,4128,74,1546,8325,470,1278,8197,20.50,28.42,7936,11.2635,67106,3794,193403,622.3,-0.0,859425,17.570,2631002.543,9.03e-15,0.00063,23.67,21976,22.208,1.357,20.497,0.354,22.208,2985,4091,2869,0.4990,0.984,1.000,1.826,1.358,0.987,1.230,11181.629,5918.726,8996.661,11016.091,7140.802,1979.948,787.828,957.027,0.364,0.429,0.412,0.425,0.223,0.372,3770,7316,0.5232,0.9998,0.9995,0.0992,1.0000,1.0000,0.9357,1.2208,0.9958,0.0338,0.0102,0.0258,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,877,0.9999,0.9718,0.8766,0.9972,0.0423,0.0622,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0671,0.0994,0.0980,0.257,0.278,0.124,0.383
16000,10580,2672,44782,65124,51587,19409,933,32905,1610,1,173343,3022161,23997.332,6459.934,0.2897,3320.842,0.043,0.832,0.038,0.087,0.398,0.447,1077,0.1348,0.8456,0.213,11.2,18.5,52.7,22.49,0.58,5.34,1.00,15.56,7.01,1.135,0.228,0.033,0.038,6.164,0.456,0.0038,147,476,686,11734,109,19,0.800,4259,83,1909,8588,732,1505,8343,22.25,30.30,7362,10.7457,67018,3990,186201,728.3,-0.0,868934,16.941,2631002.543,1.26e-14,0.00096,15.34,20103,20.920,1.344,19.208,0.369,20.921,3099,4234,3247,0.4830,0.962,1.006,1.588,1.268,0.983,1.206,10722.152,5860.254,9931.435,10549.200,6837.539,1462.237,751.491,925.365,0.348,0.423,0.398,0.435,0.206,0.268,3548,8769,0.4962,0.9998,0.9998,0.1028,1.0000,1.0000,0.7958,1.1683,1.0230,0.0404,0.0107,0.0229,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,862,0.9999,0.9602,0.8934,0.9984,0.0416,0.0626,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0620,0.0955,0.0939,0.237,0.247,0.090,0.332
17000,11069,2756,45882,68477,53663,21679,916,33841,2012,1,200798,3191247,23437.292,7658.080,0.3066,3809.990,0.043,0.844,0.033,0.080,0.399,0.447,993,0.1341,0.8498,0.205,10.3,17.0,42.7,19.86,0.35,4.98,1.12,13.42,6.79,1.170,0.229,0.021,0.028,5.773,0.424,0.0038,150,471,721,13539,80,16,0.810,4415,110,1516,9443,605,1299,9165,21.75,28.89,7658,10.9436,67102,4217,178214,573.6,-0.0,878920,17.386,2631002.543,1.77e-16,0.00086,36.12,21698,21.897,1.359,20.089,0.449,21.897,3356,4464,3249,0.4888,0.960,1.001,1.959,1.319,0.982,1.275,10488.395,5912.000,9821.366,10341.046,7084.870,1979.872,702.508,1165.710,0.367,0.409,0.414,0.430,0.215,0.326,3620,8839,0.5157,1.0000,0.9997,0.0977,1.0000,1.0000,0.9978,1.1858,1.0036,0.0190,0.0159,0.0183,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,700,0.9999,0.9720,0.8915,0.9983,0.0390,0.0586,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0627,0.0996,0.0984,0.226,0.293,0.116,0.354
18000,10140,2549,45086,66913,53247,20840,987,33948,1670,4,165464,3010795,23440.320,6411.982,0.2929,3382.484,0.048,0.832,0.037,0.083,0.387,0.458,863,0.1427,0.8563,0.207,10.8,17.0,44.1,20.47,0.49,5.13,1.06,13.79,6.98,1.111,0.231,0.030,0.034,6.017,0.472,0.0038,144,471,772,11846,74,14,0.879,3807,94,1293,8753,603,1089,8448,23.25,30.87,8367,11.8894,67085,3737,169856,632.8,-0.0,888944,17.379,2631002.543,1.70e-14,0.00000,9.52,20415,21.013,1.349,19.357,0.307,21.013,2681,4438,3021,0.5179,0.975,1.000,1.357,1.259,0.986,1.162,10736.003,5535.401,9623.716,10572.124,6626.965,1534.804,707.175,787.519,0.339,0.409,0.396,0.424,0.215,0.332,3773,9643,0.4825,1.0000,1.0000,0.1003,1.0000,1.0000,0.8929,1.2302,1.0057,0.0377,0.0130,0.0222,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,750,0.9999,0.9701,0.8894,0.9981,0.0428,0.0674,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0645,0.1032,0.1014,0.220,0.278,0.100,0.338
19000,9460,2337,43350,63612,50970,19310,952,31359,1329,0,158697,2726115,22786.046,6247.385,0.2754,3515.440,0.043,0.836,0.034,0.088,0.374,0.466,736,0.1497,0.8514,0.213,12.0,19.0,47.9,21.68,0.42,5.48,1.10,14.69,6.97,1.135,0.233,0.025,0.028,5.993,0.423,0.0038,145,456,698,10470,127,12,0.830,3614,541,889,8030,530,1051,7879,25.25,34.63,10128,14.4811,67053,4084,162527,722.1,-0.0,896143,16.340,2631002.543,3.12e-14,0.00014,24.64,19373,19.764,1.331,18.146,0.287,19.765,2980,3802,2678,0.4804,0.980,1.007,1.510,1.301,0.987,1.159,9481.466,5334.943,10777.129,9342.614,6181.743,1497.136,568.845,665.965,0.351,0.393,0.362,0.443,0.181,0.257,3808,10587,0.4588,1.0000,1.0000,0.0914,1.0000,1.0000,0.8608,1.2449,1.0041,0.0234,0.0101,0.0236,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,755,0.9999,0.9789,0.8942,0.9985,0.0396,0.0564,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0615,0.0980,0.0969,0.217,0.289,0.109,0.348
20000,10893,2708,50470,85681,69702,34221,990,33123,2317,1,270547,3196890,27426.355,10225.844,0.2786,5514.561,0.048,0.835,0.039,0.078,0.390,0.451,1064,0.1424,0.8306,0.213,12.0,20.6,49.5,23.10,0.55,5.59,0.82,16.13,6.81,1.167,0.229,0.029,0.033,6.271,0.441,0.0036,142,436,761,12394,101,11,0.771,4368,435,947,9511,1855,1394,7644,23.50,31.47,6286,12.8310,67059,3467,156486,1065.6,-0.0,906725,17.406,2631002.543,4.96e-15,0.00011,20.54,28418,24.259,1.361,22.486,0.412,24.287,4557,3750,2586,0.4702,0.958,1.013,1.955,1.298,0.988,1.197,9761.248,5401.628,16917.871,9622.190,6400.855,3170.097,683.411,857.776,0.395,0.391,0.382,0.531,0.215,0.313,3824,12899,0.4249,1.0000,0.9992,0.0710,1.0000,1.0000,0.7753,1.2502,0.9976,0.0296,0.0110,0.0250,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,697,0.9999,0.9764,0.8773,0.9981,0.0407,0.0581,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0611,0.0818,0.0811,0.172,0.225,0.108,0.251
