step,cause,age,size,n,worn
10000,hunger,450,72,4,0
10000,hunger,450,76,2,0
10000,hunger,450,80,67,4
10000,hunger,450,88,2,0
10000,hunger,450,96,1,0
10000,hunger,450,100,12,0
10000,hunger,450,144,1,0
10000,hunger,500,0,2,0
10000,hunger,500,4,5,0
10000,hunger,500,8,9,0
10000,hunger,500,12,6,0
10000,hunger,500,16,11,0
10000,hunger,500,20,12,0
10000,hunger,500,24,61,1
10000,hunger,500,28,25,0
10000,hunger,500,32,34,1
10000,hunger,500,36,145,8
10000,hunger,500,40,11,1
10000,hunger,500,44,17,1
10000,hunger,500,48,206,9
10000,hunger,500,52,10,2
10000,hunger,500,56,4,0
10000,hunger,500,60,8,1
10000,hunger,500,64,124,9
10000,hunger,500,68,5,0
10000,hunger,500,72,2,0
10000,hunger,500,76,4,0
10000,hunger,500,80,42,1
10000,hunger,500,88,1,0
10000,hunger,500,92,1,0
10000,hunger,500,100,2,1
10000,hunger,500,120,2,1
10000,hunger,550,0,1,0
10000,hunger,550,4,5,0
10000,hunger,550,8,1,0
10000,hunger,550,12,7,0
10000,hunger,550,16,8,0
10000,hunger,550,20,10,0
10000,hunger,550,24,55,1
10000,hunger,550,28,20,1
10000,hunger,550,32,32,2
10000,hunger,550,36,96,5
10000,hunger,550,40,7,1
10000,hunger,550,44,8,0
10000,hunger,550,48,155,11
10000,hunger,550,52,6,0
10000,hunger,550,56,3,0
10000,hunger,550,60,6,0
10000,hunger,550,64,95,4
10000,hunger,550,68,2,0
10000,hunger,550,76,2,0
10000,hunger,550,80,22,2
10000,hunger,550,92,1,0
10000,hunger,550,100,1,1
10000,hunger,550,108,1,0
10000,hunger,600,0,3,0
10000,hunger,600,4,1,0
10000,hunger,600,8,7,0
10000,hunger,600,12,5,0
10000,hunger,600,16,4,0
10000,hunger,600,20,5,0
10000,hunger,600,24,24,2
10000,hunger,600,28,14,1
10000,hunger,600,32,24,3
10000,hunger,600,36,85,4
10000,hunger,600,40,6,0
10000,hunger,600,44,3,0
10000,hunger,600,48,114,12
10000,hunger,600,52,3,1
10000,hunger,600,56,6,0
10000,hunger,600,60,6,0
10000,hunger,600,64,73,4
10000,hunger,600,72,1,0
10000,hunger,600,76,2,0
