step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,101.31,64,24,21,0,19,24,21,0,19,5,6.41,0,0.207,2076,0.14,78.76,6.34,176,6,6,5,8.62,1.25,7.88,9,8,8,36.0,31.651,64,1.151,0.453,8,1.000,0,15.05,12.25,0,0.0688,0.317,0.0000,824,0.3974,1,1
100000,33.37,49,0,14,0,35,0,11,0,20,0,1.00,4,0.330,2059,0.69,117.25,10.70,176,6,6,0,1.00,1.00,1.00,4,7,5,43.0,30.833,31,1.076,0.512,7,1.000,1,48.54,32.00,0,0.0630,0.166,0.0000,1259,0.6924,1,1
100000,35.61,49,0,12,0,37,0,11,0,21,0,1.00,2,0.309,2043,4.61,132.58,1.66,176,6,6,0,1.00,1.00,1.00,8,7,6,23.3,59.163,32,1.113,0.494,7,1.000,1,14.81,-5.50,0,0.0702,0.194,0.0000,1149,0.6703,1,1
100000,47.43,64,1,32,0,31,1,22,0,19,0,1.12,0,0.464,2011,0.00,87.10,74.80,176,6,6,4,1.00,1.25,1.12,7,8,8,34.0,50.335,42,1.103,0.495,8,1.000,1,8.73,3.50,0,0.0672,0.203,0.0000,992,0.5808,1,1
100000,35.91,64,0,17,0,47,0,15,0,20,0,1.00,4,0.418,2000,0.00,120.61,5.11,176,6,6,0,1.00,1.00,1.00,8,8,6,41.7,40.232,35,1.026,0.539,8,1.000,0,37.30,-37.25,0,0.0577,0.125,0.0000,1071,0.6675,0,1
100000,55.30,49,0,13,0,36,0,13,0,36,0,1.00,0,0.235,1983,0.00,118.16,6.86,176,6,6,0,1.00,1.00,1.00,6,7,7,26.8,58.683,49,1.129,0.492,7,1.000,0,24.93,-11.25,0,0.0621,0.203,0.0000,1066,0.5379,1,1
100000,73.33,49,12,10,0,27,12,9,0,27,0,3.96,0,0.123,1974,4.18,81.69,11.50,176,6,6,3,3.86,5.86,3.07,9,7,7,34.1,44.737,48,1.222,0.435,7,1.000,1,13.65,12.00,0,0.0666,0.203,0.0000,918,0.4671,1,1
100000,21.53,49,0,14,0,35,0,8,0,12,0,1.00,6,0.372,1969,0.00,103.46,8.24,176,6,6,0,1.00,1.00,1.00,6,7,4,38.8,23.257,20,1.076,0.512,7,1.000,0,6.37,1.25,0,0.0630,0.166,0.0000,1243,0.8621,1,1
100000,46.66,49,0,13,0,36,0,11,0,31,0,1.00,0,0.236,1966,0.00,122.58,6.91,176,6,6,0,1.00,1.00,1.00,8,7,7,14.7,45.209,42,1.111,0.495,7,1.000,0,25.18,10.25,0,0.0635,0.188,0.0000,1120,0.5856,0,1
100000,50.79,49,0,13,0,36,0,13,0,32,0,1.00,0,0.256,1957,0.00,73.71,14.67,176,6,6,0,1.00,1.00,1.00,6,7,7,41.1,7.728,45,1.129,0.492,7,1.000,0,4.25,4.25,0,0.0621,0.203,0.0000,1058,0.5613,1,1
