step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
170000,8,774,50.99,0.34,10.47,0.05,14.67,0.01,1.11,0.004,0.094,265544.5,105154.6,7,0,4.13,1.08,1.12,6.0224,224.96,73284.7,1.4468,25.0635,13157,19.7135,3155,5.2204,16804.0,101.29,8.0385,0.0,0.0000,1.000,0.3913,1.5415,1.6085
170000,0,9,58.02,0.00,14.78,0.56,14.22,0.00,1.00,0.000,0.005,896.2,208.2,2,9,4.44,1.00,1.00,0.0390,2.44,30945.5,0.0000,0.0110,3227,3.7989,176,0.0000,0.2,94.75,0.0028,0.0,0.0000,1.000,0.3328,0.3368,0.0221
180000,8,739,52.11,0.12,6.91,0.07,19.27,0.01,1.05,0.007,0.094,79755.7,21567.2,3,0,4.19,1.06,1.04,2.0352,329.44,76445.4,0.0179,8.4012,12953,5.9567,4040,2.0991,2978.1,103.58,2.0007,0.0,0.0000,1.000,0.4051,1.9807,0.4737
180000,0,6,24.83,0.00,8.67,0.00,4.00,0.00,1.00,0.000,0.001,273.1,59.3,1,6,3.17,1.00,1.00,0.0221,3.01,26070.6,0.0000,0.0063,3431,1.5260,279,0.0000,0.0,86.50,0.0012,0.0,0.0000,1.000,0.2842,0.5639,0.0064
190000,8,642,65.38,0.01,12.41,0.00,20.26,0.00,1.00,0.000,0.106,226731.4,63687.4,5,0,4.86,1.00,1.00,5.0848,256.92,67366.0,6.5025,20.8712,12283,15.4454,2833,5.2808,16997.4,100.03,7.6239,0.0,0.0000,1.000,0.3873,1.4572,1.2398
190000,0,9,60.85,0.00,7.78,0.00,22.78,0.00,1.00,0.000,0.005,1860.2,476.6,2,9,4.56,1.00,1.00,0.0519,3.01,35818.8,0.0000,0.0303,4101,4.6197,495,0.0000,0.3,99.90,0.0087,0.0,0.0000,1.000,0.3572,0.7542,0.0278
200000,8,514,69.93,0.31,10.44,0.24,24.85,0.05,1.08,0.016,0.091,80755.4,15628.6,3,0,5.21,1.05,1.11,1.9052,100.86,68445.4,0.6110,8.5850,12612,5.8972,3886,1.9623,3062.7,101.96,2.3823,0.0,0.0000,1.000,0.4018,1.9707,0.3916
200000,0,9,47.27,0.00,8.78,0.00,15.67,0.00,1.00,0.000,0.004,477.0,57.7,1,8,4.00,1.00,1.00,0.0097,0.67,32669.2,0.0000,0.0073,3772,1.7417,455,0.0000,0.0,93.43,0.0014,0.0,0.0000,1.000,0.3062,0.8169,0.0034
210000,8,573,62.72,0.00,12.16,0.05,19.18,0.00,1.00,0.000,0.093,209185.1,64295.6,5,0,4.85,1.00,1.00,4.6032,161.86,60776.6,9.7124,19.3853,12119,13.8860,3047,4.9085,13916.6,101.26,8.3960,0.0,0.0000,1.000,0.4038,1.5636,1.1148
210000,0,2,77.00,0.00,13.50,0.00,25.00,0.00,1.00,0.000,0.001,1967.2,260.6,1,2,3.50,1.00,1.00,0.0407,0.17,44353.8,0.0000,0.0216,4265,4.9155,402,0.0000,0.3,96.42,0.0076,0.0,0.0000,1.000,0.3114,0.5860,0.0197
220000,8,631,66.94,0.00,11.39,0.00,22.08,0.00,1.00,0.000,0.109,83428.5,16898.9,3,0,5.08,1.00,1.00,2.1342,132.44,65870.2,0.3626,8.4518,12110,5.3737,3473,1.7198,2982.1,101.68,2.3603,0.0,0.0000,1.000,0.4006,1.7931,0.3577
220000,0,1,242.00,0.00,21.00,0.00,100.00,0.00,1.00,0.000,0.002,359.3,101.0,1,1,16.00,1.00,1.00,0.0235,0.49,37129.0,0.0000,0.0082,4274,1.9840,430,0.0000,0.0,95.25,0.0015,0.0,0.0000,1.000,0.3208,0.6402,0.0030
230000,8,711,49.96,0.00,10.70,0.00,14.28,0.00,1.00,0.000,0.091,227015.6,46988.9,3,0,4.43,1.00,1.00,5.2960,272.93,57271.6,5.9798,21.4571,12244,15.2346,2890,3.8483,11853.3,97.39,10.4320,0.0,0.0000,1.000,0.3660,1.4198,1.0391
230000,0,7,45.14,0.00,9.86,0.00,12.71,0.00,1.00,0.000,0.002,572.4,49.5,2,6,4.14,1.00,1.00,0.0217,17.49,43413.2,0.0000,0.0202,4140,4.4353,482,0.0000,0.1,107.73,0.0038,0.0,0.0000,1.000,0.4205,0.7600,0.0037
