step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
22000,1223,0.3794,11042.1,448,419,481,323,61,77,101,35429,35220,33426,0,0,0,1.000,1.000,1.000,343,126,1,0.3751,0.0905,0.7512,0.0620
23000,1298,0.3582,10325.1,412,486,474,338,82,88,129,34702,34246,32615,0,0,0,1.000,1.000,1.000,382,107,1,0.4189,0.0841,0.7631,0.0538
24000,1256,0.4140,10307.7,405,485,473,298,81,82,112,33450,32690,31028,0,0,0,1.000,1.000,1.000,373,87,4,0.5051,0.0736,0.7950,0.0450
25000,1380,0.3688,10416.1,394,469,512,399,95,92,118,32019,31088,29518,0,0,0,1.000,1.000,1.000,364,121,8,0.5573,0.0640,0.8038,0.0402
26000,1371,0.4245,10475.5,422,505,513,353,88,101,114,31255,30151,28708,0,0,0,1.000,1.000,1.000,361,114,4,0.5915,0.0647,0.8069,0.0373
27000,1383,0.4273,11242.6,446,550,507,326,82,90,92,31192,29992,28299,0,0,0,1.000,1.000,1.000,446,133,4,0.5766,0.0634,0.8046,0.0380
28000,1285,0.4381,10372.3,468,414,486,385,70,80,115,31504,30657,28924,0,0,0,1.000,1.000,1.000,331,123,3,0.5616,0.0628,0.7933,0.0375
29000,965,0.4238,8329.4,483,449,310,206,76,67,79,31625,30694,28954,0,0,0,1.000,1.000,1.000,350,75,2,0.6058,0.0568,0.8228,0.0352
30000,1062,0.4510,9365.1,465,379,344,339,59,56,98,33397,32337,30258,0,0,0,1.000,1.000,1.000,309,93,2,0.4601,0.0710,0.7626,0.0420
31000,678,0.4735,6215.5,574,305,190,183,36,50,70,35079,34353,32184,0,0,0,1.000,1.000,1.000,233,39,2,0.4357,0.0674,0.7904,0.0436
32000,462,0.4654,4714.9,694,197,147,118,28,40,54,35571,35271,32894,0,0,0,1.000,1.000,1.000,139,33,3,0.3519,0.0817,0.7546,0.0433
33000,344,0.4506,4100.8,747,178,90,76,22,34,46,36129,36221,33610,0,0,0,1.000,1.000,1.000,152,29,0,0.2369,0.1065,0.7149,0.0449
34000,237,0.4895,3009.5,948,119,73,45,15,35,29,37004,37310,34612,0,0,0,1.000,1.000,1.000,88,15,0,0.1784,0.1465,0.6704,0.0475
35000,287,0.4983,3531.9,819,185,71,31,14,36,23,37581,38108,35343,0,0,0,1.000,1.000,1.000,147,17,2,0.1458,0.1531,0.6010,0.0529
36000,251,0.4861,3315.6,859,162,57,32,8,36,22,38321,38906,36133,0,0,0,1.000,1.000,1.000,122,13,0,0.1404,0.1549,0.5773,0.0578
37000,199,0.4523,2938.2,1020,143,41,15,7,22,11,38050,38763,36013,0,0,0,1.000,1.000,1.000,128,9,0,0.2076,0.1173,0.7128,0.0554
