step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,2733,0.00,67.18,180.13,949,2,1,0,1.00,1.00,1.00,4,4,4,40.4,38.140,11,2.000,0.000,4,1.000,5,52.28,32.75,0,0.0930,0.011,0.5144
100000,20.00,16,0,6,0,4,0,1.00,2,0.300,2727,0.00,81.97,161.19,949,0,0,0,1.00,1.00,1.00,4,4,3,25.6,55.419,10,2.000,0.000,4,1.000,6,60.10,47.75,0,0.0930,0.011,0.5678
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2714,0.00,56.51,92.22,1239,2,0,0,1.00,1.00,1.00,2,4,4,44.3,17.359,12,2.000,0.000,4,1.000,4,57.06,-20.50,0,0.0971,0.043,0.4545
100000,24.00,16,0,7,0,5,0,1.00,0,0.292,2697,0.06,70.44,92.98,949,2,0,0,1.00,1.00,1.00,4,4,4,44.0,33.035,12,2.000,0.000,4,1.000,4,66.54,44.75,0,0.0930,0.011,0.5729
100000,24.00,16,0,10,0,2,0,1.00,0,0.417,2668,0.00,59.33,169.32,949,2,0,0,1.00,1.00,1.00,4,4,4,39.7,30.944,12,2.000,0.000,4,1.000,4,52.29,2.00,0,0.0925,0.012,0.4502
100000,18.00,16,0,6,0,3,0,1.00,2,0.333,2661,0.53,50.08,155.03,949,0,0,0,1.00,1.00,1.00,4,4,3,21.8,27.216,9,2.000,0.000,4,1.000,3,2.85,2.75,0,0.0925,0.012,0.4651
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2625,0.01,40.41,164.23,949,0,2,0,1.00,1.00,1.00,4,4,4,15.8,56.640,12,2.000,0.000,4,1.000,1,70.40,36.00,0,0.0925,0.012,0.4674
100000,12.00,16,0,6,0,0,0,1.00,4,0.500,2625,0.00,39.61,89.55,949,0,0,0,1.00,1.00,1.00,1,2,4,23.5,18.173,6,2.000,0.000,4,1.000,4,23.90,-14.50,0,0.0930,0.011,0.6067
100000,28.00,16,0,7,0,7,0,1.00,0,0.250,2546,1.99,75.35,111.40,949,1,0,0,1.00,1.00,1.00,4,4,4,32.9,59.002,14,2.000,0.000,4,1.000,2,36.27,-22.75,0,0.0938,0.010,0.5192
100000,26.00,16,0,9,0,4,0,1.00,0,0.346,2534,4.47,52.10,88.10,949,1,0,0,1.00,1.00,1.00,2,4,4,34.3,10.834,13,2.000,0.000,4,1.000,3,45.55,-45.25,0,0.0927,0.003,0.5470
100000,20.00,16,0,9,0,1,0,1.00,0,0.450,2523,0.00,50.04,171.94,949,0,0,0,1.00,1.00,1.00,2,4,4,27.2,36.690,10,2.000,0.000,4,1.000,2,32.56,-15.75,0,0.0925,0.012,0.5235
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2513,-0.00,77.58,107.89,949,1,1,0,1.00,1.00,1.00,1,4,4,34.9,52.596,12,2.000,0.000,4,1.000,4,35.48,-34.25,0,0.0930,0.014,0.4802
100000,22.00,16,0,6,0,5,0,1.00,0,0.273,2499,0.20,64.02,86.28,949,0,0,0,1.00,1.00,1.00,4,4,4,18.3,41.089,11,2.000,0.000,4,1.000,3,25.89,25.50,0,0.0930,0.011,0.5115
100000,24.00,16,0,7,0,5,0,1.00,0,0.292,2474,0.00,80.19,121.01,949,1,0,0,1.00,1.00,1.00,2,4,4,31.1,68.449,12,2.000,0.000,4,1.000,4,59.03,-34.00,0,0.0930,0.013,0.5635
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2470,0.00,74.13,173.25,949,1,0,0,1.00,1.00,1.00,4,4,4,34.6,70.295,14,2.000,0.000,4,1.000,2,61.39,39.50,0,0.0930,0.014,0.5140
100000,2.35,24,0,0,0,2,0,1.00,24,0.000,2465,0.57,98.64,4.48,737,2,2,0,1.00,1.00,1.00,2,2,2,42.0,9.402,2,1.173,0.462,8,1.000,3,9.02,-6.50,0,0.0000,0.000,0.0000
100000,22.00,16,0,8,0,3,0,1.00,0,0.364,2437,0.00,59.47,138.39,949,0,0,0,1.00,1.00,1.00,3,4,4,25.2,35.341,11,2.000,0.000,4,1.000,4,76.13,-47.50,0,0.0925,0.012,0.4623
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2425,2.18,59.90,150.57,949,1,0,0,1.00,1.00,1.00,2,4,4,35.1,46.685,13,2.000,0.000,4,1.000,3,75.60,-46.00,0,0.0925,0.017,0.5442
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,2419,0.16,60.97,83.07,949,2,0,0,1.00,1.00,1.00,2,4,4,41.1,26.188,14,2.000,0.000,4,1.000,2,52.94,-52.75,0,0.0930,0.014,0.5231
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2400,0.00,65.83,140.77,949,0,1,0,1.00,1.00,1.00,1,4,4,18.5,65.460,16,2.000,0.000,4,1.000,0,43.72,-32.50,0,0.0930,0.014,0.5080
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2364,1.27,45.10,136.11,949,1,0,0,1.00,1.00,1.00,2,4,4,38.6,27.664,12,2.000,0.000,4,1.000,4,55.00,12.75,0,0.0925,0.012,0.4323
100000,26.00,16,0,6,0,7,0,1.00,0,0.231,2364,1.90,113.64,63.94,949,0,2,0,1.00,1.00,1.00,2,4,4,21.8,65.006,13,2.000,0.000,4,1.000,3,59.26,59.00,0,0.0938,0.010,0.4654
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2360,0.00,55.64,79.25,949,0,0,0,1.00,1.00,1.00,2,4,4,16.2,22.311,16,2.000,0.000,4,1.000,0,18.61,9.50,0,0.0930,0.014,0.5212
100000,30.00,16,0,9,0,6,0,1.00,0,0.300,2350,0.00,45.65,102.50,949,0,0,0,1.00,1.00,1.00,2,4,4,25.6,0.643,15,2.000,0.000,4,1.000,1,23.16,22.00,0,0.0930,0.014,0.5270
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2323,0.15,70.46,123.06,949,1,1,0,1.00,1.00,1.00,2,4,4,37.3,49.182,14,2.000,0.000,4,1.000,2,43.85,5.50,0,0.0930,0.014,0.4098
100000,22.00,16,0,5,0,6,0,1.00,0,0.227,2323,0.00,86.04,52.35,949,1,0,0,1.00,1.00,1.00,2,4,4,38.4,52.275,11,2.000,0.000,4,1.000,5,28.75,7.50,0,0.0920,0.009,0.5448
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,2308,0.54,86.10,52.81,949,0,2,0,1.00,1.00,1.00,4,4,4,26.4,51.154,15,2.000,0.000,4,1.000,1,44.63,43.25,0,0.0938,0.010,0.4726
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2305,0.97,58.49,113.41,949,0,0,0,1.00,1.00,1.00,2,4,4,26.9,40.737,11,2.000,0.000,4,1.000,2,11.56,7.25,0,0.0925,0.012,0.5148
100000,30.00,16,0,12,0,3,0,1.00,0,0.400,2302,1.90,56.57,183.10,949,0,0,0,1.00,1.00,1.00,4,4,4,19.0,50.332,15,2.000,0.000,4,1.000,0,64.37,-31.75,0,0.0925,0.012,0.4288
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2299,0.00,60.12,76.47,949,0,2,0,1.00,1.00,1.00,2,4,4,20.7,22.238,12,2.000,0.000,4,1.000,2,36.69,-8.25,0,0.0930,0.014,0.5326
100000,22.00,16,0,9,0,2,0,1.00,0,0.409,2295,0.40,69.01,133.75,949,1,0,0,1.00,1.00,1.00,1,4,4,38.9,50.882,11,2.000,0.000,4,1.000,5,44.24,36.50,0,0.0925,0.012,0.5128
100000,24.00,16,0,8,0,4,0,1.00,0,0.333,2284,0.00,59.05,129.58,949,2,0,0,1.00,1.00,1.00,3,4,4,49.8,13.373,12,2.000,0.000,4,1.000,0,25.51,25.50,0,0.0930,0.013,0.5957
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2281,0.00,47.07,97.26,949,0,0,0,1.00,1.00,1.00,2,4,4,27.3,3.956,14,2.000,0.000,4,1.000,2,25.41,-24.50,0,0.0932,0.007,0.5234
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2273,3.28,86.33,155.23,949,1,2,0,1.00,1.00,1.00,4,4,4,35.9,91.399,13,2.000,0.000,4,1.000,1,56.98,-29.50,0,0.0930,0.014,0.4221
100000,22.00,16,0,9,0,2,0,1.00,0,0.409,2222,0.00,44.43,109.37,949,0,1,0,1.00,1.00,1.00,3,4,4,21.1,16.152,11,2.000,0.000,4,1.000,1,52.23,48.25,0,0.0925,0.012,0.4670
