step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
61000,1369,0.3886,7068.7,177,724,297,348,30,66,25,24456,32003,31791,0,0,0,0.951,0.933,0.897,622,253,268,0.2903,0.1182,0.7171,0.0347
62000,1252,0.4297,6910.2,198,253,439,560,54,35,73,26112,28296,32538,0,0,0,0.924,0.878,0.908,206,318,455,0.3257,0.1063,0.7042,0.0348
63000,1956,0.3753,10168.7,166,580,698,678,68,55,45,27840,27992,27625,0,0,0,0.910,0.965,0.885,469,626,508,0.2811,0.1346,0.6899,0.0355
64000,1599,0.4228,10086.4,207,707,367,525,50,72,47,24039,31713,29862,0,0,0,0.927,0.928,0.938,605,302,449,0.2526,0.1517,0.7076,0.0385
65000,1877,0.3964,10754.5,194,476,887,514,72,88,80,25511,26574,32676,0,0,0,0.923,0.920,0.952,407,725,466,0.2856,0.1465,0.6603,0.0394
66000,1649,0.4300,10282.7,212,506,592,551,59,67,65,28143,27229,27827,0,0,0,0.936,0.963,0.928,434,552,465,0.3058,0.1269,0.6785,0.0353
67000,1359,0.4003,9467.4,225,648,293,418,52,49,33,25003,30082,28791,0,0,0,0.929,0.787,0.886,551,180,325,0.2615,0.1571,0.7170,0.0368
68000,1282,0.4899,9412.5,258,402,583,297,62,81,67,26733,28441,33074,0,0,0,0.916,0.947,0.937,335,513,258,0.2721,0.1496,0.6666,0.0381
69000,1196,0.3729,8880.7,219,305,371,520,38,50,64,29379,29369,29288,0,0,0,0.933,0.966,0.861,260,344,406,0.2984,0.1377,0.6772,0.0381
70000,981,0.4057,7967.7,236,526,232,223,55,48,24,28769,31226,31869,0,0,0,0.966,0.839,0.909,475,162,184,0.2567,0.1639,0.7095,0.0386
71000,1088,0.4421,9421.1,259,364,507,217,65,68,60,28602,32885,35443,0,0,0,0.888,0.962,0.901,298,465,176,0.2142,0.1932,0.6631,0.0464
72000,543,0.4807,5844.1,355,220,141,182,30,27,60,31075,32154,35016,0,0,0,0.935,0.901,0.868,189,113,131,0.2991,0.1252,0.7078,0.0430
73000,400,0.4550,4089.1,304,238,119,43,21,34,18,31311,33119,37038,0,0,0,0.968,0.739,0.799,225,53,29,0.2358,0.1769,0.7416,0.0437
74000,487,0.4579,4408.3,322,347,114,26,23,52,23,29627,36265,39013,0,0,0,0.875,0.950,0.796,259,101,16,0.1540,0.2268,0.6933,0.0479
75000,243,0.4650,2630.3,393,145,68,30,12,27,19,31489,37124,40059,0,0,0,0.920,0.800,0.902,121,42,25,0.1213,0.2801,0.6298,0.0481
