step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
6000,10,2,3560,625.4550,658.90,9515.80,9.23,258,31.84,13.739,5.121
6000,20,0,4117,843.4353,657.34,65.05,46.73,173,32.06,13.339,4.664
6000,20,1,3232,1687.2143,1224.56,1497.08,22.85,314,32.18,13.350,4.561
6000,20,2,1096,145.2546,95.40,1945.47,-1.81,60,28.91,11.872,5.814
6000,30,0,6803,1258.6239,670.26,83.39,20.91,401,26.28,9.764,6.046
6000,30,1,2239,856.0731,299.23,963.17,30.09,297,29.19,10.972,4.803
6000,30,2,232,57.6735,23.82,262.11,52.56,26,26.23,9.310,5.679
6000,40,0,6702,770.0120,410.54,59.99,9.68,332,19.73,5.998,7.780
6000,40,1,1218,261.7374,90.51,491.93,34.14,102,23.53,7.259,5.900
6000,40,2,250,75.3440,23.41,308.00,48.22,31,23.52,7.523,6.193
6000,50,0,5119,272.2262,139.42,12.06,-1.74,91,11.02,2.231,10.966
6000,50,1,586,64.3827,21.35,159.41,32.41,36,17.46,3.871,7.466
6000,50,2,11,0.0004,0.00,15.79,26.98,2,20.16,4.457,5.758
6000,60,0,3853,64.2157,60.80,0.74,-9.78,9,2.19,0.214,15.122
6000,60,1,2,2.2696,0.67,0.38,-1.86,0,10.59,0.797,9.345
6000,70,0,4656,11.1678,57.05,0.13,-14.81,1,-5.58,0.000,20.846
6000,80,0,3564,0.0496,14.46,0.05,-23.14,0,-12.09,0.000,27.086
7000,-60,0,5472,842.8233,454.93,93.66,24.57,315,17.01,3.843,7.810
7000,-60,1,2260,486.6264,127.74,513.32,17.88,198,14.92,3.043,8.715
7000,-60,2,2,0.0536,0.00,2.16,23.28,0,18.71,3.857,6.399
7000,-50,0,7191,791.2760,427.78,92.39,25.90,341,24.33,7.773,5.746
7000,-50,1,1503,240.5199,112.84,446.57,43.65,91,23.88,7.650,6.075
7000,-50,2,4,0.0002,0.00,6.10,24.40,0,21.95,5.456,5.326
7000,-40,0,6356,467.5387,361.09,60.83,34.56,140,31.46,12.134,4.078
7000,-40,1,1721,179.0884,127.49,622.07,49.38,73,30.16,11.615,4.672
7000,-40,2,4,0.0326,0.00,4.45,15.99,0,30.10,10.426,3.444
7000,-30,0,4308,519.7175,381.75,85.33,39.33,84,35.67,15.097,3.392
7000,-30,1,3196,548.6859,339.66,1502.35,50.72,91,35.06,14.918,3.716
7000,-30,2,673,173.9815,72.73,978.59,55.81,77,36.25,15.601,3.379
7000,-20,0,1810,264.9714,259.62,39.88,33.65,6,38.19,16.995,3.078
7000,-20,1,2430,657.3921,549.79,1004.07,45.21,20,37.58,16.702,3.269
7000,-20,2,3979,552.6054,292.86,11418.69,55.45,356,37.00,16.418,3.497
7000,-10,0,1812,274.3150,221.05,23.48,38.98,5,38.96,17.599,3.006
7000,-10,1,2037,806.4051,874.37,890.98,38.81,1,38.53,17.362,3.080
7000,-10,2,4375,488.7728,292.57,15984.82,55.00,383,36.54,16.293,3.739
7000,0,0,1847,400.1458,339.08,31.29,31.30,11,37.43,16.492,3.232
7000,0,1,1771,889.1876,961.93,872.67,30.40,8,37.13,16.351,3.284
7000,0,2,4749,793.9959,633.53,15205.95,49.37,361,34.30,14.881,4.272
7000,10,0,3063,569.7561,406.51,50.87,21.87,44,32.88,13.453,4.121
7000,10,1,2824,1381.8619,866.93,1429.24,22.76,178,32.51,13.367,4.297
7000,10,2,3558,508.9369,260.71,9544.06,51.63,338,28.61,11.660,5.947
7000,20,0,4123,408.7503,131.44,65.36,19.34,148,24.94,8.969,6.413
7000,20,1,3213,736.7594,226.32,1490.29,29.33,285,25.31,9.205,6.311
7000,20,2,1109,150.7913,65.55,1963.81,46.94,109,22.96,8.383,7.477
7000,30,0,6808,529.9126,328.28,83.18,18.72,172,16.75,4.776,9.031
7000,30,1,2227,363.5890,197.78,961.04,16.94,139,19.68,5.762,7.542
7000,30,2,239,51.4215,34.52,270.23,3.66,14,15.60,3.897,9.021
7000,40,0,6707,317.7871,241.03,59.89,9.76,63,8.01,1.468,12.527
7000,40,1,1211,218.1454,169.24,489.40,2.21,55,11.40,1.982,10.279
7000,40,2,252,44.8092,33.19,310.29,-1.07,5,11.70,2.175,10.342
7000,50,0,5122,62.3027,97.07,12.13,-0.64,9,-2.49,0.094,18.859
7000,50,1,583,42.4503,19.00,157.23,-6.64,16,3.79,0.228,13.798
7000,50,2,11,0.0095,0.00,15.65,1.49,0,9.27,0.577,9.943
7000,60,0,3853,3.7855,38.86,0.71,-14.45,1,-13.05,0.000,28.077
7000,60,1,2,0.0772,0.00,0.37,0.51,0,-0.12,0.000,15.652
7000,70,0,4656,0.0256,34.58,0.12,-26.61,0,-22.00,0.000,36.998
7000,80,0,3564,0.0000,8.76,0.05,-30.74,0,-28.65,0.000,43.646
8000,-60,0,5440,654.5714,289.13,91.95,25.52,177,29.31,9.962,3.895
8000,-60,1,2292,469.3036,214.20,534.19,25.03,181,27.60,9.007,4.358
8000,-60,2,2,0.0001,0.00,2.23,4.04,0,27.10,8.339,3.934
8000,-50,0,7184,686.5218,498.34,91.78,33.38,114,34.32,13.578,3.160
8000,-50,1,1510,283.2075,127.37,453.18,5.09,121,33.04,12.957,3.555
8000,-50,2,4,0.0002,0.00,6.24,5.54,0,29.14,9.580,3.447
8000,-40,0,6359,655.0706,673.63,60.20,33.88,77,38.72,16.809,2.528
8000,-40,1,1718,268.2179,165.26,619.04,11.13,42,36.80,15.773,3.071
8000,-40,2,4,0.0000,0.00,4.48,60.62,0,36.65,14.500,2.112
8000,-30,0,4310,761.0413,748.92,84.74,33.10,43,40.50,18.324,2.420
8000,-30,1,3202,814.5039,748.58,1499.72,21.11,39,39.18,17.605,2.803
8000,-30,2,665,142.2668,123.11,963.89,13.60,18,39.46,17.697,2.660
8000,-20,0,1817,391.3817,449.84,40.08,23.25,3,39.95,18.210,2.676
8000,-20,1,2422,1032.4849,1112.01,995.65,35.50,6,39.78,18.097,2.762
8000,-20,2,3980,542.4723,403.91,11361.27,18.38,180,38.58,17.414,3.080
8000,-10,0,1811,362.0227,421.42,23.12,10.20,9,37.59,16.685,3.155
8000,-10,1,2042,1097.0624,1345.80,892.09,39.69,6,38.15,16.985,3.046
8000,-10,2,4371,567.9288,363.50,15933.98,15.41,478,35.62,15.622,3.814
8000,0,0,1847,434.2744,491.97,31.19,10.30,21,33.63,14.046,3.937
8000,0,1,1764,866.3342,726.02,867.33,36.78,122,34.39,14.446,3.753
8000,0,2,4756,971.2769,430.37,15229.93,12.01,591,30.83,12.640,4.961
8000,10,0,3064,435.0013,327.16,50.81,8.16,38,26.84,9.935,5.623
8000,10,1,2799,660.3065,238.99,1412.43,25.65,157,27.37,10.207,5.507
8000,10,2,3582,356.9559,158.70,9583.13,4.59,247,23.08,8.450,7.378
8000,20,0,4128,212.2440,171.43,65.50,-1.33,57,16.85,5.032,9.106
8000,20,1,3207,391.3365,271.02,1492.32,4.59,108,17.76,5.313,8.668
8000,20,2,1110,133.8184,86.81,1963.96,5.30,84,16.03,4.823,9.679
8000,30,0,6820,426.0854,421.15,83.16,-6.42,84,7.20,1.402,13.151
8000,30,1,2223,312.2688,172.04,965.10,-1.71,93,10.61,2.022,11.055
8000,30,2,231,46.2446,41.14,259.78,-13.98,3,5.25,0.661,13.878
8000,40,0,6720,187.7124,225.70,59.72,-14.85,48,-2.75,0.067,19.049
8000,40,1,1208,137.9040,91.78,488.42,-10.10,14,0.89,0.109,16.026
8000,40,2,242,58.9741,59.05,295.29,-13.99,0,1.13,0.086,16.017
8000,50,0,5130,11.0319,65.00,12.44,-24.31,4,-13.99,0.000,29.021
8000,50,1,575,7.1164,13.62,150.09,-19.87,2,-7.49,0.000,22.580
8000,50,2,11,0.0014,0.00,15.19,-5.52,0,0.47,0.000,15.197
8000,60,0,3853,0.0297,22.81,0.67,-30.16,0,-24.30,0.000,39.302
8000,60,1,2,0.0000,0.00,0.35,-17.03,0,-9.33,0.000,24.334
8000,70,0,4656,0.0000,20.95,0.12,-31.61,0,-30.20,0.000,45.202
8000,80,0,3564,0.0000,5.31,0.04,-30.78,0,-30.77,0.000,45.767
9000,-60,0,5409,767.8531,673.37,90.07,54.03,63,37.38,14.844,2.086
9000,-60,1,2323,956.2990,473.34,557.19,53.79,304,35.98,13.852,2.320
9000,-60,2,2,0.0027,0.00,2.34,69.17,0,33.89,12.108,2.348
9000,-50,0,7185,928.3687,963.82,91.27,56.82,40,40.91,17.871,1.908
9000,-50,1,1509,385.2036,322.86,457.61,72.98,42,39.48,17.008,2.222
9000,-50,2,4,0.0001,0.00,6.44,71.50,2,35.26,13.132,2.160
9000,-40,0,6375,875.7355,1052.98,59.73,60.24,20,43.61,20.168,1.734
9000,-40,1,1704,388.6886,409.38,612.74,72.40,19,41.48,18.874,2.218
9000,-40,2,2,0.0000,0.00,2.47,21.12,0,39.11,15.993,1.620
9000,-30,0,4321,1027.5012,1205.22,84.53,59.68,24,43.69,20.518,1.914
9000,-30,1,3212,1219.4632,1373.73,1500.30,63.46,33,42.08,19.596,2.322
