step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
4000,-50,0,7183,192.5669,349.67,94.51,3.24,46,-4.82,0.000,20.255,0.4362,10.990
4000,-50,1,1511,92.6429,141.96,448.00,15.77,8,-5.38,0.000,20.784,0.7976,18.233
4000,-50,2,4,0.1102,0.00,6.21,12.12,0,0.40,0.000,15.037,0.9853,31.408
4000,-40,0,6354,517.8283,514.62,61.65,17.35,182,6.76,0.742,12.573,0.4062,33.092
4000,-40,1,1725,282.1361,231.15,618.41,29.81,71,5.27,0.584,13.641,0.7063,48.126
4000,-40,2,2,0.1775,0.11,2.32,-2.46,0,8.90,0.334,9.875,0.9999,118.919
4000,-30,0,4331,554.9461,346.69,87.40,27.66,211,15.97,3.945,8.735,0.4468,86.388
4000,-30,1,3222,519.0010,296.79,1506.64,36.69,243,15.94,4.156,9.002,0.6758,133.916
4000,-30,2,624,150.0431,74.55,891.71,45.18,94,18.77,5.294,7.818,0.9041,219.027
4000,-20,0,1814,306.6949,166.44,41.01,42.86,77,24.94,8.596,6.025,0.3762,166.930
4000,-20,1,2491,402.3603,225.68,1056.57,38.95,103,24.01,8.214,6.375,0.5701,247.385
4000,-20,2,3914,773.4615,395.52,11237.62,44.79,515,23.74,8.220,6.634,0.9108,377.856
4000,-10,0,1815,410.2853,278.19,23.82,60.00,19,32.79,13.429,4.177,0.3281,313.832
4000,-10,1,2045,548.0348,320.92,909.99,44.53,74,32.15,13.002,4.259,0.4615,461.942
4000,-10,2,4364,804.6671,439.10,15984.44,51.18,492,29.83,11.936,5.171,0.8682,676.697
4000,0,0,1828,408.6871,377.80,30.58,61.86,6,38.74,17.349,2.968,0.2232,398.687
4000,0,1,1746,763.5005,712.49,845.25,44.98,28,37.98,16.774,3.021,0.3681,667.895
4000,0,2,4793,976.4325,712.70,15287.01,55.31,352,35.05,15.328,4.062,0.6920,911.250
4000,10,0,3047,577.1157,690.33,49.58,57.52,9,41.92,19.570,2.427,0.1496,375.341
4000,10,1,2769,1323.1708,1563.47,1389.63,42.70,31,40.97,18.879,2.549,0.2824,704.722
4000,10,2,3629,562.8337,416.99,9638.93,56.89,217,35.87,16.130,4.106,0.5666,886.935
4000,20,0,4099,677.0507,882.94,65.06,59.97,24,40.96,19.086,2.782,0.1108,261.676
4000,20,1,3238,1454.2739,1755.39,1506.65,50.93,66,40.59,18.793,2.788,0.2774,659.562
4000,20,2,1108,310.8053,226.59,1972.49,43.59,83,36.28,16.336,3.979,0.4399,746.784
4000,30,0,6820,1082.8653,1344.54,82.81,54.02,52,39.34,17.760,2.928,0.1287,270.888
4000,30,1,2231,1107.8255,1352.98,958.38,45.91,26,41.43,18.904,2.270,0.2722,603.172
4000,30,2,223,132.6478,141.84,248.16,57.93,0,40.79,18.424,2.403,0.4304,785.170
4000,40,0,6701,712.3105,817.38,62.41,50.95,24,36.92,15.683,3.056,0.1253,194.775
4000,40,1,1237,652.3306,587.63,495.89,45.00,35,40.34,17.531,2.016,0.3931,624.614
4000,40,2,232,149.4056,157.15,280.83,51.67,6,39.76,17.382,2.348,0.5348,797.460
4000,50,0,5125,411.5633,509.23,12.77,48.53,24,32.47,12.213,3.543,0.0884,82.012
4000,50,1,580,416.2641,176.86,152.22,50.19,76,37.97,15.254,2.003,0.5597,563.770
4000,50,2,11,6.0742,0.95,15.14,28.92,2,34.94,12.997,2.245,0.8672,678.220
4000,60,0,3853,106.7738,179.21,0.77,41.02,1,28.63,8.577,3.395,0.0486,23.206
4000,60,1,2,0.0592,0.04,0.37,54.07,0,28.69,8.388,3.080,0.8564,294.860
4000,70,0,4656,50.8447,98.05,0.14,33.90,0,29.68,6.149,1.103,0.0156,4.520
4000,80,0,3564,18.2152,33.41,0.05,30.58,0,32.10,4.159,0.006,0.0051,0.002
5000,-60,0,5472,26.1232,87.74,94.35,-13.64,2,-9.07,0.000,24.141,0.5461,8.148
5000,-60,1,2260,12.0491,59.31,510.42,-15.16,3,-11.49,0.000,26.517,0.9629,9.779
5000,-60,2,2,0.0004,0.00,2.15,-8.91,0,-0.86,0.000,16.250,0.9951,23.525
5000,-50,0,7199,415.2222,481.29,93.63,-7.31,56,0.84,0.134,16.133,0.4324,18.729
5000,-50,1,1495,153.6620,108.72,437.75,-5.90,49,0.39,0.113,16.502,0.7854,30.681
