run,year,genotypes,groups_hill,groups,genotypes_hill,leader,leader_share,top_group_share,defended,key_track,eater_genotypes,eater_hill,mutant_share,lifespan
c1225_life1,38,622,7.698843625449304,160,12.52342282630461,82,0.3761812249296744,0.3762028461277039,0.5874132162877393,0.00017120268910874602,877,13.914518059529136,0.0008565866675754381,33.32772438294498
c1225_life1,39,606,7.672297776151746,158,12.328757032724372,82,0.3773054974315668,0.3773274390841294,0.5862952544385026,0.00015083868988136832,944,12.83507273810764,0.0008965129252376898,33.94878339885543
c1225_life1,40,604,7.692486029409333,156,12.382947638059889,82,0.37268588057892355,0.372704607017391,0.5815805257585229,0.00015088761715361935,972,11.266216510674361,0.0009458607985326558,34.761133084205014
c1225_life1,41,594,7.685859107915218,156,12.378352941454471,82,0.3716150910365184,0.371650723240416,0.5795097970387769,0.0002453071328276094,951,16.741503583147082,0.0009196191571030845,35.25844649430526
c1225_life1,42,573,7.6593278413425425,154,12.34137793685604,82,0.37214845047693207,0.37218110500012247,0.5797078779305816,0.00019860735224159595,917,13.73787860890488,0.00090077547319735,35.67448140900782
c1225_life1,43,590,7.565760155573784,150,12.113724300092343,82,0.3752574154386343,0.37530933458085575,0.5821477870490819,0.0001822757958362555,946,15.569459921876508,0.0009400891102370209,35.77063814308003
c1225_life1,44,610,7.520502194738842,153,11.969433986143503,82,0.3780706846606845,0.37814470062822764,0.5856148336183672,0.00013056243714929395,977,13.56176944767671,0.0009818856227552825,35.98382601883223
c1225_life1,45,592,7.440698524595474,146,11.825014194964812,82,0.3804121522205189,0.38049747508293286,0.5876783338821856,9.600452403303811e-05,887,14.075463378921311,0.000998817358192029,36.30073048289034
c1225_life1,46,577,7.41015851681875,150,11.7200547698483,82,0.38073998631836137,0.38082772986231583,0.5870907314349761,0.00016726219610775853,915,17.19148210862928,0.0009857606687020987,36.55504782622836
c1225_life1,47,572,7.3157964820883095,149,11.536869699164672,82,0.3831619550758728,0.38325907046303936,0.5870448412877852,0.00018791110748345562,992,16.852552969454663,0.0009879362331111443,36.89151804092022
c1225_life1,48,553,7.672787604970544,150,11.41765938101327,82,0.3824256451392146,0.382512849830948,0.585051903436377,0.00011357118660277777,1011,15.884364922978563,0.0009458496716762117,37.37910760516049
c1225_life1,49,549,7.7151594231177905,155,11.482465803302482,82,0.37723919109408144,0.377314485901512,0.5801822524090847,0.0001852567576868674,1035,14.659902426006921,0.000938449521267045,38.06987577845444
c1225_life1,50,583,7.7288691068533515,159,11.513600661369574,82,0.37268601249313904,0.3727429337723829,0.5747100968097604,0.00014522818909734083,998,14.676917336680523,0.0009252524854067797,38.76913307170507
