step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
65000,5601,0.4047,29121.4,199,1923,1905,1773,263,246,256,24585,23975,31495,0,0,0,1.000,1.000,1.000,1452,433,35,0.2721,0.1897,0.5172,0.0661
66000,5236,0.4186,30237.6,291,1860,1768,1608,292,233,273,25771,24955,33348,0,0,0,1.000,1.000,1.000,1419,447,45,0.2136,0.2042,0.5302,0.0780
67000,5075,0.4181,30472.1,333,1775,1849,1451,235,255,245,26090,25704,33931,0,0,0,1.000,1.000,1.000,1276,458,35,0.1880,0.2188,0.5302,0.0845
68000,4412,0.4161,27051.5,352,1553,1572,1287,263,251,243,27664,26627,35369,0,0,0,1.000,1.000,1.000,1138,345,38,0.2009,0.2023,0.5692,0.0820
69000,4286,0.4200,26622.0,335,1601,1393,1292,220,259,266,27688,27750,37117,0,0,0,1.000,1.000,1.000,1200,359,42,0.1664,0.2160,0.5760,0.0942
70000,3082,0.4228,22050.1,416,1215,1049,818,214,241,279,29034,30848,39961,0,0,0,1.000,1.000,1.000,901,256,23,0.1652,0.2111,0.6404,0.0983
71000,2854,0.4114,19510.6,407,1232,921,701,183,251,218,29744,33152,42864,0,0,0,1.000,1.000,1.000,908,216,14,0.1141,0.2862,0.6350,0.1252
72000,1797,0.4819,14627.8,530,904,507,386,160,160,196,30771,36965,46709,0,0,0,1.000,1.000,1.000,720,153,9,0.0828,0.3040,0.7323,0.1533
73000,1289,0.4732,10205.9,584,756,346,187,102,162,129,31448,40592,50637,0,0,0,1.000,1.000,1.000,564,83,2,0.0377,0.5527,0.7598,0.2385
74000,853,0.4842,6750.8,591,523,225,105,49,160,89,31581,43442,53960,0,0,0,1.000,1.000,1.000,407,49,3,0.0151,0.7230,0.7422,0.3847
75000,656,0.4024,5951.6,464,444,166,46,16,144,46,30682,44960,56203,0,0,0,1.000,1.000,1.000,350,32,1,0.0014,1.0000,0.5089,0.3342
76000,749,0.4379,6269.0,439,497,189,63,10,165,61,29395,45011,56982,0,0,0,1.000,1.000,1.000,381,36,4,0.0014,1.0000,0.8017,0.2211
77000,1114,0.3654,7853.8,369,677,287,150,40,194,135,27792,43812,56396,0,0,0,1.000,1.000,1.000,539,73,2,0.0078,0.9717,0.8095,0.3422
78000,1632,0.3983,11013.1,335,800,486,346,75,211,227,26541,41766,54746,0,0,0,1.000,1.000,1.000,611,165,13,0.0136,0.7973,0.7892,0.3058
79000,2244,0.3930,15089.5,337,1108,652,484,139,203,224,24108,38010,51413,0,0,0,1.000,1.000,1.000,866,167,16,0.0770,0.3202,0.7297,0.1629
80000,2911,0.4071,19267.7,351,1177,943,791,169,253,294,23897,35122,48215,0,0,0,1.000,1.000,1.000,891,253,18,0.0905,0.3007,0.6843,0.1421
81000,3864,0.3918,23842.6,323,1497,1248,1119,216,268,282,22394,30809,43615,0,0,0,1.000,1.000,1.000,1166,309,42,0.1510,0.2417,0.6171,0.1009
82000,4081,0.4129,27658.5,355,1583,1387,1111,270,254,293,20923,27254,39996,0,0,0,1.000,1.000,1.000,1165,333,29,0.2319,0.2065,0.6168,0.0760
