step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
160000,1,671,7.78,0.00,0.00,0.00,7.77,0.00,1.00,0.000,0.060,356998.7,3535.7,1,46,3.28,1.00,1.00,0.4161,7.65,38359.0,0.0100,34.7425,5461,17.3031,17
160000,2,680,8.12,0.00,0.00,0.00,8.12,0.00,1.00,0.000,0.063,356935.8,3468.9,1,65,3.24,1.00,1.00,0.4075,2.61,4234.1,0.2066,34.7067,5461,25.3940,11
170000,0,673,8.04,0.00,0.00,0.00,8.04,0.00,1.00,0.000,0.062,358184.0,3639.9,1,41,3.27,1.00,1.00,0.4261,4.15,93484.8,0.0000,34.8386,5462,9.3705,10
170000,1,680,7.95,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.062,357950.5,3591.0,1,57,3.29,1.00,1.00,0.4227,6.40,38302.5,0.0106,34.8293,5461,17.3256,26
170000,2,676,8.07,0.00,0.00,0.00,8.07,0.00,1.00,0.000,0.062,357371.4,3520.3,1,48,3.23,1.00,1.00,0.4141,3.46,4199.3,0.2263,34.7690,5461,25.4270,9
180000,0,677,8.10,0.00,0.00,0.00,8.09,0.00,1.00,0.000,0.063,358862.9,3655.6,1,59,3.28,1.00,1.00,0.4316,2.97,93519.7,0.0000,34.8943,5462,9.3885,11
180000,1,678,8.16,0.00,0.00,0.00,8.16,0.00,1.00,0.000,0.064,358948.5,3534.4,1,56,3.27,1.00,1.00,0.4153,2.32,38338.8,0.0113,34.8980,5461,17.3589,7
180000,2,671,8.21,0.00,0.00,0.00,8.21,0.00,1.00,0.000,0.062,358663.1,3512.0,1,71,3.23,1.00,1.00,0.4140,9.40,4194.1,0.1851,34.8380,5461,25.4759,13
190000,0,685,8.08,0.00,0.00,0.00,8.08,0.00,1.00,0.000,0.063,359636.5,3702.9,2,53,3.28,1.00,1.00,0.4363,10.35,93458.3,0.0000,34.9731,5462,9.4170,20
190000,1,682,8.19,0.00,0.00,0.00,8.19,0.00,1.00,0.000,0.064,360259.8,3604.9,2,68,3.21,1.00,1.00,0.4256,9.98,38342.0,0.0158,35.0144,5461,17.4114,16
190000,2,667,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.063,359866.8,3574.3,1,56,3.23,1.00,1.00,0.4188,6.85,4201.8,0.1524,34.9712,5461,25.5530,12
200000,0,671,8.27,0.00,0.00,0.00,8.26,0.00,1.00,0.000,0.063,360821.6,3654.8,1,55,3.25,1.00,1.00,0.4290,9.29,93429.2,0.0000,35.0423,5462,9.4291,11
200000,1,666,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.063,360915.3,3627.5,2,60,3.25,1.00,1.00,0.4257,4.19,38324.6,0.0118,35.0674,5461,17.4339,15
200000,2,678,8.26,0.01,0.00,0.00,8.26,0.00,1.00,0.000,0.064,359872.8,3597.5,2,60,3.28,1.00,1.00,0.4227,5.73,4248.1,0.1612,34.9784,5461,25.5860,16
210000,0,676,8.27,0.00,0.00,0.00,8.27,0.00,1.00,0.000,0.064,361195.3,3577.1,1,48,3.26,1.00,1.00,0.4194,5.45,93390.9,0.0000,35.0987,5462,9.4365,11
210000,1,667,8.30,0.00,0.00,0.00,8.30,0.00,1.00,0.000,0.063,361284.6,3521.8,3,61,3.31,1.00,1.00,0.4128,4.54,38398.2,0.0134,35.0965,5461,17.4475,9
