run,step,grown,kinds,top_lineage,top_share
light 11,85000,2625,8,4152,0.4003809523809524
light 11,86000,2065,8,4152,0.3297820823244552
light 11,87000,2337,7,4152,0.20753102267864784
light 11,88000,2439,7,4152,0.28864288642886426
light 11,89000,3257,6,4152,0.263432606693276
light 11,90000,3104,7,4152,0.13015463917525774
light 11,91000,2756,7,1,0.21988388969521044
light 11,92000,3292,7,1,0.30498177399756987
light 11,93000,4266,5,1,0.2550398499765588
light 11,94000,4082,7,1,0.27315041646251836
light 11,95000,4006,6,4152,0.2978032950574139
light 11,96000,4079,10,4152,0.16989458200539348
light 11,97000,3048,7,4152,0.2824803149606299
light 11,98000,2964,9,4152,0.22874493927125505
light 11,99000,2782,7,4152,0.21746944644140906
light 11,100000,2918,7,4152,0.1888279643591501
light 12,50000,1831,8,1,0.2796286182413981
light 12,51000,1868,8,1,0.23447537473233404
light 12,52000,2258,8,1,0.2391496899911426
light 12,53000,2110,7,3237,0.16255924170616115
light 12,54000,2492,6,1,0.22070626003210272
light 12,55000,1975,7,3237,0.22987341772151898
light 12,56000,1609,5,3237,0.13424487259167184
light 12,57000,2051,6,1,0.31838127742564604
light 12,58000,1950,6,1,0.24769230769230768
light 12,59000,2018,10,1,0.22398414271555997
light 12,60000,1672,9,1,0.24342105263157895
light 12,61000,1635,8,1,0.290519877675841
light 12,62000,1245,9,1,0.236144578313253
light 12,63000,1288,8,1,0.21583850931677018
light 12,64000,1401,8,1,0.19628836545324768
light 12,65000,2076,6,1,0.1531791907514451
light 12,66000,1902,8,1,0.2875920084121977
light 12,67000,1695,8,1,0.2336283185840708
light 12,68000,1619,6,1,0.23533045089561458
light 12,69000,1718,5,1,0.1839348079161816
light 12,70000,1705,8,1,0.21642228739002933
light 12,71000,2079,7,1,0.2631072631072631
light 12,72000,1886,7,1,0.27783669141039236
light 12,73000,1928,9,1,0.4766597510373444
light 12,74000,1530,9,1,0.34444444444444444
light 12,75000,1672,8,1,0.2374401913875598
light 12,76000,1539,7,1,0.23716699155295645
light 12,77000,1756,6,3962,0.27107061503416857
light 12,78000,1697,8,3962,0.36299351797289336
light 12,79000,1648,8,3962,0.3294902912621359
light 12,80000,2025,5,3962,0.19901234567901235
light 12,81000,1832,5,3962,0.2472707423580786
light 12,82000,2169,5,1,0.3075149838635316
light 12,83000,2488,6,1,0.3094855305466238
light 12,84000,2570,7,1,0.25058365758754864
light 12,85000,2083,7,1,0.28084493518963033
light 12,86000,2002,7,3962,0.26723276723276723
light 12,87000,2640,7,3962,0.22424242424242424
light 12,88000,2820,7,3962,0.19645390070921986
light 12,89000,2400,8,3962,0.13791666666666666
light 12,90000,2183,6,3962,0.19789280806229959
light 12,91000,2487,5,3962,0.17048652995577002
light 12,92000,2537,5,5040,0.19787150177374851
light 12,93000,2316,6,3962,0.15155440414507773
light 12,94000,2537,6,4937,0.19038234134804888
light 12,95000,2585,7,3962,0.19342359767891681
light 12,96000,2315,6,3962,0.22203023758099352
light 12,97000,2364,5,3962,0.24407783417935702
light 12,98000,2355,7,3962,0.31040339702760084
light 12,99000,2177,5,3962,0.34451079467156637
light 12,100000,1745,6,3962,0.24527220630372493
light 13,50000,1290,6,1808,0.7682170542635659
light 13,51000,1108,4,1808,0.34386281588447654
light 13,52000,1241,6,1808,0.46333601933924257
light 13,53000,1397,4,1808,0.7208303507516106
light 13,54000,1535,5,1808,0.30618892508143325
light 13,55000,1140,6,1808,0.34912280701754383
light 13,56000,1477,6,1808,0.5890318212593094
light 13,57000,988,6,1808,0.652834008097166
light 13,58000,1226,6,1808,0.7520391517128875
light 13,59000,1367,5,1808,0.5201170446232626
light 13,60000,1664,6,1808,0.7794471153846154
light 13,61000,1227,10,1808,0.8329258353708231
light 13,62000,963,6,1808,0.731048805815161
light 13,63000,1331,6,1808,0.7693463561232157
light 13,64000,1411,5,1808,0.8922749822820695
light 13,65000,1568,7,1808,0.7653061224489796
light 13,66000,1492,7,1808,0.5978552278820375
light 13,67000,1026,6,1808,0.6364522417153996
light 13,68000,957,5,1808,0.29571577847439917
light 13,69000,961,6,1808,0.6118626430801248
light 13,70000,1185,5,1808,0.69957805907173
light 13,71000,1402,7,1808,0.6191155492154066
light 13,72000,1595,5,1808,0.8789968652037617
light 13,73000,1143,7,1808,0.5056867891513561
light 13,74000,960,6,1808,0.659375
light 13,75000,1094,7,1808,0.6197440585009141
light 13,76000,1115,7,1808,0.7677130044843049
light 13,77000,1351,6,1808,0.7091043671354552
light 13,78000,1489,8,1808,0.8025520483546004
light 13,79000,1221,8,1808,0.5217035217035217
light 13,80000,1155,8,1808,0.6666666666666666
light 13,81000,1229,8,1808,0.7534580960130187
light 13,82000,1264,8,1808,0.7231012658227848
light 13,83000,1711,6,1808,0.7720631209818819
light 13,84000,1337,6,1808,0.6080777860882572
light 13,85000,1196,5,1808,0.6948160535117057
light 13,86000,1151,5,1808,0.8027801911381407
light 13,87000,1147,6,1808,0.7611159546643418
light 13,88000,1267,8,1808,0.8034727703235991
light 13,89000,1250,4,1808,0.7816
light 13,90000,1237,4,1808,0.43654001616814875
light 13,91000,1259,5,1808,0.40428911834789516
light 13,92000,1148,6,1808,0.5156794425087108
light 13,93000,1079,6,3064,0.18072289156626506
light 13,94000,1171,7,1808,0.7292912040990607
light 13,95000,1629,6,1808,0.8281154082259055
light 13,96000,1070,4,1808,0.8392523364485981
light 13,97000,992,7,1808,0.9012096774193549
light 13,98000,807,7,1808,0.8996282527881041
light 13,99000,979,7,1808,0.8478038815117467
light 13,100000,1071,5,1808,0.8870214752567693
light 14,50000,1780,8,859,0.19550561797752808
light 14,51000,1773,7,859,0.3840947546531303
light 14,52000,2585,8,859,0.4584139264990329
light 14,53000,2577,9,859,0.3007372914241366
light 14,54000,2577,10,859,0.15948777648428406
light 14,55000,1740,11,2489,0.09482758620689655
light 14,56000,1971,9,859,0.12125824454591577
light 14,57000,1786,7,859,0.15005599104143338
light 14,58000,2029,8,859,0.09807787087235091
light 14,59000,1553,7,859,0.16741790083708952
light 14,60000,1917,8,859,0.18362023995826812
light 14,61000,1729,11,3752,0.12434933487565067
light 14,62000,1794,11,3752,0.14938684503901895
light 14,63000,1769,9,859,0.21368004522328998
light 14,64000,1889,8,3527,0.21810481736368448
light 14,65000,2062,9,859,0.18622696411251213
light 14,66000,1861,7,859,0.3782912412681354
light 14,67000,2069,7,859,0.2276462058965684
light 14,68000,1596,7,859,0.243734335839599
light 14,69000,1424,9,859,0.34901685393258425
light 14,70000,1846,8,859,0.3174431202600217
light 14,71000,1699,8,859,0.39140670982931136
light 14,72000,2118,6,859,0.601038715769594
light 14,73000,1734,6,859,0.563437139561707
light 14,74000,1671,7,859,0.5894673847995212
light 14,75000,1749,9,859,0.5220125786163522
light 14,76000,1976,8,859,0.2616396761133603
light 14,77000,2030,7,859,0.5246305418719212
light 14,78000,1626,7,859,0.43419434194341944
light 14,79000,1665,8,859,0.378978978978979
light 14,80000,1313,7,859,0.3015993907083016
light 14,81000,1106,7,859,0.41500904159132007
light 14,82000,1594,7,859,0.3946047678795483
light 14,83000,1389,6,859,0.40748740100791936
light 14,84000,1959,7,859,0.5191424196018377
light 14,85000,1165,7,859,0.40171673819742487
