run,way,from,to,censuses,steps,whole,share_max,share_min
control 10,mixed / no tooth / roams / shore,54000,60000,7,7000,0,0.08665105386416862,0.05061155630535639
control 10,mixed / no tooth / roams / shore,62000,62000,1,1000,0,0.06446719757299962,0.06446719757299962
control 10,mixed / no tooth / roams / shore,65000,88000,24,24000,0,0.15135542168674698,0.05709728867623604
control 10,mixed / no tooth / roams / shore,91000,100000,10,10000,0,0.114646700982686,0.07902125952667469
control 10,mixed / no tooth / stays / shore,50000,61000,12,12000,0,0.14069400630914827,0.05545774647887324
control 10,mixed / no tooth / stays / shore,63000,96000,34,34000,0,0.19634305616020897,0.06358926048045219
control 10,mixed / no tooth / stays / shore,98000,98000,1,1000,0,0.053750501403931006,0.053750501403931006
control 10,mixed / no tooth / stays / shore,100000,100000,1,1000,0,0.07299953205428171,0.07299953205428171
control 10,mixed / tooth / roams / land,50000,100000,51,51000,1,0.2266750156543519,0.0674793208532869
control 10,plant / no tooth / stays / shore,50000,66000,17,17000,0,0.1329225352112676,0.052191464821222604
control 10,plant / no tooth / stays / shore,68000,69000,2,2000,0,0.08509485094850948,0.08267020335985853
control 10,plant / no tooth / stays / shore,72000,91000,20,20000,0,0.16555023923444975,0.056910569105691054
control 10,plant / no tooth / stays / shore,94000,100000,7,7000,0,0.15162454873646208,0.05461993627674101
control 10,mixed / no tooth / roams / bottom,50000,52000,3,3000,0,0.09329993738259236,0.060652395514780834
control 10,mixed / no tooth / roams / bottom,61000,65000,5,5000,0,0.09518392112248768,0.062219371391917896
control 10,mixed / no tooth / roams / bottom,67000,72000,6,6000,0,0.09256786826880285,0.05702917771883289
control 10,mixed / no tooth / roams / bottom,74000,74000,1,1000,0,0.05505279034690799,0.05505279034690799
control 10,mixed / no tooth / roams / bottom,80000,80000,1,1000,0,0.05749128919860627,0.05749128919860627
control 10,mixed / no tooth / roams / bottom,93000,100000,8,8000,0,0.09645669291338582,0.05654496883348174
control 10,mixed / tooth / stays / land,50000,54000,5,5000,0,0.09204758922980588,0.05586311021640664
control 10,mixed / tooth / stays / land,59000,61000,3,3000,0,0.08199293840721851,0.0671462829736211
control 10,mixed / tooth / stays / land,65000,68000,4,4000,0,0.061418685121107264,0.051495645588792126
control 10,mixed / tooth / stays / land,70000,73000,4,4000,0,0.11261582323592302,0.07476635514018691
control 10,mixed / tooth / stays / land,83000,86000,4,4000,0,0.05511811023622047,0.0504297994269341
control 10,mixed / tooth / stays / land,88000,90000,3,3000,0,0.056422018348623856,0.05223880597014925
control 10,mixed / tooth / stays / land,95000,95000,1,1000,0,0.06217616580310881,0.06217616580310881
control 10,plant / no tooth / roams / surface,50000,53000,4,4000,0,0.12487257900101936,0.058538732394366196
control 10,plant / no tooth / roams / surface,58000,58000,1,1000,0,0.05901639344262295,0.05901639344262295
control 10,plant / no tooth / roams / surface,60000,64000,5,5000,0,0.07925673113386424,0.05355997434252726
control 10,plant / no tooth / roams / surface,69000,70000,2,2000,0,0.06341463414634146,0.05696484201157098
control 10,plant / no tooth / roams / surface,73000,76000,4,4000,0,0.07778776978417266,0.05060155697098372
control 10,plant / no tooth / roams / surface,80000,80000,1,1000,0,0.06736353077816493,0.06736353077816493
control 10,plant / no tooth / roams / surface,83000,83000,1,1000,0,0.05048543689320388,0.05048543689320388
control 10,plant / no tooth / roams / surface,86000,90000,5,5000,0,0.11355311355311355,0.06486721811057902
control 10,plant / no tooth / roams / surface,92000,93000,2,2000,0,0.1,0.05348679756262695
control 10,plant / no tooth / roams / surface,95000,97000,3,3000,0,0.07112576542628356,0.0578806767586821
control 10,mixed / tooth / roams / shore,53000,54000,2,2000,0,0.06602112676056338,0.06326444538169548
control 10,mixed / tooth / roams / shore,58000,58000,1,1000,0,0.05105386416861827,0.05105386416861827
control 10,mixed / tooth / roams / shore,66000,66000,1,1000,0,0.05363321799307959,0.05363321799307959
control 10,mixed / tooth / roams / shore,71000,71000,1,1000,0,0.05737704918032787,0.05737704918032787
control 10,mixed / tooth / roams / shore,73000,74000,2,2000,0,0.07239819004524888,0.057678697806086345
control 10,mixed / tooth / roams / shore,77000,82000,6,6000,0,0.07829977628635347,0.05085682697622996
control 10,mixed / tooth / roams / shore,84000,91000,8,8000,0,0.09512893982808023,0.060266896254842876
control 10,mixed / tooth / roams / shore,93000,96000,4,4000,0,0.08869329722410291,0.07836153161175423
control 10,mixed / tooth / roams / shore,100000,100000,1,1000,0,0.056621431913897985,0.056621431913897985
control 10,plant / tooth / stays / land,55000,55000,1,1000,0,0.05334051724137931,0.05334051724137931
control 10,plant / tooth / stays / land,93000,93000,1,1000,0,0.1049424509140149,0.1049424509140149
control 10,mixed / tooth / stays / shore,50000,57000,8,8000,0,0.13369886123998312,0.05422374429223744
control 10,mixed / tooth / stays / shore,59000,59000,1,1000,0,0.05453118870145155,0.05453118870145155
control 10,mixed / tooth / stays / shore,62000,63000,2,2000,0,0.08418657565415244,0.053492333901192506
control 10,mixed / tooth / stays / shore,75000,75000,1,1000,0,0.08273381294964029,0.08273381294964029
control 10,mixed / tooth / stays / shore,81000,83000,3,3000,0,0.0703883495145631,0.05140961857379768
control 10,mixed / tooth / stays / shore,87000,87000,1,1000,0,0.09584859584859586,0.09584859584859586
control 10,mixed / tooth / stays / shore,89000,90000,2,2000,0,0.09534175010883761,0.07844036697247707
control 10,mixed / tooth / stays / shore,97000,100000,4,4000,0,0.07971014492753623,0.05054151624548736
control 10,plant / no tooth / stays / bottom,52000,53000,2,2000,0,0.06778169014084508,0.06240563663814796
control 10,plant / no tooth / stays / bottom,60000,80000,21,21000,0,0.20429762668377166,0.05145413870246085
