run,seed,world,draw,way,n,held,kills,wood,tooth,grazer_mark,hunter_mark
c1225_life11_oB_s2,11,oB,2,plant/tooth/roams/surface,186,False,0.2560787138470011,0.0007716767879856726,0.8064516129032258,0.0,0.0
c1225_life11_oB_s2,11,oB,2,plant/no tooth/stays/surface,174,False,0.06220163635599868,0.0,0.0,0.0,0.0
c1225_life11_oB_s2,11,oB,2,plant/no tooth/stays/bottom,138,False,0.03592243790663726,0.0,0.0,0.9637681159420289,0.0
c1225_life11_oB_s2,11,oB,2,mixed/no tooth/stays/shore,122,False,0.24859251027406531,1.0472672085825642e-06,0.00819672131147541,0.8114754098360656,0.0
c1225_life9_oA_s1,9,oA,1,mixed/tooth/stays/land,522,False,0.3977171016826572,0.09949170709197902,0.8314176245210728,0.0,1.0
c1225_life9_oA_s1,9,oA,1,mixed/no tooth/stays/shore,471,True,0.18474401950977104,0.0,0.004246284501061571,0.04246284501061571,0.3609341825902335
c1225_life9_oA_s1,9,oA,1,mixed/tooth/roams/land,423,True,0.4544615430998057,0.14128586594662057,0.9290780141843972,0.0,1.0
c1225_life9_oA_s1,9,oA,1,mixed/no tooth/roams/bottom,192,True,0.3767737785142575,0.0,0.0,0.1875,0.0
c1225_life9_oA_s1,9,oA,1,plant/no tooth/stays/shore,172,False,0.13269928685493074,0.004583731713231788,0.01744186046511628,0.16279069767441862,0.6046511627906976
c1225_life9_oA_s1,9,oA,1,plant/no tooth/stays/bottom,154,True,0.04126298713052293,0.0,0.0,0.2987012987012987,0.0
c1225_life9_oA_s1,9,oA,1,mixed/no tooth/stays/bottom,123,True,0.13421748743105974,0.0,0.016260162601626018,0.16260162601626016,0.5609756097560976
c1225_life9_oA_s2,9,oA,2,mixed/no tooth/roams/shore,340,False,0.35349838124796273,0.0,0.0,0.0,0.0
c1225_life9_oA_s2,9,oA,2,mixed/no tooth/stays/bottom,288,True,0.2103303587349123,0.0,0.04861111111111111,0.0,0.3194444444444444
c1225_life9_oA_s2,9,oA,2,mixed/no tooth/stays/shore,246,True,0.25983864176333016,0.0,0.0,0.0,0.0
c1225_life9_oA_s2,9,oA,2,plant/no tooth/stays/bottom,233,True,0.07050752720820404,0.0,0.0,0.0,0.3090128755364807
c1225_life9_oA_s2,9,oA,2,mixed/tooth/roams/land,227,True,0.513422405504109,0.213754297344244,0.986784140969163,0.0,1.0
c1225_life9_oA_s2,9,oA,2,mixed/tooth/stays/shore,222,True,0.2938764893090413,0.08881627225519495,0.6441441441441441,0.0,1.0
c1225_life9_oA_s2,9,oA,2,plant/no tooth/stays/shore,220,True,0.2019763187406711,0.0,0.004545454545454545,0.0,0.0
c1225_life9_oA_s2,9,oA,2,flesh/no tooth/stays/bottom,162,False,0.35424444156145357,0.0,0.0,0.0,0.0
c1225_life9_oA_s2,9,oA,2,plant/no tooth/roams/surface,135,False,0.10362740938654183,0.0,0.0,0.0,1.0
c1225_life9_oB_s1,9,oB,1,mixed/no tooth/stays/bottom,360,True,0.177777689547167,0.0,0.002777777777777778,0.7611111111111111,0.0
c1225_life9_oB_s1,9,oB,1,mixed/tooth/roams/shore,336,True,0.47836156866168106,0.12444540392025996,0.875,0.0,0.16964285714285715
c1225_life9_oB_s1,9,oB,1,mixed/tooth/stays/shore,281,True,0.2709499084548502,0.051880709518908705,0.6370106761565836,0.0,0.03914590747330961
c1225_life9_oB_s1,9,oB,1,plant/no tooth/stays/shore,201,False,0.0881529721692707,0.0014701020989184301,0.024875621890547265,0.0,0.024875621890547265
c1225_life9_oB_s1,9,oB,1,mixed/tooth/roams/land,157,True,0.49502297297203685,0.19365276835915554,0.9363057324840764,0.0,0.050955414012738856
c1225_life9_oB_s1,9,oB,1,mixed/no tooth/roams/bottom,123,True,0.317618879096017,0.0,0.0,1.0,0.0
c1225_life9_oB_s1,9,oB,1,mixed/no tooth/roams/shore,121,False,0.3707330540370149,9.507060763540012e-06,0.024793388429752067,0.8760330578512396,0.0
c1225_life9_oB_s1,9,oB,1,flesh/no tooth/roams/bottom,117,False,0.5911692449785951,0.0,0.0,1.0,0.0
c1225_life9_oB_s1,9,oB,1,mixed/no tooth/stays/shore,106,False,0.13884927480020007,0.05024608820797567,0.33962264150943394,0.018867924528301886,0.009433962264150943
c1225_life9_oB_s2,9,oB,2,mixed/no tooth/stays/shore,439,True,0.2675892891905115,0.002486676924948436,0.022779043280182234,0.9271070615034168,0.0
c1225_life9_oB_s2,9,oB,2,mixed/no tooth/roams/bottom,420,True,0.31600765995360725,0.0,0.0,1.0,0.0
c1225_life9_oB_s2,9,oB,2,mixed/no tooth/stays/bottom,411,True,0.21099225736951158,0.0,0.058394160583941604,0.8369829683698297,0.0
c1225_life9_oB_s2,9,oB,2,plant/tooth/stays/surface,321,False,0.26951097979532884,2.060615145702474e-05,0.838006230529595,0.0,0.0
c1225_life9_oB_s2,9,oB,2,mixed/no tooth/roams/shore,278,True,0.4073782582323541,0.0,0.0,1.0,0.0
c1225_life9_oB_s2,9,oB,2,plant/no tooth/stays/bottom,259,False,0.09506733479387422,0.0,0.0,0.9227799227799228,0.0
c1225_life9_oB_s2,9,oB,2,mixed/tooth/roams/land,214,True,0.45427377948644326,0.15878952689367543,0.9485981308411215,0.0,0.0
c1225_life9_oB_s2,9,oB,2,plant/no tooth/roams/surface,178,False,0.06088378519594462,0.00026325726156602755,0.02247191011235955,0.0,0.0
c1225_life9_oB_s2,9,oB,2,mixed/tooth/stays/land,167,False,0.3392723980485077,0.10211907325886509,0.8682634730538922,0.0,0.0
