step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,38.00,36,0,9,0,10,0,1.00,4,0.237,991,0.00,53.19,10.42,441,1,2,0,1.00,1.00,1.00,2,4,6,33.8,4.585,19,2.000,0.683,6,1.000,0,13.51,0.50
100000,10.00,25,0,1,0,4,0,1.00,8,0.100,988,0.00,31.63,41.06,441,1,1,0,1.00,1.00,1.00,2,5,1,36.6,6.143,5,2.000,0.668,5,1.000,0,4.37,2.25
100000,44.00,25,0,13,0,9,0,1.00,0,0.295,979,0.00,98.53,47.70,441,0,0,0,1.00,1.00,1.00,4,5,5,13.2,57.617,22,2.000,0.676,5,1.000,0,45.10,45.00
100000,50.00,25,0,11,0,14,0,1.00,0,0.220,974,0.16,65.61,1.80,441,0,0,0,1.00,1.00,1.00,4,5,5,22.8,16.802,25,2.000,0.631,5,1.000,0,19.81,9.75
100000,86.00,49,0,32,0,11,0,1.00,0,0.372,970,-0.00,66.51,22.15,447,0,0,0,1.00,1.00,1.00,6,7,7,13.9,26.121,43,2.000,0.729,7,1.000,1,6.39,-3.25
100000,43.99,25,0,8,0,14,0,1.00,0,0.182,958,0.00,53.25,2.86,441,2,2,0,1.00,1.00,1.00,4,5,5,40.3,0.294,22,2.000,0.778,5,1.000,0,12.58,11.75
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,949,5.98,107.90,10.80,441,1,1,0,1.00,1.00,1.00,4,5,5,28.3,63.023,25,2.000,0.670,5,1.000,0,50.65,45.50
100000,62.00,36,0,10,0,21,0,1.00,0,0.161,948,-0.00,65.81,11.43,447,2,2,0,1.00,1.00,1.00,7,6,6,44.3,23.988,31,2.000,0.643,6,1.000,0,6.95,-3.50
100000,10.00,25,0,5,0,0,0,1.00,8,0.500,937,0.00,66.92,25.44,441,2,2,0,1.00,1.00,1.00,2,1,5,43.4,8.986,5,2.000,0.666,5,1.000,0,36.11,26.75
100000,12.00,25,0,3,0,3,0,1.00,8,0.250,931,0.10,44.67,21.96,441,1,0,0,1.00,1.00,1.00,4,3,3,28.9,5.107,6,2.000,0.661,5,1.000,0,19.42,-4.00
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,931,3.53,45.61,22.90,441,0,1,0,1.00,1.00,1.00,4,5,5,22.8,31.793,25,2.000,0.586,5,1.000,0,11.04,10.75
100000,67.98,36,0,4,0,30,0,1.00,0,0.059,930,-0.00,106.07,8.67,471,1,2,0,1.00,1.00,1.00,4,6,6,27.2,49.004,34,1.999,0.536,6,1.000,2,11.00,0.00
100000,58.00,36,0,27,0,2,0,1.00,2,0.466,928,0.00,58.22,129.90,447,0,0,0,1.00,1.00,1.00,5,5,6,16.7,53.045,29,2.000,0.677,6,1.000,0,48.50,48.50
100000,34.00,25,0,2,0,15,0,1.00,0,0.059,910,0.00,30.72,7.30,441,2,2,0,1.00,1.00,1.00,3,5,5,38.4,2.427,17,2.000,0.539,5,1.000,0,5.25,0.00
100000,24.00,25,0,7,0,5,0,1.00,4,0.292,902,0.00,44.95,4.62,441,0,0,0,1.00,1.00,1.00,4,5,3,18.5,6.679,12,2.000,0.720,5,1.000,0,32.00,32.00
100000,31.90,36,6,0,0,4,0,3.94,8,0.000,895,0.00,12.58,62.14,466,0,0,0,1.80,3.60,6.00,2,3,5,24.4,4.967,10,1.994,0.426,6,1.000,1,0.00,0.00
100000,42.00,25,0,13,0,8,0,1.00,0,0.310,887,0.00,34.10,70.47,441,1,1,0,1.00,1.00,1.00,4,5,5,26.8,25.784,21,2.000,0.586,5,1.000,0,25.75,25.75
100000,61.99,36,0,7,0,24,0,1.00,0,0.113,879,0.00,38.57,4.71,447,2,2,0,1.00,1.00,1.00,6,6,6,40.3,4.916,31,2.000,0.794,6,1.000,1,5.80,-5.75
100000,36.00,36,0,16,0,2,0,1.00,0,0.444,866,0.00,23.97,65.06,447,0,0,0,1.00,1.00,1.00,3,6,6,1.2,26.131,18,2.000,0.677,6,1.000,0,18.05,-12.25
100000,22.00,25,0,3,0,8,0,1.00,0,0.136,864,0.00,22.31,1.50,441,0,0,0,1.00,1.00,1.00,3,5,5,8.9,0.203,11,2.000,0.652,5,1.000,0,9.75,-9.75
100000,24.00,25,0,11,0,1,0,1.00,4,0.458,849,0.00,76.75,12.41,441,2,1,0,1.00,1.00,1.00,2,3,5,41.8,19.209,12,2.000,0.681,5,1.000,0,34.94,34.50
100000,50.00,25,0,6,0,19,0,1.00,0,0.120,844,0.08,24.58,10.65,441,1,0,0,1.00,1.00,1.00,4,5,5,26.5,3.714,25,2.000,0.588,5,1.000,0,8.19,7.00
100000,72.00,36,0,16,0,20,0,1.00,0,0.222,842,-0.00,46.45,6.85,447,2,2,0,1.00,1.00,1.00,6,6,6,39.8,0.617,36,2.000,0.643,6,1.000,0,5.48,2.25
100000,38.00,25,0,6,0,13,0,1.00,2,0.158,837,0.00,17.98,11.83,441,0,0,0,1.00,1.00,1.00,2,4,5,1.1,0.605,19,2.000,0.605,5,1.000,1,3.75,0.00
100000,32.00,25,0,7,0,9,0,1.00,0,0.219,829,0.00,50.66,35.60,441,2,0,0,1.00,1.00,1.00,4,5,5,40.5,19.236,16,2.000,0.550,5,1.000,0,14.50,10.50
100000,14.00,25,0,6,0,1,0,1.00,4,0.429,817,0.00,80.40,40.99,441,1,1,0,1.00,1.00,1.00,3,5,3,34.6,17.208,7,2.000,0.666,5,1.000,0,4.91,-4.75
100000,50.00,25,0,6,0,19,0,1.00,0,0.120,804,1.11,32.13,37.36,441,0,0,0,1.00,1.00,1.00,4,5,5,20.1,21.325,25,2.000,0.588,5,1.000,0,5.70,4.50
100000,20.00,25,0,4,0,6,0,1.00,6,0.200,803,0.00,54.64,7.86,441,2,2,0,1.00,1.00,1.00,1,3,4,41.6,8.808,10,2.000,0.822,5,1.000,0,7.60,1.25
100000,20.00,36,0,5,0,5,0,1.00,6,0.250,799,0.00,14.18,87.82,441,2,2,0,1.00,1.00,1.00,3,4,5,45.4,4.311,10,2.000,0.668,6,1.000,0,14.50,0.00
100000,24.77,36,0,4,0,9,0,1.00,6,0.162,795,0.00,35.15,19.28,469,1,0,0,1.00,1.00,1.00,3,3,6,28.3,8.456,13,1.905,0.210,6,1.000,0,13.50,0.00
100000,34.00,25,0,8,0,9,0,1.00,2,0.235,791,0.00,53.39,41.25,441,1,1,0,1.00,1.00,1.00,4,4,5,32.3,19.401,17,2.000,0.778,5,1.000,0,7.75,7.75
100000,30.00,36,0,6,0,9,0,1.00,0,0.200,791,0.00,65.87,27.80,441,2,2,0,1.00,1.00,1.00,3,6,6,39.4,17.940,15,2.000,0.655,6,1.000,0,12.25,0.00
100000,23.99,81,0,6,0,6,0,1.00,16,0.250,787,0.00,119.14,2.79,466,0,1,0,1.00,1.00,1.00,3,3,7,22.1,21.613,12,1.999,0.610,9,1.000,0,30.50,30.50
100000,26.67,36,0,2,0,12,0,1.00,6,0.075,777,0.00,41.02,14.49,469,0,0,0,1.00,1.00,1.00,2,3,6,11.8,10.590,14,1.905,0.210,6,1.000,0,6.05,-3.75
100000,4.00,25,0,2,0,0,0,1.00,14,0.500,762,0.00,24.41,19.55,441,0,2,0,1.00,1.00,1.00,1,1,2,19.2,0.795,2,2.000,0.605,5,1.000,0,23.49,10.00
100000,64.00,36,0,16,0,16,0,1.00,0,0.250,758,-0.00,88.14,51.47,447,2,2,0,1.00,1.00,1.00,4,6,6,41.8,37.541,32,2.000,0.643,6,1.000,0,9.28,9.25
100000,26.00,25,0,11,0,2,0,1.00,0,0.423,756,0.00,38.15,1.61,447,2,2,0,1.00,1.00,1.00,4,5,5,38.2,2.285,13,2.000,0.571,5,1.000,0,19.76,-0.75
100000,50.00,25,0,13,0,12,0,1.00,0,0.260,746,2.81,42.51,16.77,441,0,0,0,1.00,1.00,1.00,4,5,5,15.8,15.996,25,2.000,0.586,5,1.000,0,3.48,-1.25
100000,22.00,25,0,9,0,2,0,1.00,4,0.409,740,0.00,19.81,12.61,441,1,1,0,1.00,1.00,1.00,2,3,5,36.9,2.100,11,2.000,0.608,5,1.000,0,10.49,-10.25
100000,34.00,25,0,10,0,7,0,1.00,0,0.294,715,0.00,31.06,18.02,441,2,2,0,1.00,1.00,1.00,4,5,5,39.6,8.664,17,2.000,0.825,5,1.000,0,13.83,-1.50
100000,45.72,36,0,7,0,17,0,1.00,0,0.153,713,0.92,107.49,9.45,469,0,0,0,1.00,1.00,1.00,4,6,6,22.6,42.939,24,1.905,0.210,6,1.000,0,15.25,0.00
100000,6.00,25,0,3,0,0,0,1.00,12,0.500,689,0.00,24.72,53.21,441,0,0,0,1.00,1.00,1.00,1,1,3,20.0,4.219,3,2.000,0.666,5,1.000,0,13.15,-2.00
100000,38.00,25,0,12,0,7,0,1.00,0,0.316,687,5.76,31.61,29.12,441,1,2,0,1.00,1.00,1.00,4,5,5,28.4,13.597,19,2.000,0.681,5,1.000,0,15.27,14.25
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,669,2.86,65.04,5.60,441,1,0,0,1.00,1.00,1.00,4,5,5,33.1,49.520,25,2.000,0.679,5,1.000,0,23.21,21.50
100000,36.00,25,0,13,0,5,0,1.00,0,0.361,666,-0.00,24.15,7.92,447,0,0,0,1.00,1.00,1.00,4,5,5,19.4,7.535,18,2.000,0.623,5,1.000,0,4.30,3.50
100000,30.00,25,0,6,0,9,0,1.00,4,0.200,665,0.00,28.98,13.32,441,2,1,0,1.00,1.00,1.00,4,5,3,38.3,4.777,15,2.000,0.575,5,1.000,0,7.43,5.50
