step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
19000,769,0.3303,5688.8,198,486,135,148,38,40,19,31567,39308,37413,0,0,0,0.954,0.840,0.874,439,89,106,0.1796,0.1971,0.6848,0.0606
20000,1062,0.3616,6920.3,186,314,534,214,65,69,69,31043,35666,38516,0,0,0,0.886,0.926,0.906,237,447,176,0.2421,0.1578,0.6241,0.0579
21000,1261,0.3426,6766.2,171,366,388,507,43,64,73,33017,34663,33395,0,0,0,0.938,0.966,0.883,313,356,363,0.2843,0.1445,0.6584,0.0512
22000,1100,0.3736,6424.8,179,442,290,368,52,49,24,28497,33800,32643,0,0,0,0.958,0.841,0.838,389,184,242,0.2799,0.1298,0.6832,0.0429
23000,1416,0.3990,9383.0,193,519,603,294,41,59,76,28300,30889,34975,0,0,0,0.857,0.957,0.866,367,540,207,0.2310,0.1740,0.6199,0.0476
24000,1157,0.4391,7347.6,211,275,381,501,26,27,33,32665,31448,33324,0,0,0,0.874,0.791,0.819,213,256,310,0.2572,0.1619,0.6132,0.0463
25000,1286,0.3289,6724.1,158,452,370,464,60,47,36,29991,29903,31320,0,0,0,0.900,0.860,0.850,383,257,326,0.3043,0.1404,0.6714,0.0404
26000,1317,0.3804,8427.0,198,570,468,279,51,73,40,28301,32002,33190,0,0,0,0.848,0.952,0.886,396,417,204,0.2502,0.1781,0.6549,0.0440
27000,1776,0.3209,9086.3,167,398,586,792,42,54,81,31731,29995,30356,0,0,0,0.920,0.895,0.942,334,428,677,0.2881,0.1426,0.6423,0.0490
28000,1438,0.4478,8827.1,213,425,525,488,58,47,49,32963,30483,31993,0,0,0,0.878,0.846,0.823,328,366,298,0.2571,0.1721,0.6329,0.0518
29000,1370,0.3788,10168.5,139,566,320,484,42,15,19,30720,34517,34369,0,0,0,0.883,0.891,0.638,419,246,235,0.1663,0.2115,0.5695,0.0721
30000,709,0.4118,4580.4,168,260,235,214,34,28,41,36681,33975,38381,0,0,0,0.951,0.790,0.934,226,140,189,0.2235,0.1658,0.6107,0.0584
31000,540,0.4722,3250.4,211,166,139,235,33,29,37,38480,35905,36910,0,0,0,0.872,0.932,0.890,112,116,179,0.2508,0.1556,0.6752,0.0570
32000,521,0.4299,3624.4,197,276,74,171,14,22,22,34035,38742,37479,0,0,0,0.960,0.883,0.744,248,56,106,0.1763,0.2084,0.5818,0.0562
33000,335,0.5164,2218.9,238,194,118,23,21,24,18,35545,37780,39097,0,0,0,0.958,0.921,0.803,181,97,14,0.1802,0.2190,0.6495,0.0555
34000,235,0.5745,1762.0,269,170,48,17,13,26,14,37525,38006,38479,0,0,0,0.919,0.970,0.847,137,44,10,0.1496,0.3250,0.6679,0.0569
35000,233,0.4077,1928.5,226,206,19,8,4,11,8,36018,39224,39863,0,0,0,0.951,0.769,0.904,183,9,7,0.1033,0.2849,0.6413,0.0600
36000,242,0.3843,2527.0,227,137,87,18,10,20,10,35034,40429,41377,0,0,0,0.813,0.825,0.956,97,66,15,0.1051,0.3320,0.5865,0.0665
37000,225,0.4311,2280.6,231,79,56,90,13,19,21,36263,40595,41442,0,0,0,0.953,0.942,0.948,68,50,78,0.1671,0.2181,0.6379,0.0703
