step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
60000,932,0.4109,7768.9,243,318,282,332,31,36,42,32013,41913,41161,0,0,0,1.000,1.000,1.000,244,189,217,0.1569,0.2249,0.4398,0.0920
61000,1131,0.4279,8716.2,251,534,257,340,46,55,39,27462,43981,41667,0,0,0,1.000,1.000,1.000,331,146,177,0.1600,0.2407,0.3926,0.0892
62000,1341,0.3699,9513.8,204,334,587,420,46,67,69,29172,35519,40105,0,0,0,1.000,1.000,1.000,164,433,289,0.2498,0.1884,0.4634,0.0684
63000,1672,0.4360,11030.7,234,437,502,733,34,43,55,33566,36617,36430,0,0,0,1.000,1.000,1.000,328,252,517,0.1785,0.2329,0.4484,0.0745
64000,1609,0.4792,9961.3,244,650,406,553,66,62,52,32092,42999,37380,0,0,0,1.000,1.000,1.000,460,221,308,0.1442,0.2825,0.3894,0.0968
65000,1702,0.3778,9598.3,184,447,748,507,50,67,68,32249,36855,37580,0,0,0,1.000,1.000,1.000,224,559,405,0.2276,0.1911,0.4193,0.0783
66000,1704,0.5123,9663.0,226,444,720,540,60,68,61,36034,34556,33851,0,0,0,1.000,1.000,1.000,290,259,296,0.2397,0.1662,0.4717,0.0647
67000,1518,0.5046,10258.1,216,680,370,468,46,45,50,33604,39640,33426,0,0,0,1.000,1.000,1.000,390,192,228,0.1788,0.2259,0.3984,0.0766
68000,1557,0.4894,9629.0,220,552,623,382,59,58,55,33168,39566,36608,0,0,0,1.000,1.000,1.000,254,509,251,0.1736,0.2194,0.3956,0.0780
69000,1179,0.4885,8246.8,247,342,475,362,43,43,53,38776,35432,36271,0,0,0,1.000,1.000,1.000,254,230,168,0.1898,0.1958,0.4297,0.0722
70000,1152,0.3898,7300.6,197,556,253,343,41,33,34,37214,39139,35123,0,0,0,1.000,1.000,1.000,377,166,149,0.1859,0.2223,0.4363,0.0753
71000,831,0.4344,6522.0,256,452,227,152,31,30,41,34840,42187,38244,0,0,0,1.000,1.000,1.000,314,173,69,0.1645,0.2284,0.4268,0.0808
72000,624,0.5897,6023.0,351,245,235,144,26,38,34,38957,40941,40491,0,0,0,1.000,1.000,1.000,143,156,71,0.1335,0.2459,0.4573,0.1043
73000,434,0.4240,3923.4,312,260,79,95,8,32,18,39043,43232,40861,0,0,0,1.000,1.000,1.000,202,50,55,0.1360,0.2435,0.4948,0.1082
74000,400,0.4575,3097.7,295,339,34,27,6,27,15,35736,46017,43307,0,0,0,1.000,1.000,1.000,242,19,9,0.0756,0.3748,0.4778,0.1170
75000,158,0.6139,1434.0,465,117,30,11,3,22,10,36176,46780,45368,0,0,0,1.000,1.000,1.000,24,8,3,0.0632,0.3921,0.4774,0.1285
76000,312,0.5353,2349.8,182,261,50,1,2,28,1,34833,46194,44487,0,0,0,1.000,1.000,1.000,131,11,0,0.0687,0.3264,0.5619,0.1128
77000,353,0.4448,3464.0,271,286,40,27,8,27,15,30895,46973,44947,0,0,0,1.000,1.000,1.000,199,20,9,0.1197,0.3101,0.5828,0.1005
78000,436,0.4656,4613.9,321,187,169,80,11,36,27,31009,44587,45447,0,0,0,1.000,1.000,1.000,88,132,63,0.1458,0.2112,0.5800,0.0970
79000,670,0.5030,5995.7,278,240,172,258,30,27,24,32413,43734,42949,0,0,0,1.000,1.000,1.000,195,91,174,0.1517,0.2086,0.5003,0.0988
80000,887,0.4374,7444.8,279,488,187,212,37,32,31,29115,45666,42308,0,0,0,1.000,1.000,1.000,337,92,111,0.1544,0.2288,0.4462,0.0992
81000,1356,0.3761,9158.2,202,455,526,375,68,46,46,29564,40667,42771,0,0,0,1.000,1.000,1.000,217,418,313,0.1586,0.2356,0.4592,0.0956
82000,1677,0.3900,9540.6,187,380,650,647,50,53,52,32901,37828,38439,0,0,0,1.000,1.000,1.000,312,301,387,0.1931,0.1940,0.4501,0.0804
83000,1937,0.4306,12374.7,224,876,457,604,65,65,68,29644,41271,36049,0,0,0,1.000,1.000,1.000,571,263,286,0.1848,0.2066,0.3940,0.0848
84000,1878,0.4164,11895.2,222,710,710,458,50,69,73,28905,39899,38346,0,0,0,1.000,1.000,1.000,415,609,336,0.1852,0.2085,0.4027,0.0852
85000,2023,0.5082,14018.0,264,481,900,642,54,58,61,34500,33567,36305,0,0,0,1.000,1.000,1.000,341,448,402,0.1824,0.2033,0.4096,0.0797
86000,1592,0.4422,9999.8,241,599,425,568,41,50,40,32364,37426,32689,0,0,0,1.000,1.000,1.000,316,228,315,0.2554,0.1470,0.4698,0.0618
87000,1624,0.4464,11348.0,260,702,533,389,33,48,60,29623,38674,34833,0,0,0,1.000,1.000,1.000,503,416,181,0.2200,0.1653,0.4281,0.0655
88000,1708,0.4678,12405.7,276,382,739,587,64,54,58,35227,32023,35159,0,0,0,1.000,1.000,1.000,216,431,357,0.2113,0.1946,0.4195,0.0695
89000,1738,0.4338,11716.1,225,664,448,626,49,47,55,36580,36104,33920,0,0,0,1.000,1.000,1.000,502,286,405,0.1879,0.1931,0.4012,0.0806
90000,883,0.4349,6809.3,290,369,225,289,28,38,31,33333,39881,36638,0,0,0,1.000,1.000,1.000,214,159,146,0.2292,0.1419,0.4288,0.0658
