step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool
40000,1,550,33.71,0.12,7.01,0.56,15.76,0.01,1.02,0.005,0.147,61790.8,37764.3,1,21,3.94,1.01,1.03,2.9234,643.14,34182.5,0.0000,5.9798,5461,5.0554,1462,0.9041,2623.9,124.92,13.9101,0.0,0.0000,0.912,0.3699
40000,2,320,39.15,0.05,7.60,0.67,20.56,0.01,1.02,0.009,0.107,49173.0,24786.8,0,25,4.26,1.02,1.02,2.3508,540.06,36130.2,0.0000,4.7929,5461,5.0554,1472,0.7149,1960.2,82.65,13.5727,0.0,0.0000,0.895,0.2926
50000,0,238,34.58,1.71,8.16,0.94,13.53,0.17,1.34,0.046,0.067,189170.0,151291.0,0,21,3.54,1.31,1.35,11.0663,240.54,35145.5,0.0140,17.4842,5462,11.8584,1830,4.8557,16192.5,130.30,44.6778,0.0,0.0000,0.991,0.3317
50000,1,340,31.14,0.70,6.90,1.56,13.16,0.04,1.12,0.024,0.086,182549.8,153885.0,0,20,3.44,1.07,1.17,11.3079,1196.61,31783.8,0.0025,16.6188,5461,11.8563,1451,4.9259,17636.5,74.16,57.9848,0.0,0.0000,0.776,0.2141
50000,2,373,25.06,0.37,6.92,1.06,10.64,0.06,1.08,0.024,0.081,168470.2,145378.5,0,36,3.18,1.08,1.07,10.8211,630.57,32873.6,0.0034,15.4475,5461,11.8563,1649,4.6146,16367.4,95.53,61.6428,0.0,0.0000,0.836,0.3340
60000,0,254,43.17,0.84,12.49,0.80,19.07,0.03,1.20,0.020,0.097,111605.8,53427.1,1,32,5.16,1.18,1.22,4.0995,204.98,31948.1,0.0000,10.4097,5462,5.5800,1442,1.8487,5386.9,126.73,20.8559,0.0,0.0000,0.907,0.3982
60000,1,200,41.33,0.22,11.52,1.16,19.83,0.00,1.08,0.000,0.076,59235.8,27572.7,1,22,5.03,1.07,1.07,2.2881,134.79,38624.9,0.0000,5.5957,5461,5.5790,1300,0.8297,2253.6,76.86,14.5529,0.0,0.0000,0.824,0.2545
60000,2,238,42.82,0.69,10.58,1.85,17.53,0.10,1.15,0.046,0.082,51272.9,22483.5,1,24,4.81,1.19,1.08,2.1517,267.71,36093.6,0.0000,4.8299,5461,5.5790,1457,0.7286,2087.9,96.41,13.5157,0.0,0.0000,0.947,0.3333
70000,0,523,32.61,1.75,10.67,1.16,15.61,0.47,1.41,0.168,0.174,194770.5,146579.9,2,41,4.58,1.59,1.09,11.0909,575.90,32286.3,0.0050,18.1026,5462,11.3139,1320,4.1440,14828.6,158.53,44.0337,0.0,0.0000,0.896,0.4405
70000,1,271,36.27,1.60,10.65,1.03,18.64,0.29,1.35,0.103,0.098,183509.4,142228.2,2,33,4.99,1.41,1.26,11.4150,414.79,37841.0,0.0052,16.7055,5461,11.3118,1161,4.2771,16187.7,69.69,57.6782,0.0,0.0000,0.888,0.2078
70000,2,286,38.05,2.39,9.46,1.20,19.61,0.22,1.53,0.094,0.108,173040.1,136767.1,2,33,5.05,1.62,1.47,11.4442,650.47,36670.3,0.0048,15.7536,5461,11.3118,1285,3.9572,14677.4,71.77,61.6219,0.0,0.0000,0.825,0.2538
