step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority,eaten_with_sensor,kills_by_sensor,who_decisions,who_used
220000,914,4.468,0.067,9.78,56389,44239,14,12091,0,1096,1585639.0,41380.3,0.256,0.166,0.159,0.152,0.267,2539,63.80,2.28,40.21,6.84,2.89,7.59,0.03,0.58,20.67,2.80,2.63,6.84,0.046,0.119,106,0.121,0.895,0.089,0.000,0.016,38512,15084,6,0.371,0.000,0.003,16975,0.200,0.148,0.029,158.30,19811,13,3.42,0.939,0.004,461,3,498,0.233
230000,879,4.515,0.069,10.44,58361,44980,13,13403,0,1159,1600429.6,46080.3,0.233,0.173,0.153,0.151,0.290,2438,63.97,0.42,39.94,6.52,3.34,7.66,0.01,0.17,20.68,3.06,3.28,7.55,0.052,0.120,82,0.216,0.877,0.100,0.000,0.023,36800,12773,5,0.451,0.000,0.001,15976,0.188,0.154,0.032,158.99,20274,12,3.44,0.950,0.003,470,6,527,0.205
240000,897,4.687,0.078,10.47,58709,45972,4,12715,0,1039,1602362.4,43988.7,0.216,0.179,0.154,0.158,0.293,2445,63.62,2.43,40.17,6.59,2.57,6.75,0.01,0.29,20.87,3.24,2.54,6.73,0.040,0.106,111,0.188,0.903,0.084,0.000,0.013,35970,11386,6,0.264,0.055,0.002,22351,0.206,0.156,0.033,159.68,21025,12,3.46,0.949,0.004,522,5,623,0.189
250000,895,4.620,0.082,10.69,56653,43606,14,13035,0,1219,1606785.2,44856.5,0.240,0.174,0.157,0.156,0.273,2348,63.83,1.52,39.96,6.82,3.07,7.24,0.00,0.03,20.80,3.86,3.01,7.12,0.048,0.114,112,0.316,0.886,0.094,0.000,0.020,33998,10470,6,0.455,0.000,0.001,22876,0.211,0.156,0.032,160.14,20415,13,3.44,0.944,0.004,516,9,550,0.211
260000,915,4.344,0.088,10.69,59685,46167,13,13484,1,1151,1605142.6,46620.8,0.211,0.177,0.156,0.157,0.299,2339,63.53,3.38,39.41,7.26,2.88,7.13,0.01,0.28,21.24,3.95,2.84,7.03,0.045,0.111,119,0.349,0.880,0.094,0.000,0.026,34031,11365,6,0.531,0.000,0.002,48740,0.122,0.166,0.037,159.64,22123,13,3.46,0.943,0.004,481,2,486,0.191
270000,891,4.704,0.079,10.36,61857,48345,6,13530,0,1046,1597635.4,47030.4,0.200,0.177,0.153,0.168,0.302,2135,63.31,4.81,39.09,8.47,3.04,7.58,0.03,0.80,21.15,3.95,2.71,6.93,0.050,0.125,124,0.240,0.892,0.084,0.000,0.024,36072,11677,6,0.273,0.217,0.002,17138,0.184,0.152,0.032,158.79,22685,12,3.48,0.948,0.010,433,8,421,0.202
280000,881,4.710,0.076,10.67,60948,47410,16,13532,0,1032,1597729.2,46891.8,0.212,0.171,0.150,0.171,0.295,2272,63.96,0.54,40.30,6.27,2.88,7.20,0.03,0.24,20.75,3.06,2.80,7.03,0.045,0.113,117,0.163,0.885,0.089,0.000,0.026,36171,10384,7,0.218,0.060,0.026,34692,0.143,0.151,0.032,159.01,21503,14,3.47,0.937,0.006,579,9,591,0.217
290000,869,4.583,0.090,11.15,60867,47101,5,13773,0,1020,1600483.2,48050.4,0.207,0.171,0.149,0.176,0.298,2115,63.90,1.24,40.01,6.70,3.15,7.45,0.00,0.00,20.74,3.37,3.14,7.44,0.049,0.116,111,0.166,0.896,0.094,0.000,0.009,34340,9708,8,0.304,0.003,0.000,43788,0.130,0.167,0.040,159.34,22497,14,3.49,0.937,0.002,540,12,661,0.203
300000,885,4.575,0.078,10.72,58575,45561,5,12993,0,1025,1604449.5,45311.6,0.212,0.169,0.153,0.181,0.284,2131,63.93,0.90,40.13,6.47,2.88,7.21,0.01,0.15,20.92,3.26,2.79,7.03,0.045,0.113,126,0.131,0.905,0.085,0.000,0.010,34907,11039,8,0.194,0.029,0.003,16729,0.191,0.156,0.034,159.88,23082,12,3.49,0.948,0.005,479,10,534,0.172
310000,881,4.583,0.088,10.64,57600,44993,4,12607,0,943,1609488.8,44095.5,0.246,0.174,0.163,0.164,0.253,2144,63.91,0.75,40.20,6.69,2.75,7.26,0.06,0.89,20.90,3.69,2.55,6.74,0.043,0.113,122,0.215,0.897,0.082,0.000,0.022,35432,12226,6,0.294,0.091,0.005,32537,0.227,0.165,0.039,159.82,22177,16,3.50,0.914,0.007,697,4,861,0.193
320000,868,4.601,0.091,10.57,58448,46048,2,12411,0,1212,1600194.1,43443.2,0.182,0.196,0.189,0.167,0.266,2224,63.91,0.77,39.99,6.81,2.72,7.05,0.02,0.34,21.19,4.08,2.57,6.69,0.043,0.111,107,0.294,0.901,0.078,0.000,0.021,33212,10803,6,0.381,0.000,0.006,29350,0.206,0.168,0.041,159.64,22852,14,3.50,0.930,0.003,639,4,763,0.199
330000,865,4.651,0.088,10.85,59419,47579,4,11839,0,1039,1605466.4,41690.9,0.148,0.186,0.176,0.189,0.301,2173,63.97,0.63,39.52,7.29,3.15,7.66,0.01,0.25,21.29,4.61,2.94,7.10,0.049,0.120,107,0.289,0.901,0.084,0.000,0.015,34452,10975,4,0.513,0.000,0.002,16518,0.191,0.155,0.032,159.73,22937,14,3.52,0.939,0.008,448,7,499,0.158
340000,869,4.631,0.089,10.84,60323,48152,4,12163,0,1097,1609802.0,42746.3,0.161,0.182,0.171,0.187,0.300,2226,63.96,0.69,39.63,6.77,3.48,7.93,0.01,0.29,20.84,3.14,3.32,7.56,0.054,0.125,90,0.371,0.885,0.096,0.000,0.020,35226,12049,5,0.467,0.007,0.002,27868,0.197,0.161,0.035,159.82,22949,14,3.51,0.933,0.006,626,9,675,0.184
350000,881,4.619,0.090,11.04,60691,48066,4,12609,0,1176,1602653.2,44610.4,0.159,0.171,0.158,0.192,0.321,2161,63.89,1.68,40.04,7.31,2.44,7.44,0.01,0.34,21.40,4.31,1.97,5.85,0.038,0.116,125,0.162,0.917,0.064,0.000,0.019,35250,12108,5,0.368,0.073,0.001,30104,0.257,0.164,0.038,159.50,23712,14,3.54,0.932,0.005,564,8,777,0.218
360000,871,4.629,0.080,11.40,60704,46969,24,13720,1,1091,1607697.1,48644.1,0.180,0.147,0.132,0.207,0.334,2093,63.89,1.12,40.37,6.35,2.28,6.47,0.00,0.00,21.25,4.04,2.28,6.47,0.036,0.101,121,0.216,0.915,0.070,0.000,0.015,36421,11521,6,0.321,0.270,0.000,17661,0.201,0.152,0.032,159.72,24018,15,3.55,0.926,0.016,452,5,502,0.171
370000,883,4.614,0.079,11.53,59462,45696,22,13732,0,1048,1610099.4,48604.7,0.181,0.142,0.126,0.213,0.338,2062,63.96,0.58,40.42,6.60,1.83,6.11,0.01,0.10,21.70,5.17,1.74,5.71,0.029,0.095,118,0.282,0.932,0.051,0.000,0.017,35550,10664,6,0.299,0.088,0.003,17038,0.201,0.153,0.031,159.95,23967,16,3.54,0.919,0.002,475,7,543,0.177
380000,873,4.475,0.081,11.58,54278,41918,49,12321,0,753,1612978.4,43256.4,0.172,0.124,0.105,0.228,0.370,2126,63.99,0.14,40.51,6.26,2.33,6.69,0.02,0.38,21.14,3.71,2.25,6.45,0.036,0.104,88,0.320,0.919,0.069,0.000,0.013,32830,10189,6,0.514,0.084,0.002,19270,0.190,0.147,0.028,160.60,22197,18,3.51,0.902,0.005,369,9,443,0.251
390000,906,4.480,0.072,12.27,53158,41707,31,11382,5,772,1593155.2,38780.3,0.216,0.133,0.114,0.213,0.324,2024,63.85,1.10,40.94,6.02,2.08,6.26,0.01,0.15,20.82,3.66,2.05,6.14,0.033,0.098,99,0.386,0.929,0.061,0.000,0.010,32799,9129,5,0.377,0.066,0.002,59185,0.245,0.137,0.023,160.89,22587,20,3.41,0.889,0.008,640,7,966,0.238
400000,907,4.316,0.088,11.72,58080,45811,19,12249,0,872,1616861.0,42272.4,0.248,0.165,0.140,0.177,0.270,1955,63.85,1.31,40.62,6.29,2.16,6.52,0.03,0.73,21.03,3.80,1.97,5.94,0.034,0.103,105,0.333,0.929,0.060,0.000,0.011,36266,11985,5,0.487,0.111,0.002,24940,0.232,0.155,0.034,161.21,23620,18,3.45,0.903,0.006,509,16,635,0.233
410000,896,4.447,0.086,11.67,60639,47849,19,12782,0,818,1612842.0,44328.3,0.247,0.168,0.146,0.168,0.272,1969,63.81,2.02,39.99,6.92,2.57,6.79,0.01,0.24,21.25,4.21,2.48,6.60,0.041,0.107,114,0.296,0.916,0.075,0.001,0.008,38130,12143,9,0.373,0.025,0.003,23111,0.254,0.146,0.030,161.03,24062,16,3.47,0.926,0.011,587,15,786,0.230
420000,900,4.408,0.085,11.83,61812,48215,19,13574,0,871,1614965.2,47389.0,0.242,0.166,0.147,0.173,0.273,1858,63.87,1.21,40.25,6.33,2.09,6.13,0.06,1.18,21.47,4.15,2.07,6.07,0.033,0.096,125,0.266,0.917,0.064,0.000,0.019,38416,12849,7,0.243,0.017,0.006,27237,0.228,0.149,0.030,160.89,24533,15,3.49,0.930,0.004,715,13,907,0.233
430000,892,4.402,0.088,11.69,62405,49014,26,13372,1,881,1616092.5,46930.4,0.240,0.172,0.150,0.170,0.268,2005,63.95,0.85,40.24,6.67,2.28,6.32,0.06,0.85,21.37,4.51,2.27,6.29,0.036,0.099,118,0.324,0.913,0.065,0.000,0.022,38730,13246,6,0.322,0.059,0.007,35630,0.230,0.151,0.030,160.76,23857,15,3.51,0.926,0.004,795,17,1053,0.247
440000,887,4.369,0.087,11.69,62444,48718,18,13713,0,1007,1615287.8,47942.9,0.240,0.171,0.149,0.171,0.269,1908,63.71,1.41,38.99,7.96,2.36,6.39,0.05,0.57,22.32,4.91,2.05,5.65,0.038,0.102,151,0.211,0.921,0.069,0.000,0.010,38650,13137,8,0.315,0.035,0.033,124422,0.144,0.156,0.032,160.77,24632,14,3.50,0.929,0.008,860,22,1026,0.212
450000,902,4.419,0.087,11.57,61897,48333,26,13523,0,968,1607904.0,47207.7,0.247,0.164,0.141,0.179,0.269,1843,63.89,1.09,39.12,6.88,2.69,6.71,0.19,1.33,21.90,4.35,2.61,6.53,0.042,0.105,125,0.202,0.898,0.089,0.000,0.013,38501,14789,8,0.378,0.007,0.094,468898,0.112,0.146,0.027,160.92,24751,30,3.49,0.869,0.007,1153,315,1788,0.192
460000,908,4.534,0.070,11.82,58206,44100,32,14068,0,868,1611246.4,49189.9,0.224,0.154,0.134,0.199,0.290,2037,63.86,1.69,40.24,6.80,2.01,6.25,0.32,0.79,21.29,4.22,1.83,5.70,0.031,0.098,132,0.216,0.930,0.057,0.000,0.013,36862,13318,8,0.302,0.000,0.230,1267919,0.100,0.135,0.020,161.22,23402,21,3.50,0.907,0.009,2036,59,2840,0.162
470000,906,4.428,0.081,11.48,55243,43220,46,11979,0,865,1616921.0,41732.3,0.229,0.155,0.131,0.199,0.285,2150,63.97,0.44,40.63,5.73,2.27,6.58,0.19,0.61,20.88,2.90,2.13,6.17,0.036,0.103,115,0.481,0.928,0.064,0.000,0.008,35398,12407,6,0.330,0.064,0.113,1631335,0.122,0.144,0.028,161.77,21289,18,3.48,0.905,0.004,2183,62,2966,0.181
480000,902,4.460,0.072,11.53,59366,46018,28,13324,0,1182,1604867.0,46466.6,0.233,0.178,0.149,0.184,0.256,2110,63.96,0.47,41.20,5.92,1.85,5.66,0.26,0.64,20.66,4.08,1.78,5.48,0.029,0.089,150,0.220,0.922,0.060,0.000,0.018,39943,16485,6,0.292,0.000,0.164,974605,0.129,0.139,0.025,161.31,22512,14,3.49,0.930,0.006,2278,50,2628,0.183
490000,905,4.369,0.082,11.33,56365,44276,20,12065,1,1243,1612512.1,41740.7,0.245,0.181,0.149,0.182,0.244,2221,63.86,1.67,40.38,7.21,2.13,6.31,0.16,0.74,21.19,4.97,1.90,5.58,0.034,0.100,172,0.249,0.915,0.069,0.000,0.017,36347,13678,7,0.356,0.022,0.096,855206,0.118,0.144,0.026,161.84,21980,17,3.46,0.904,0.013,1939,67,2532,0.181
500000,910,4.366,0.063,11.41,54323,42511,19,11788,0,1154,1604623.2,40685.4,0.232,0.190,0.140,0.184,0.255,2202,63.79,1.18,40.19,6.71,2.30,6.21,0.45,1.37,20.85,4.22,2.24,6.02,0.036,0.097,138,0.142,0.909,0.074,0.000,0.018,35198,12531,7,0.292,0.000,0.197,1364011,0.127,0.125,0.018,162.00,20757,20,3.45,0.886,0.007,2365,50,3147,0.171
510000,917,4.469,0.067,11.36,56966,43742,44,13173,0,1336,1607593.6,45778.6,0.220,0.164,0.135,0.202,0.278,2148,63.94,0.76,40.88,5.58,1.87,5.52,0.27,0.69,20.93,3.81,1.75,5.15,0.029,0.086,154,0.208,0.915,0.071,0.000,0.014,39017,16343,6,0.314,0.000,0.177,1907151,0.127,0.129,0.019,161.85,21337,17,3.48,0.913,0.013,3496,55,4610,0.174
520000,905,4.412,0.068,11.50,55567,42977,28,12574,0,1232,1616145.5,43551.2,0.245,0.174,0.143,0.196,0.243,2227,63.92,0.90,40.43,6.43,2.23,6.30,0.19,0.49,21.06,4.10,2.13,5.97,0.035,0.098,115,0.316,0.919,0.067,0.000,0.013,38325,15974,5,0.484,0.000,0.154,1458623,0.115,0.131,0.019,161.92,21190,20,3.46,0.893,0.007,2554,102,3544,0.178
530000,913,4.349,0.058,11.66,56450,43334,49,13059,0,1126,1608935.0,45377.9,0.229,0.197,0.146,0.193,0.235,2050,63.79,1.48,40.46,6.35,1.88,5.75,0.18,0.79,21.26,3.90,1.73,5.33,0.030,0.092,163,0.157,0.928,0.060,0.000,0.012,39580,16599,5,0.506,0.000,0.130,1458924,0.100,0.126,0.020,161.73,22185,18,3.47,0.899,0.012,2468,45,3229,0.160
540000,915,4.402,0.055,12.01,53540,40637,23,12878,0,1085,1623303.9,44579.6,0.214,0.252,0.176,0.165,0.193,2134,63.94,1.05,40.69,6.30,1.90,6.31,0.13,0.62,21.22,3.85,1.52,4.95,0.030,0.099,160,0.258,0.926,0.057,0.000,0.017,36871,13032,5,0.377,0.299,0.098,847381,0.096,0.121,0.015,162.13,21003,23,3.46,0.874,0.009,1528,45,2033,0.157
550000,905,4.448,0.059,12.24,55361,43421,26,11924,0,1281,1619707.6,41284.1,0.201,0.231,0.158,0.192,0.218,1915,63.94,0.80,38.11,5.18,3.07,5.27,0.16,0.82,22.59,4.49,2.93,4.98,0.048,0.082,239,0.091,0.887,0.102,0.000,0.011,37638,12441,7,0.414,0.018,0.063,1316178,0.131,0.117,0.014,162.26,23489,44,3.46,0.793,0.008,1696,108,2424,0.170
560000,896,4.375,0.064,12.29,55767,39488,19,16269,0,2686,1624697.5,56758.0,0.185,0.264,0.158,0.201,0.192,1917,63.66,0.94,37.44,4.50,3.20,5.30,0.02,0.40,23.00,4.13,3.02,4.94,0.050,0.083,189,0.105,0.881,0.106,0.000,0.013,37635,15371,4,0.372,0.171,0.002,191129,0.143,0.122,0.015,162.72,22519,37,3.49,0.878,0.003,610,3,600,0.202
570000,893,4.491,0.062,12.36,60180,45501,23,14659,0,2882,1627073.4,50645.0,0.170,0.254,0.169,0.202,0.205,1812,63.47,1.29,37.34,4.27,3.77,5.76,0.00,0.00,22.35,3.97,3.66,5.34,0.059,0.090,187,0.094,0.859,0.128,0.000,0.013,39325,18256,5,0.601,0.000,0.000,20793,0.203,0.121,0.016,162.47,24531,19,3.45,0.921,0.002,527,5,636,0.212
580000,873,4.542,0.061,12.59,64714,44194,23,20517,0,2926,1629512.5,72014.4,0.160,0.257,0.180,0.206,0.197,1607,63.67,1.16,39.53,5.92,3.25,6.95,0.01,0.34,20.87,3.38,2.92,6.09,0.051,0.109,130,0.206,0.884,0.103,0.000,0.013,44321,20218,6,0.510,0.112,0.002,13563,0.218,0.120,0.015,162.04,26035,22,3.51,0.936,0.010,471,11,393,0.209
590000,859,4.560,0.054,12.49,62934,44439,27,18482,0,2620,1629763.1,64303.0,0.154,0.249,0.170,0.221,0.207,1775,63.65,0.98,39.18,5.74,3.36,7.17,0.01,0.24,21.11,3.50,3.07,6.46,0.053,0.112,101,0.198,0.863,0.123,0.000,0.014,44293,22183,6,0.477,0.000,0.002,10870,0.232,0.118,0.016,161.97,23377,9,3.48,0.973,0.006,489,6,465,0.200
600000,858,4.585,0.061,12.39,60726,43664,47,17016,0,1979,1631912.4,58822.6,0.143,0.253,0.170,0.224,0.210,1793,63.61,0.92,39.13,5.84,3.08,6.93,0.00,0.07,21.40,3.85,2.91,6.52,0.048,0.108,132,0.122,0.872,0.111,0.000,0.017,42537,19285,5,0.422,0.000,0.001,9398,0.243,0.125,0.018,162.28,23320,11,3.46,0.969,0.008,384,4,341,0.161
610000,856,4.516,0.054,12.79,62890,44931,40,17919,2,1791,1634671.4,62238.7,0.130,0.260,0.171,0.227,0.212,1665,63.82,1.12,39.07,6.34,3.38,7.62,0.02,0.51,21.34,3.95,2.98,6.63,0.053,0.119,131,0.127,0.877,0.106,0.000,0.016,43955,17469,5,0.389,0.100,0.002,10977,0.213,0.119,0.017,162.13,25756,13,3.47,0.963,0.011,395,6,379,0.240
620000,875,4.466,0.047,12.72,66360,47117,23,19201,0,2106,1620717.5,67106.1,0.125,0.262,0.176,0.226,0.211,1588,63.94,0.25,39.44,5.86,3.21,7.30,0.00,0.00,21.29,3.80,2.89,6.47,0.050,0.114,150,0.118,0.901,0.086,0.000,0.014,49631,21468,7,0.381,0.022,0.000,13259,0.242,0.110,0.012,161.30,27520,15,3.49,0.952,0.005,428,6,425,0.221
630000,867,4.492,0.056,12.48,63805,45640,29,18144,0,1642,1621135.6,63388.1,0.117,0.242,0.170,0.241,0.230,1758,63.87,1.03,40.24,6.12,2.73,6.81,0.12,0.52,20.78,3.85,2.55,6.39,0.043,0.106,150,0.113,0.895,0.085,0.000,0.020,46403,18612,8,0.255,0.135,0.059,252269,0.180,0.121,0.016,161.33,26366,18,3.49,0.940,0.006,651,34,778,0.175
